user,packet_id,size_bytes,delay_ms,success,mse,mse_contrib
1,11,59049,6.730483,0,0.0041894330,0.0041894330
0,16,38447,7.984541,0,0.0006947000,0.0006947000
2,17,45915,9.835402,0,0.0022213660,0.0022213660
3,13,56981,12.119268,0,0.0072599630,0.0072599630
4,14,47369,11.064193,0,0.0033974990,0.0033974990
6,12,52378,14.989371,0,0.0033893900,0.0033893900
9,18,41123,11.792008,0,0.0032870860,0.0032870860
5,15,56590,13.619516,0,0.0016519380,0.0016519380
8,20,45908,12.290936,0,0.0047959630,0.0047959630
7,19,57828,12.645132,0,0.0034052060,0.0034052060
0,23,41052,7.854980,0,0.0006327380,0.0006327380
1,25,57418,12.417627,0,0.0043440960,0.0043440960
3,27,56646,11.400602,0,0.0071920830,0.0071920830
7,21,61199,15.668838,0,0.0034742360,0.0034742360
2,30,47941,11.417520,0,0.0022147690,0.0022147690
4,26,49166,13.806917,0,0.0034002910,0.0034002910
8,24,46426,14.601409,0,0.0054690920,0.0054690920
6,22,55504,15.766376,0,0.0035401300,0.0035401300
5,28,58003,14.761283,0,0.0020906780,0.0020906780
9,29,44023,13.670716,0,0.0032295120,0.0032295120
0,33,42577,7.258541,0,0.0006234740,0.0006234740
2,35,48631,10.572072,0,0.0025288670,0.0025288670
7,31,61781,14.495696,0,0.0041143970,0.0041143970
1,40,59899,11.143094,0,0.0043355810,0.0043355810
4,37,50396,12.922256,0,0.0033116510,0.0033116510
6,36,48788,14.124722,0,0.0034803320,0.0034803320
5,34,61315,15.164294,0,0.0024607160,0.0024607160
3,38,56637,12.628836,0,0.0071658560,0.0071658560
9,32,45169,17.846778,0,0.0028306750,0.0028306750
8,39,47667,14.325584,0,0.0061693440,0.0061693440
0,43,45729,7.799351,0,0.0006668790,0.0006668790
1,47,58674,12.218227,0,0.0042320240,0.0042320240
3,46,56795,13.132513,0,0.0071746410,0.0071746410
2,49,50637,12.214486,0,0.0029700140,0.0029700140
4,50,51066,11.826172,0,0.0033933620,0.0033933620
5,44,63319,16.271806,0,0.0015871780,0.0015871780
6,42,55503,17.328449,0,0.0035805460,0.0035805460
9,41,47869,23.809399,0,0.0034599190,0.0034599190
8,45,48553,22.180872,0,0.0077511970,0.0077511970
4,53,52038,12.304518,0,0.0033744020,0.0033744020
7,48,64697,25.428278,0,0.0046990550,0.0046990550
0,60,47237,8.562768,0,0.0007211900,0.0007211900
2,55,52060,12.386107,0,0.0022550360,0.0022550360
3,52,57047,15.877049,0,0.0071727390,0.0071727390
1,57,60585,12.188254,0,0.0043522540,0.0043522540
5,51,64593,19.009706,0,0.0017201190,0.0017201190
6,59,52730,14.640408,0,0.0051584060,0.0051584060
8,56,49030,16.846695,0,0.0064115760,0.0064115760
9,54,50111,22.319279,0,0.0028682260,0.0028682260
