frame,components,mse,size_bytes
1,16,0.2561439249120667,114688
1,15,0.25614389534212023,107520
1,14,0.2561439249120667,100352
1,13,0.2561439249120667,93184
1,12,0.25614389534212023,86016
1,11,0.25614389534212023,78848
1,10,0.25614389534212023,71680
1,9,0.2561439249120667,64512
1,8,0.2561439249120667,57344
1,7,0.2561439249120667,50176
1,6,0.25614389534212023,43008
1,5,0.2561439249120667,35840
1,4,0.24054579292283051,28672
1,3,0.18275179083957482,21504
1,2,0.1777308730652294,14336
1,1,0.5001135480142693,7168
2,16,318.3759065112099,114688
2,15,318.3759065112099,107520
2,14,318.3759065112099,100352
2,13,318.3759065112099,93184
2,12,318.3759065112099,86016
2,11,318.3759065112099,78848
2,10,318.3759065112099,71680
2,9,318.3759065112099,64512
2,8,321.98148316238075,57344
2,7,348.75242651905864,50176
2,6,405.78519066330045,43008
2,5,529.3630026513711,35840
2,4,725.0163149088621,28672
2,3,1158.573190541938,21504
2,2,1981.5870900638402,14336
2,1,3687.088675517589,7168
3,16,632.0715519133955,114688
3,15,632.0715519133955,107520
3,14,632.0715519133955,100352
3,13,632.0715519133955,93184
3,12,632.0715519133955,86016
3,11,632.0715519133955,78848
3,10,632.0715519133955,71680
3,9,632.5212043477222,64512
3,8,643.7198209343478,57344
3,7,685.5492458213121,50176
3,6,762.1578482212499,43008
3,5,881.0142793692648,35840
3,4,1161.7913091089576,28672
3,3,1693.0319513194263,21504
3,2,2825.5899779498577,14336
3,1,4696.480329707265,7168
4,16,123.89272009022534,114688
4,15,123.89272009022534,107520
4,14,123.89272009022534,100352
4,13,123.89272009022534,93184
4,12,123.89272009022534,86016
4,11,123.89272009022534,78848
4,10,123.89272009022534,71680
4,9,123.89272009022534,64512
4,8,123.89272009022534,57344
4,7,123.89272009022534,50176
4,6,123.89272009022534,43008
4,5,123.89272009022534,35840
4,4,127.50662363832816,28672
4,3,137.85411024000496,21504
4,2,161.79672464495525,14336
4,1,144.7067981993314,7168
5,16,130.1665675942786,114688
5,15,130.1665675942786,107520
5,14,130.1665675942786,100352
5,13,130.1665675942786,93184
5,12,130.1665675942786,86016
5,11,130.1665675942786,78848
5,10,130.1665675942786,71680
5,9,131.9097656174563,64512
5,8,151.12482213880867,57344
5,7,212.07963043707423,50176
5,6,334.3224591691978,43008
5,5,530.7131105801091,35840
5,4,832.3690319666639,28672
5,3,1267.4076107796282,21504
5,2,1816.8757395353168,14336
5,1,2666.1185771226883,7168
6,16,179.28131572552957,114688
6,15,179.28131572552957,107520
6,14,179.28131572552957,100352
6,13,179.28131572552957,93184
6,12,179.28131572552957,86016
6,11,179.28131572552957,78848
6,10,179.28131572552957,71680
6,9,179.28131572552957,64512
6,8,179.28131572552957,57344
6,7,179.28131572552957,50176
6,6,179.28131572552957,43008
6,5,179.30158793460578,35840
6,4,192.2947113693226,28672
6,3,207.7026349143125,21504
6,2,238.09132733149454,14336
6,1,253.45124253071845,7168
7,16,680.004259175621,114688
7,15,680.004259175621,107520
7,14,680.004259175621,100352
7,13,680.004259175621,93184
7,12,680.004259175621,86016
7,11,680.004259175621,78848
7,10,680.004259175621,71680
7,9,680.9471061453223,64512
7,8,695.4431739170104,57344
7,7,747.4194223294035,50176
7,6,901.6193220857531,43008
7,5,1242.8776019252837,35840
7,4,1837.9701009951532,28672
7,3,3003.8642993196845,21504
7,2,4774.9869195744395,14336
7,1,8233.249076083302,7168
8,16,142.51422025845386,114688
8,15,142.51422025845386,107520
8,14,142.51422025845386,100352
8,13,142.51422025845386,93184
8,12,142.51422025845386,86016
8,11,142.51422025845386,78848
8,10,142.51422025845386,71680
8,9,142.51422025845386,64512
8,8,142.51422025845386,57344
8,7,142.51422025845386,50176
8,6,142.51422025845386,43008
8,5,142.51422025845386,35840
8,4,144.53458283096552,28672
8,3,161.00320164696313,21504
8,2,174.7919676534366,14336
8,1,186.8786099483259,7168
9,16,1.179603359196335,114688
9,15,1.179603359196335,107520
9,14,1.179603359196335,100352
9,13,1.179603359196335,93184
9,12,1.179603359196335,86016
9,11,1.179603359196335,78848
9,10,1.179603359196335,71680
9,9,1.179603359196335,64512
9,8,1.179603359196335,57344
9,7,1.179603359196335,50176
9,6,1.179603359196335,43008
9,5,1.179603359196335,35840
9,4,1.1913409720364143,28672
9,3,1.15312122479736,21504
9,2,1.1579217281905585,14336
9,1,1.4534438917053194,7168
10,16,0.25614389534212023,114688
10,15,0.2561439249120667,107520
10,14,0.25614389534212023,100352
10,13,0.25614389534212023,93184
10,12,0.25614389534212023,86016
10,11,0.2561439249120667,78848
10,10,0.2561439249120667,71680
10,9,0.25614389534212023,64512
10,8,0.25614389534212023,57344
10,7,0.2561439249120667,50176
10,6,0.2561439249120667,43008
10,5,0.2561439249120667,35840
10,4,0.24054579292283051,28672
10,3,0.18275179083957482,21504
10,2,0.1777308730652294,14336
10,1,0.5001135480142693,7168
11,16,111.95182877127081,114688
11,15,111.95182877127081,107520
11,14,111.95182877127081,100352
11,13,111.95182877127081,93184
11,12,111.95182877127081,86016
11,11,111.95182877127081,78848
11,10,111.95182877127081,71680
11,9,111.95182877127081,64512
11,8,111.95182877127081,57344
11,7,111.95182877127081,50176
11,6,111.95182877127081,43008
11,5,111.95182877127081,35840
11,4,113.37303325999528,28672
11,3,124.33876924915239,21504
11,2,141.02285787812434,14336
11,1,154.48109149583615,7168
12,16,1224.4795805308968,114688
12,15,1224.4795805308968,107520
12,14,1224.4795805308968,100352
12,13,1224.4795805308968,93184
12,12,1224.4795805308968,86016
12,11,1224.4795805308968,78848
12,10,1224.4795805308968,71680
12,9,1224.4795805308968,64512
12,8,1224.4795805308968,57344
12,7,1224.4795805308968,50176
12,6,1224.4795805308968,43008
12,5,1224.4795805308968,35840
12,4,1226.258811308071,28672
12,3,1234.53205274418,21504
12,2,1259.094884712249,14336
12,1,1314.0675442758948,7168
13,16,572.2299286164343,114688
13,15,572.2299286164343,107520
13,14,572.2299286164343,100352
13,13,572.2299286164343,93184
13,12,572.2299286164343,86016
13,11,572.2299286164343,78848
13,10,572.2299286164343,71680
13,9,572.2299286164343,64512
13,8,572.2299286164343,57344
13,7,572.2299286164343,50176
13,6,575.712569989264,43008
13,5,591.9236757326871,35840
13,4,635.8419102849439,28672
13,3,732.5284476857632,21504
13,2,877.062485483475,14336
13,1,1107.6370472554117,7168
14,16,158.0672891868744,114688
14,15,158.0672891868744,107520
14,14,158.0672891868744,100352
14,13,158.0672891868744,93184
14,12,158.0672891868744,86016
14,11,158.0672891868744,78848
14,10,158.0672891868744,71680
14,9,160.42225675773807,64512
14,8,194.63780932710506,57344
14,7,367.6714997040108,50176
14,6,801.1911313980818,43008
14,5,1664.3917861394584,35840
14,4,2882.545226253569,28672
14,3,4477.383744344115,21504
14,2,6067.981661483645,14336
14,1,7801.956753060222,7168
15,16,185.50262807984836,114688
15,15,185.50264321966097,107520
15,14,185.50262807984836,100352
15,13,185.50262807984836,93184
15,12,185.50262807984836,86016
15,11,185.50262807984836,78848
15,10,185.50262807984836,71680
15,9,186.89449161174707,64512
15,8,218.91719372360967,57344
15,7,359.12353122839704,50176
15,6,740.5405576340854,43008
15,5,1414.89675831981,35840
15,4,2360.726513341069,28672
15,3,3781.855424121022,21504
15,2,5339.033355563879,14336
15,1,7441.461585089564,7168
16,16,154.56367917358875,114688
16,15,154.56367917358875,107520
16,14,154.56367917358875,100352
16,13,154.56367917358875,93184
16,12,154.56367917358875,86016
16,11,154.56367917358875,78848
16,10,154.56367917358875,71680
16,9,155.83062411169522,64512
16,8,176.68518607970327,57344
16,7,315.0372750358656,50176
16,6,782.088260888122,43008
16,5,1481.4300576690584,35840
16,4,2855.0583514384925,28672
16,3,4622.882430441678,21504
16,2,6459.393053501844,14336
16,1,9111.522928252816,7168
17,16,162.7838252868969,114688
17,15,162.7838404267095,107520
17,14,162.7838252868969,100352
17,13,162.7838252868969,93184
17,12,162.7838252868969,86016
17,11,162.7838404267095,78848
17,10,162.7838404267095,71680
17,9,163.4925653343089,64512
17,8,198.677822900936,57344
17,7,304.7020516823977,50176
17,6,566.4066722150892,43008
17,5,1138.6254579294473,35840
17,4,2020.1260280795395,28672
17,3,3600.385996699333,21504
17,2,5537.940455786884,14336
17,1,8131.367100030184,7168
18,16,129.19095807010308,114688
18,15,129.19095807010308,107520
18,14,129.19095807010308,100352
18,13,129.19095807010308,93184
18,12,129.19095807010308,86016
18,11,129.19095807010308,78848
18,10,129.19095807010308,71680
18,9,129.19095807010308,64512
18,8,129.19095807010308,57344
18,7,129.19095807010308,50176
18,6,129.19095807010308,43008
18,5,129.19095807010308,35840
18,4,130.6650610640645,28672
18,3,141.98540174402297,21504
18,2,163.46626747981645,14336
18,1,168.83725225925446,7168
19,16,111.3728066382464,114688
19,15,111.3728066382464,107520
19,14,111.3728066382464,100352
19,13,111.3728066382464,93184
19,12,111.3728066382464,86016
19,11,111.3728066382464,78848
19,10,111.3728066382464,71680
19,9,111.39537252893206,64512
19,8,112.99813365039881,57344
19,7,171.46738592418842,50176
19,6,494.92692357162014,43008
19,5,1278.0854178126901,35840
19,4,2264.333627745509,28672
19,3,4574.201029166579,21504
19,2,7700.141149945557,14336
19,1,14061.32890060544,7168
20,16,525.9137294255197,114688
20,15,525.9137294255197,107520
20,14,525.9137294255197,100352
20,13,525.9137294255197,93184
20,12,525.9137294255197,86016
20,11,525.9137899847701,78848
20,10,525.9137899847701,71680
20,9,527.8336393414065,64512
20,8,552.1194732980803,57344
20,7,632.8649386530742,50176
20,6,841.8369257356972,43008
20,5,1261.632438423112,35840
20,4,1931.145231379196,28672
20,3,3176.4043863862753,21504
20,2,4720.865359716117,14336
20,1,7864.550794288516,7168
21,16,53.49333333433606,114688
21,15,53.49333333433606,107520
21,14,53.49333333433606,100352
21,13,53.49333333433606,93184
21,12,53.49333333433606,86016
