frame,components,mse,pca_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type,explained_variance
0,400,0.014416828646478459,36171,8381,150528,I,0.9952676940001508
0,375,0.018493919999736343,33916,8381,150528,I,0.9945618783384673
0,350,0.025325813403773958,31660,8381,150528,I,0.9937550769072048
0,325,0.030589237458984304,29405,8381,150528,I,0.9928287444373398
0,300,0.043220272011733216,27150,8381,150528,I,0.991761271875569
0,275,0.06286743152006805,24894,8381,150528,I,0.9905312296703515
0,250,0.09413729409546542,22639,8381,150528,I,0.9891103768218185
0,225,0.12494212928244722,20384,8381,150528,I,0.9874643511863297
0,200,0.20835862632366017,18128,8381,150528,I,0.9855387210984986
0,175,0.36186115952187403,15873,8381,150528,I,0.9832703339205636
0,150,0.5950167664577042,13618,8381,150528,I,0.9805387381089316
0,125,0.8977867494321026,11362,8381,150528,I,0.9772343075436805
0,100,1.262130216237697,9107,8381,150528,I,0.9730579746037953
0,75,1.6039105346014628,6852,8381,150528,I,0.967523870080029
0,50,2.745870837284646,4596,8381,150528,I,0.9595606717088367
0,25,4.916016512154306,2341,8381,150528,I,0.9448000253629466
0,0,0.0,150528,8381,150528,I,
1,400,0.016067391234217056,36171,70,150528,B,0.9952676940001508
1,375,0.020405383832923608,33916,70,150528,B,0.9945618783384673
1,350,0.02727028089333493,31660,70,150528,B,0.9937550769072048
1,325,0.03280175269531903,29405,70,150528,B,0.9928287444373398
1,300,0.04547229629221287,27150,70,150528,B,0.991761271875569
1,275,0.06507246594045996,24894,70,150528,B,0.9905312296703515
1,250,0.09613953028695642,22639,70,150528,B,0.9891103768218185
1,225,0.1265357953695167,20384,70,150528,B,0.9874643511863297
1,200,0.20709094209508436,18128,70,150528,B,0.9855387210984986
1,175,0.3557557308755247,15873,70,150528,B,0.9832703339205636
1,150,0.5824105186567192,13618,70,150528,B,0.9805387381089316
1,125,0.8746842782592489,11362,70,150528,B,0.9772343075436805
1,100,1.2269754229369818,9107,70,150528,B,0.9730579746037953
1,75,1.5577887926410252,6852,70,150528,B,0.967523870080029
1,50,2.660634327544252,4596,70,150528,B,0.9595606717088367
1,25,4.759169279500582,2341,70,150528,B,0.9448000253629466
1,0,0.0,150528,70,150528,B,
2,400,0.016637902107423067,36171,87,150528,B,0.9952676940001508
2,375,0.020894019246435868,33916,87,150528,B,0.9945618783384673
2,350,0.02778242855443434,31660,87,150528,B,0.9937550769072048
2,325,0.033540262128823814,29405,87,150528,B,0.9928287444373398
2,300,0.0464396923381163,27150,87,150528,B,0.991761271875569
2,275,0.06631004154004615,24894,87,150528,B,0.9905312296703515
2,250,0.09837595901338314,22639,87,150528,B,0.9891103768218185
2,225,0.1305740823094487,20384,87,150528,B,0.9874643511863297
2,200,0.21170990037761148,18128,87,150528,B,0.9855387210984986
2,175,0.3586809853146622,15873,87,150528,B,0.9832703339205636
2,150,0.5812805482295254,13618,87,150528,B,0.9805387381089316
2,125,0.86915788840181,11362,87,150528,B,0.9772343075436805
2,100,1.213440780649832,9107,87,150528,B,0.9730579746037953
2,75,1.5369395453071106,6852,87,150528,B,0.967523870080029
2,50,2.613065878422334,4596,87,150528,B,0.9595606717088367
2,25,4.660367832930095,2341,87,150528,B,0.9448000253629466
2,0,0.0,150528,87,150528,B,
3,400,0.01667047004053351,36171,2158,150528,P,0.9952676940001508
3,375,0.020909767291194464,33916,2158,150528,P,0.9945618783384673
3,350,0.02759678245155099,31660,2158,150528,P,0.9937550769072048
3,325,0.03338167407926619,29405,2158,150528,P,0.9928287444373398
3,300,0.0460381468979874,27150,2158,150528,P,0.991761271875569
3,275,0.06532373042382147,24894,2158,150528,P,0.9905312296703515
3,250,0.0970899882992638,22639,2158,150528,P,0.9891103768218185
3,225,0.13070895708249444,20384,2158,150528,P,0.9874643511863297
3,200,0.21742951425593096,18128,2158,150528,P,0.9855387210984986
3,175,0.36368787813864334,15873,2158,150528,P,0.9832703339205636
3,150,0.580905634034502,13618,2158,150528,P,0.9805387381089316
3,125,0.8626718510428534,11362,2158,150528,P,0.9772343075436805
3,100,1.1963717754369545,9107,2158,150528,P,0.9730579746037953
3,75,1.5110322931840978,6852,2158,150528,P,0.967523870080029
3,50,2.5467272631319102,4596,2158,150528,P,0.9595606717088367
3,25,4.524109999767327,2341,2158,150528,P,0.9448000253629466
3,0,0.0,150528,2158,150528,P,
4,400,0.018518908330128585,36171,106,150528,B,0.9952676940001508
4,375,0.02261513704839653,33916,106,150528,B,0.9945618783384673
4,350,0.029042508367334408,31660,106,150528,B,0.9937550769072048
4,325,0.034592606073128744,29405,106,150528,B,0.9928287444373398
4,300,0.0473258500193401,27150,106,150528,B,0.991761271875569
4,275,0.0658598123274889,24894,106,150528,B,0.9905312296703515
4,250,0.09704726288148775,22639,106,150528,B,0.9891103768218185
4,225,0.13037926489955026,20384,106,150528,B,0.9874643511863297
