frame,components,mse,size_bytes
1,80,16.864893340071927,71680
1,75,22.693371643555444,67200
1,70,40.21336417590225,62720
1,65,45.35593627542434,58240
1,60,46.05693080367224,53760
1,55,47.72409930391097,49280
1,50,48.79089888698282,44800
1,45,49.42385612802227,40320
1,40,52.35159341020604,35840
1,35,62.800574338022884,31360
1,30,66.80274585997994,26880
1,25,74.45421167543603,22400
1,20,81.42292359167942,17920
1,15,90.39144652983825,13440
1,10,97.71329804064379,8960
1,5,179.34811223115153,4480
2,80,10.812203863266506,71680
2,75,11.519044445583082,67200
2,70,11.945018282991805,62720
2,65,12.834148370392212,58240
2,60,13.044079001142366,53760
2,55,13.307447995411838,49280
2,50,13.72018304344748,44800
2,45,14.013476029603556,40320
2,40,14.97834790664792,35840
2,35,15.072137838727482,31360
2,30,15.368924315652135,26880
2,25,15.64081407902619,22400
2,20,15.817637895705007,17920
2,15,16.150503197779443,13440
2,10,22.434063012437264,8960
2,5,27.536116075128408,4480
3,80,535.9979964404964,71680
3,75,542.5413660406712,67200
3,70,543.0048585681758,62720
3,65,550.8492194478101,58240
3,60,560.1104645680605,53760
3,55,569.686692199505,49280
3,50,598.7371920631404,44800
3,45,608.2942816930639,40320
3,40,609.394551782901,35840
3,35,631.4645225715865,31360
3,30,656.9427383225177,26880
3,25,673.5593927100117,22400
3,20,687.750850119153,17920
3,15,712.0438454305296,13440
3,10,789.7199686052365,8960
3,5,896.8180658323886,4480
4,80,945.4086188783441,71680
4,75,960.5575399085562,67200
4,70,965.2391595263621,62720
4,65,973.0348946299139,58240
4,60,976.4632003529908,53760
4,55,1010.8759056297883,49280
4,50,1026.3447788512551,44800
4,45,1030.552498346924,40320
4,40,1037.2250246657225,35840
4,35,1056.102681046324,31360
4,30,1071.3196786374278,26880
4,25,1092.4291377169943,22400
4,20,1183.2296407604138,17920
4,15,1258.1784777265798,13440
4,10,1313.9758453863212,8960
4,5,1768.613730835177,4480
5,80,181.30305543507296,71680
5,75,181.4665762057781,67200
5,70,181.83908699839185,62720
5,65,182.11130046287195,58240
5,60,185.64719985189976,53760
5,55,202.14087531908726,49280
5,50,208.00217159290378,44800
5,45,213.5287310281593,40320
