frame,components,mse,pca_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type,explained_variance
0,400,5.97358456508842,55254,710,150528,I,0.9909944860237441
0,375,6.253332029336529,51809,710,150528,I,0.98907494170659
0,350,6.383030191139369,48364,710,150528,I,0.9868681945820801
0,325,6.947318067198924,44919,710,150528,I,0.984343387673697
0,300,7.687747157748527,41474,710,150528,I,0.9814645432328497
0,275,8.969955667964582,38029,710,150528,I,0.9781314747444899
0,250,9.92586371890508,34584,710,150528,I,0.9743260395133265
0,225,10.30519518002891,31139,710,150528,I,0.9699839762627928
0,200,12.50149479834351,27694,710,150528,I,0.9650052366281271
0,175,16.153887867055943,24249,710,150528,I,0.9592221691867581
0,150,20.09915271384343,20804,710,150528,I,0.9524233499302505
0,125,26.13795102189624,17359,710,150528,I,0.9442410285741515
0,100,34.63735956546319,13914,710,150528,I,0.9341332125994877
0,75,50.57623302089453,10469,710,150528,I,0.9206808731641971
0,50,79.16380128396818,7023,710,150528,I,0.900106695088767
0,25,103.35715734760353,3578,710,150528,I,0.8592791547330629
0,0,0.0,150528,710,150528,I,
1,400,6.1285710159051625,55254,3856,150528,P,0.9909944860237441
1,375,6.405828195867073,51809,3856,150528,P,0.98907494170659
1,350,6.529881980520864,48364,3856,150528,P,0.9868681945820801
1,325,7.093348864569587,44919,3856,150528,P,0.984343387673697
1,300,7.813203968397324,41474,3856,150528,P,0.9814645432328497
1,275,9.061581367147857,38029,3856,150528,P,0.9781314747444899
1,250,10.00263728104099,34584,3856,150528,P,0.9743260395133265
1,225,10.383962171716517,31139,3856,150528,P,0.9699839762627928
1,200,12.546365754333276,27694,3856,150528,P,0.9650052366281271
1,175,16.15104189086871,24249,3856,150528,P,0.9592221691867581
1,150,20.00955313031395,20804,3856,150528,P,0.9524233499302505
1,125,25.875907793964583,17359,3856,150528,P,0.9442410285741515
1,100,34.15871164668784,13914,3856,150528,P,0.9341332125994877
1,75,49.57043348459739,10469,3856,150528,P,0.9206808731641971
1,50,77.63386180783212,7023,3856,150528,P,0.900106695088767
1,25,100.99093240832931,3578,3856,150528,P,0.8592791547330629
1,0,0.0,150528,3856,150528,P,
2,400,6.846077880164068,55254,13906,150528,P,0.9909944860237441
2,375,7.135041595534411,51809,13906,150528,P,0.98907494170659
2,350,7.266221846054332,48364,13906,150528,P,0.9868681945820801
2,325,7.844070910597383,44919,13906,150528,P,0.984343387673697
2,300,8.58388542379716,41474,13906,150528,P,0.9814645432328497
2,275,9.853938500302124,38029,13906,150528,P,0.9781314747444899
2,250,10.802797053524504,34584,13906,150528,P,0.9743260395133265
2,225,11.188391558806552,31139,13906,150528,P,0.9699839762627928
2,200,13.351129775546633,27694,13906,150528,P,0.9650052366281271
2,175,16.9429488434841,24249,13906,150528,P,0.9592221691867581
2,150,20.74196089170173,20804,13906,150528,P,0.9524233499302505
2,125,26.5901962074814,17359,13906,150528,P,0.9442410285741515
2,100,34.709039328576765,13914,13906,150528,P,0.9341332125994877
2,75,49.81408546460552,10469,13906,150528,P,0.9206808731641971
2,50,76.86619347024869,7023,13906,150528,P,0.900106695088767
2,25,99.39456205960255,3578,13906,150528,P,0.8592791547330629
2,0,0.0,150528,13906,150528,P,
3,400,6.892985013670766,55254,19616,150528,P,0.9909944860237441
3,375,7.18649902787967,51809,19616,150528,P,0.98907494170659
3,350,7.322982305070252,48364,19616,150528,P,0.9868681945820801
3,325,7.911375961944322,44919,19616,150528,P,0.984343387673697
3,300,8.688426179833682,41474,19616,150528,P,0.9814645432328497
3,275,9.974531146410573,38029,19616,150528,P,0.9781314747444899
3,250,10.953061330713098,34584,19616,150528,P,0.9743260395133265
3,225,11.346321434058714,31139,19616,150528,P,0.9699839762627928
3,200,13.558185466945355,27694,19616,150528,P,0.9650052366281271
3,175,17.166347592649135,24249,19616,150528,P,0.9592221691867581
3,150,20.88985463003952,20804,19616,150528,P,0.9524233499302505
3,125,26.56611635699067,17359,19616,150528,P,0.9442410285741515
3,100,34.49399147206296,13914,19616,150528,P,0.9341332125994877
3,75,49.201208065162376,10469,19616,150528,P,0.9206808731641971
3,50,75.31776996870508,7023,19616,150528,P,0.900106695088767
3,25,97.00491470053171,3578,19616,150528,P,0.8592791547330629
3,0,0.0,150528,19616,150528,P,
4,400,6.931633584248102,55254,875275,150528,P,0.9909944860237441
4,375,7.224407724762683,51809,875275,150528,P,0.98907494170659
4,350,7.367299314581144,48364,875275,150528,P,0.9868681945820801
4,325,7.958002465252302,44919,875275,150528,P,0.984343387673697
4,300,8.742704513546553,41474,875275,150528,P,0.9814645432328497
4,275,10.050146053220804,38029,875275,150528,P,0.9781314747444899
4,250,11.027067374113662,34584,875275,150528,P,0.9743260395133265
4,225,11.404246558852764,31139,875275,150528,P,0.9699839762627928
4,200,13.641197865367298,27694,875275,150528,P,0.9650052366281271
4,175,17.281449719014404,24249,875275,150528,P,0.9592221691867581
4,150,20.99887790560786,20804,875275,150528,P,0.9524233499302505
4,125,26.825083029683245,17359,875275,150528,P,0.9442410285741515
4,100,34.84265538121598,13914,875275,150528,P,0.9341332125994877
4,75,49.507400113197534,10469,875275,150528,P,0.9206808731641971
4,50,75.10472473248866,7023,875275,150528,P,0.900106695088767
4,25,96.15677206316026,3578,875275,150528,P,0.8592791547330629
4,0,0.0,150528,875275,150528,P,
5,400,6.733011068122686,55254,16894,150528,P,0.9909944860237441
5,375,7.030813754763619,51809,16894,150528,P,0.98907494170659
5,350,7.174982536664589,48364,16894,150528,P,0.9868681945820801
5,325,7.762490651403412,44919,16894,150528,P,0.984343387673697
5,300,8.533649774855396,41474,16894,150528,P,0.9814645432328497
5,275,9.81238553289399,38029,16894,150528,P,0.9781314747444899
5,250,10.7720200541342,34584,16894,150528,P,0.9743260395133265
5,225,11.15631725168399,31139,16894,150528,P,0.9699839762627928
5,200,13.351049477811875,27694,16894,150528,P,0.9650052366281271
5,175,16.93697233746104,24249,16894,150528,P,0.9592221691867581
5,150,20.58556889774533,20804,16894,150528,P,0.9524233499302505
5,125,26.298817947494772,17359,16894,150528,P,0.9442410285741515
5,100,34.28474070520827,13914,16894,150528,P,0.9341332125994877
5,75,48.64867802219694,10469,16894,150528,P,0.9206808731641971
5,50,73.377770010535,7023,16894,150528,P,0.900106695088767
5,25,93.49533441131842,3578,16894,150528,P,0.8592791547330629
5,0,0.0,150528,16894,150528,P,
7,400,6.529993654565963,55254,14443,150528,P,0.9909944860237441
7,375,6.832245038386121,51809,14443,150528,P,0.98907494170659
7,350,6.9743942315934415,48364,14443,150528,P,0.9868681945820801
7,325,7.568021573038958,44919,14443,150528,P,0.984343387673697
7,300,8.315881434647036,41474,14443,150528,P,0.9814645432328497
7,275,9.558898510030986,38029,14443,150528,P,0.9781314747444899
