frame,components,mse,pca_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type,explained_variance
0,400,2.834296286475105,95511,217280,150528,I,0.999725005122487
0,375,2.8412272542669332,89556,217280,150528,I,0.9996734853964127
0,350,2.849385441808854,83601,217280,150528,I,0.999614563395009
0,325,2.8581191429558532,77647,217280,150528,I,0.9995473382494905
0,300,2.8675654761633345,71692,217280,150528,I,0.9994708021165499
0,275,2.8760361575219258,65737,217280,150528,I,0.9993825490380484
0,250,2.88701295693394,59782,217280,150528,I,0.9992791963288242
0,225,2.8942170080684004,53827,217280,150528,I,0.9991594206689824
0,200,2.9091470438783986,47872,217280,150528,I,0.999019447581744
0,175,2.9351747860769435,41918,217280,150528,I,0.9988510941875293
0,150,2.951833195818059,35963,217280,150528,I,0.998640255432149
0,125,2.9848673681380133,30008,217280,150528,I,0.9983705274526921
0,100,3.116660024354688,24053,217280,150528,I,0.9980073096856107
0,75,3.2244359334016903,18098,217280,150528,I,0.9974630891695463
0,50,3.331321416298456,12143,217280,150528,I,0.9964798013803119
0,25,3.7289504422056656,6189,217280,150528,I,0.9938265596073401
0,0,0.0,150528,217280,150528,I,
1,400,2.3119888295582913,95511,15431,150528,B,0.999725005122487
1,375,2.316620392743751,89556,15431,150528,B,0.9996734853964127
1,350,2.3213046585093853,83601,15431,150528,B,0.999614563395009
1,325,2.3281571531680694,77647,15431,150528,B,0.9995473382494905
1,300,2.3336642342882015,71692,15431,150528,B,0.9994708021165499
1,275,2.3393954067648006,65737,15431,150528,B,0.9993825490380484
1,250,2.350468755578065,59782,15431,150528,B,0.9992791963288242
1,225,2.356030682074607,53827,15431,150528,B,0.9991594206689824
1,200,2.3688098440961394,47872,15431,150528,B,0.999019447581744
1,175,2.3856345348622243,41918,15431,150528,B,0.9988510941875293
1,150,2.395380094788365,35963,15431,150528,B,0.998640255432149
1,125,2.4166441983392697,30008,15431,150528,B,0.9983705274526921
1,100,2.5487097434871036,24053,15431,150528,B,0.9980073096856107
1,75,2.6335694986258136,18098,15431,150528,B,0.9974630891695463
1,50,2.7109986370678127,12143,15431,150528,B,0.9964798013803119
1,25,3.060362714362088,6189,15431,150528,B,0.9938265596073401
1,0,0.0,150528,15431,150528,B,
2,400,2.104419019506436,95511,16164,150528,B,0.999725005122487
2,375,2.109966747795717,89556,16164,150528,B,0.9996734853964127
2,350,2.113994034192839,83601,16164,150528,B,0.999614563395009
2,325,2.116580083331046,77647,16164,150528,B,0.9995473382494905
2,300,2.120799162550271,71692,16164,150528,B,0.9994708021165499
2,275,2.1261673259963247,65737,16164,150528,B,0.9993825490380484
2,250,2.132943827059332,59782,16164,150528,B,0.9992791963288242
2,225,2.136907783406281,53827,16164,150528,B,0.9991594206689824
2,200,2.1498960711709545,47872,16164,150528,B,0.999019447581744
2,175,2.161661409043212,41918,16164,150528,B,0.9988510941875293
2,150,2.168480033973566,35963,16164,150528,B,0.998640255432149
2,125,2.1845936762250164,30008,16164,150528,B,0.9983705274526921
2,100,2.3185885155447568,24053,16164,150528,B,0.9980073096856107
2,75,2.398069295901753,18098,16164,150528,B,0.9974630891695463
2,50,2.4624813110385873,12143,16164,150528,B,0.9964798013803119
2,25,2.7876441278815287,6189,16164,150528,B,0.9938265596073401
2,0,0.0,150528,16164,150528,B,
3,400,2.312405970097566,95511,78759,150528,P,0.999725005122487
3,375,2.3176488212340898,89556,78759,150528,P,0.9996734853964127
3,350,2.3214363113314684,83601,78759,150528,P,0.999614563395009
3,325,2.3239270976443267,77647,78759,150528,P,0.9995473382494905
3,300,2.3287443127411263,71692,78759,150528,P,0.9994708021165499
3,275,2.332710256191708,65737,78759,150528,P,0.9993825490380484
3,250,2.3408501679381764,59782,78759,150528,P,0.9992791963288242
3,225,2.3462175273669112,53827,78759,150528,P,0.9991594206689824
3,200,2.358281975754072,47872,78759,150528,P,0.999019447581744
3,175,2.3729561580787744,41918,78759,150528,P,0.9988510941875293
3,150,2.3824260211763315,35963,78759,150528,P,0.998640255432149
3,125,2.3970178992054927,30008,78759,150528,P,0.9983705274526921
