frame,components,mse,pca_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type,explained_variance
1,400,0.04447098272487371,76746,66,150528,B,0.9999945189872064
1,375,0.049322778870455414,71961,66,150528,B,0.9999536295567241
1,350,0.049397554499781386,67176,66,150528,B,0.9998368686802521
1,325,0.0828359609720923,62391,66,150528,B,0.9995984526756162
1,300,0.0847909325719225,57607,66,150528,B,0.9991649996355504
1,275,0.08538288077984306,52822,66,150528,B,0.9984018210089132
1,250,0.08901554287320679,48037,66,150528,B,0.99726952771247
1,225,0.1040597051080084,43252,66,150528,B,0.9955092536614626
1,200,0.5812435371681625,38467,66,150528,B,0.9931139153913323
1,175,0.6233721298853575,33682,66,150528,B,0.9898380936697352
1,150,0.7004043720804944,28897,66,150528,B,0.9853079966119862
1,125,0.8267328593986453,24112,66,150528,B,0.9789289720100925
1,100,2.4435572267871346,19327,66,150528,B,0.9697857154026597
1,75,3.114907489949075,14542,66,150528,B,0.955913590807828
1,50,3.9810310012809857,9757,66,150528,B,0.9336854748942062
1,25,5.425390078270907,4972,66,150528,B,0.8878539892583103
1,0,0.0,150528,66,150528,B,
2,400,0.04446621726288772,76746,69,150528,B,0.9999945189872064
2,375,0.049323743303142674,71961,69,150528,B,0.9999536295567241
2,350,0.049399014251805644,67176,69,150528,B,0.9998368686802521
2,325,0.08284777227814698,62391,69,150528,B,0.9995984526756162
2,300,0.08480243760187303,57607,69,150528,B,0.9991649996355504
2,275,0.08539328717054072,52822,69,150528,B,0.9984018210089132
2,250,0.0890273813210983,48037,69,150528,B,0.99726952771247
2,225,0.10407437522985816,43252,69,150528,B,0.9955092536614626
2,200,0.5812608679191891,38467,69,150528,B,0.9931139153913323
2,175,0.6233965346132305,33682,69,150528,B,0.9898380936697352
2,150,0.7004201230610554,28897,69,150528,B,0.9853079966119862
2,125,0.826736284055351,24112,69,150528,B,0.9789289720100925
2,100,2.4435449186107454,19327,69,150528,B,0.9697857154026597
2,75,3.114890470320515,14542,69,150528,B,0.955913590807828
2,50,3.981070577106379,9757,69,150528,B,0.9336854748942062
2,25,5.4253973792937735,4972,69,150528,B,0.8878539892583103
2,0,0.0,150528,69,150528,B,
3,400,0.044437387507765075,76746,103,150528,P,0.9999945189872064
3,375,0.0492902666119319,71961,103,150528,P,0.9999536295567241
3,350,0.04936507438299039,67176,103,150528,P,0.9998368686802521
3,325,0.08281904347002805,62391,103,150528,P,0.9995984526756162
3,300,0.08477472194836919,57607,103,150528,P,0.9991649996355504
3,275,0.08536707569650488,52822,103,150528,P,0.9984018210089132
3,250,0.08900012486833547,48037,103,150528,P,0.99726952771247
3,225,0.10404492100400915,43252,103,150528,P,0.9955092536614626
3,200,0.5812382937355237,38467,103,150528,P,0.9931139153913323
3,175,0.6233665958685416,33682,103,150528,P,0.9898380936697352
3,150,0.7004001175746595,28897,103,150528,P,0.9853079966119862
3,125,0.8267303787327691,24112,103,150528,P,0.9789289720100925
3,100,2.4435533157977543,19327,103,150528,P,0.9697857154026597
3,75,3.114908381625314,14542,103,150528,P,0.955913590807828
3,50,3.9810250768606283,9757,103,150528,P,0.9336854748942062
3,25,5.425379954748835,4972,103,150528,P,0.8878539892583103
3,0,0.0,150528,103,150528,P,
4,400,0.044437387507765075,76746,66,150528,B,0.9999945189872064
4,375,0.0492902666119319,71961,66,150528,B,0.9999536295567241
4,350,0.04936507438299039,67176,66,150528,B,0.9998368686802521
4,325,0.08281904347002805,62391,66,150528,B,0.9995984526756162
4,300,0.08477472194836919,57607,66,150528,B,0.9991649996355504
4,275,0.08536707569650488,52822,66,150528,B,0.9984018210089132
4,250,0.08900012486833547,48037,66,150528,B,0.99726952771247
4,225,0.10404492100400915,43252,66,150528,B,0.9955092536614626
4,200,0.5812382937355237,38467,66,150528,B,0.9931139153913323
4,175,0.6233665958685416,33682,66,150528,B,0.9898380936697352
4,150,0.7004001175746595,28897,66,150528,B,0.9853079966119862
4,125,0.8267303787327691,24112,66,150528,B,0.9789289720100925
4,100,2.4435533157977543,19327,66,150528,B,0.9697857154026597
4,75,3.114908381625314,14542,66,150528,B,0.955913590807828
4,50,3.9810250768606283,9757,66,150528,B,0.9336854748942062
4,25,5.425379954748835,4972,66,150528,B,0.8878539892583103
4,0,0.0,150528,66,150528,B,
5,400,0.044437387507765075,76746,68,150528,B,0.9999945189872064
5,375,0.0492902666119319,71961,68,150528,B,0.9999536295567241
5,350,0.04936507438299039,67176,68,150528,B,0.9998368686802521
5,325,0.08281904347002805,62391,68,150528,B,0.9995984526756162
5,300,0.08477472194836919,57607,68,150528,B,0.9991649996355504
5,275,0.08536707569650488,52822,68,150528,B,0.9984018210089132
5,250,0.08900012486833547,48037,68,150528,B,0.99726952771247
5,225,0.10404492100400915,43252,68,150528,B,0.9955092536614626
5,200,0.5812382937355237,38467,68,150528,B,0.9931139153913323
5,175,0.6233665958685416,33682,68,150528,B,0.9898380936697352
5,150,0.7004001175746595,28897,68,150528,B,0.9853079966119862
5,125,0.8267303787327691,24112,68,150528,B,0.9789289720100925
5,100,2.4435533157977543,19327,68,150528,B,0.9697857154026597
5,75,3.114908381625314,14542,68,150528,B,0.955913590807828
5,50,3.9810250768606283,9757,68,150528,B,0.9336854748942062
5,25,5.425379954748835,4972,68,150528,B,0.8878539892583103
5,0,0.0,150528,68,150528,B,
6,400,0.04440713489958775,76746,89,150528,P,0.9999945189872064
6,375,0.049250816813652135,71961,89,150528,P,0.9999536295567241
6,350,0.04932557956249975,67176,89,150528,P,0.9998368686802521
6,325,0.08280453104066679,62391,89,150528,P,0.9995984526756162
6,300,0.08476029637087167,57607,89,150528,P,0.9991649996355504
6,275,0.08535246217440595,52822,89,150528,P,0.9984018210089132
6,250,0.08898572095011252,48037,89,150528,P,0.99726952771247
6,225,0.10402700321008827,43252,89,150528,P,0.9955092536614626
6,200,0.5810748103334216,38467,89,150528,P,0.9931139153913323
6,175,0.6231954283604423,33682,89,150528,P,0.9898380936697352
6,150,0.7002209789182796,28897,89,150528,P,0.9853079966119862
6,125,0.826544185760432,24112,89,150528,P,0.9789289720100925
6,100,2.443373537029773,19327,89,150528,P,0.9697857154026597
6,75,3.114727937967799,14542,89,150528,P,0.955913590807828
6,50,3.980840488970231,9757,89,150528,P,0.9336854748942062
6,25,5.4251378550549925,4972,89,150528,P,0.8878539892583103
6,0,0.0,150528,89,150528,P,
7,400,0.04440713489958775,76746,66,150528,B,0.9999945189872064
7,375,0.049250816813652135,71961,66,150528,B,0.9999536295567241
7,350,0.04932557956249975,67176,66,150528,B,0.9998368686802521
7,325,0.08280453104066679,62391,66,150528,B,0.9995984526756162
7,300,0.08476029637087167,57607,66,150528,B,0.9991649996355504
7,275,0.08535246217440595,52822,66,150528,B,0.9984018210089132
7,250,0.08898572095011252,48037,66,150528,B,0.99726952771247
7,225,0.10402700321008827,43252,66,150528,B,0.9955092536614626
7,200,0.5810748103334216,38467,66,150528,B,0.9931139153913323
7,175,0.6231954283604423,33682,66,150528,B,0.9898380936697352
7,150,0.7002209789182796,28897,66,150528,B,0.9853079966119862
