frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,80,1124.2638640137586,12720,12720,150528,I,0.8985203227303165
0,75,1125.4860379356257,11935,12720,150528,I,0.8923621946208474
0,70,1129.1064882296491,11149,12720,150528,I,0.8856221307975415
0,65,1130.5753746571938,10364,12720,150528,I,0.878271434885269
0,60,1138.1077435815237,9578,12720,150528,I,0.8699616863192758
0,55,1145.8178431516876,8793,12720,150528,I,0.8606525573681185
0,50,1147.5395999074808,8007,12720,150528,I,0.8503145263123457
0,45,1158.0473152636794,7222,12720,150528,I,0.8381322744174534
0,40,1167.7585473856884,6436,12720,150528,I,0.8238952397400189
0,35,1180.952984717873,5651,12720,150528,I,0.8073609099878252
0,30,1226.558023040555,4865,12720,150528,I,0.786810924270824
0,25,1328.825692042954,4080,12720,150528,I,0.761019180369369
0,20,1607.1104771778798,3294,12720,150528,I,0.7281396303932256
0,15,2063.835014523736,2509,12720,150528,I,0.6834596127176593
0,10,2247.0095702311914,1724,12720,150528,I,0.6113121797722122
0,5,2411.781606671965,938,12720,150528,I,0.4677893833706687
1,80,1061.100488322931,12720,12720,150528,P,0.8985203227303165
1,75,1062.1559137831837,11935,12720,150528,P,0.8923621946208474
1,70,1065.5536744246601,11149,12720,150528,P,0.8856221307975415
1,65,1066.7611702736579,10364,12720,150528,P,0.878271434885269
1,60,1074.201364217753,9578,12720,150528,P,0.8699616863192758
1,55,1082.4517085993343,8793,12720,150528,P,0.8606525573681185
1,50,1084.7714893962836,8007,12720,150528,P,0.8503145263123457
1,45,1095.4932258288202,7222,12720,150528,P,0.8381322744174534
1,40,1106.9489665125816,6436,12720,150528,P,0.8238952397400189
1,35,1124.4003452205375,5651,12720,150528,P,0.8073609099878252
1,30,1177.1075285604782,4865,12720,150528,P,0.786810924270824
1,25,1295.0302177911842,4080,12720,150528,P,0.761019180369369
1,20,1581.5299610556442,3294,12720,150528,P,0.7281396303932256
1,15,2061.770145250138,2509,12720,150528,P,0.6834596127176593
1,10,2255.7630576886986,1724,12720,150528,P,0.6113121797722122
1,5,2419.466927197681,938,12720,150528,P,0.4677893833706687
2,80,989.6216373193663,12720,12720,150528,P,0.8985203227303165
2,75,990.5036625100009,11935,12720,150528,P,0.8923621946208474
2,70,993.5700165723916,11149,12720,150528,P,0.8856221307975415
2,65,994.6416369407251,10364,12720,150528,P,0.878271434885269
2,60,1002.2981738993318,9578,12720,150528,P,0.8699616863192758
2,55,1011.4018847613593,8793,12720,150528,P,0.8606525573681185
2,50,1016.3694670889548,8007,12720,150528,P,0.8503145263123457
2,45,1026.9416585429528,7222,12720,150528,P,0.8381322744174534
2,40,1040.3441181199128,6436,12720,150528,P,0.8238952397400189
2,35,1063.6519270652032,5651,12720,150528,P,0.8073609099878252
2,30,1124.053917234232,4865,12720,150528,P,0.786810924270824
2,25,1260.43526068754,4080,12720,150528,P,0.761019180369369
2,20,1555.158020062405,3294,12720,150528,P,0.7281396303932256
2,15,2056.480565676173,2509,12720,150528,P,0.6834596127176593
2,10,2262.5255227414027,1724,12720,150528,P,0.6113121797722122
2,5,2425.4601835174212,938,12720,150528,P,0.4677893833706687
3,80,903.3712832259092,12720,12720,150528,P,0.8985203227303165
3,75,904.116458800056,11935,12720,150528,P,0.8923621946208474
3,70,906.7912164072839,11149,12720,150528,P,0.8856221307975415
3,65,907.921377269579,10364,12720,150528,P,0.878271434885269
3,60,916.9122698069606,9578,12720,150528,P,0.8699616863192758
3,55,927.2730283579078,8793,12720,150528,P,0.8606525573681185
3,50,937.6421447898599,8007,12720,150528,P,0.8503145263123457
3,45,948.1016197192597,7222,12720,150528,P,0.8381322744174534
3,40,964.42345519721,6436,12720,150528,P,0.8238952397400189
3,35,995.1836883993124,5651,12720,150528,P,0.8073609099878252
3,30,1064.407976898207,4865,12720,150528,P,0.786810924270824
3,25,1221.4990424590833,4080,12720,150528,P,0.761019180369369
3,20,1528.9724658163482,3294,12720,150528,P,0.7281396303932256
3,15,2053.9017358077194,2509,12720,150528,P,0.6834596127176593
3,10,2273.3397294067086,1724,12720,150528,P,0.6113121797722122
3,5,2437.101893437844,938,12720,150528,P,0.4677893833706687
4,80,799.5569401548489,12720,12720,150528,P,0.8985203227303165
4,75,800.400118395765,11935,12720,150528,P,0.8923621946208474
4,70,802.770318318202,11149,12720,150528,P,0.8856221307975415
4,65,804.0575123277615,10364,12720,150528,P,0.878271434885269
4,60,814.7217941853454,9578,12720,150528,P,0.8699616863192758
4,55,826.302292286983,8793,12720,150528,P,0.8606525573681185
4,50,844.0085268302842,8007,12720,150528,P,0.8503145263123457
4,45,854.7683161661938,7222,12720,150528,P,0.8381322744174534
4,40,875.3916353571175,6436,12720,150528,P,0.8238952397400189
4,35,914.5551041261798,5651,12720,150528,P,0.8073609099878252
4,30,994.6157318326942,4865,12720,150528,P,0.786810924270824
4,25,1173.2259698514727,4080,12720,150528,P,0.761019180369369
4,20,1494.8674253278384,3294,12720,150528,P,0.7281396303932256
4,15,2043.0964085941202,2509,12720,150528,P,0.6834596127176593
4,10,2276.6478334573444,1724,12720,150528,P,0.6113121797722122
4,5,2440.861745205647,938,12720,150528,P,0.4677893833706687
5,80,691.3643319593856,12720,12720,150528,P,0.8985203227303165
5,75,692.6904864206116,11935,12720,150528,P,0.8923621946208474
5,70,695.0159541269328,11149,12720,150528,P,0.8856221307975415
5,65,696.4751524126173,10364,12720,150528,P,0.878271434885269
5,60,709.1738632244644,9578,12720,150528,P,0.8699616863192758
5,55,722.7024443808731,8793,12720,150528,P,0.8606525573681185
5,50,748.6786113785372,8007,12720,150528,P,0.8503145263123457
5,45,760.243171033693,7222,12720,150528,P,0.8381322744174534
5,40,785.3844163497724,6436,12720,150528,P,0.8238952397400189
5,35,833.1852174581755,5651,12720,150528,P,0.8073609099878252
5,30,924.6531258415156,4865,12720,150528,P,0.786810924270824
5,25,1125.8377268952115,4080,12720,150528,P,0.761019180369369
5,20,1462.5447347139252,3294,12720,150528,P,0.7281396303932256
5,15,2033.4508264381932,2509,12720,150528,P,0.6834596127176593
5,10,2280.8564375264523,1724,12720,150528,P,0.6113121797722122
5,5,2444.8704896325175,938,12720,150528,P,0.4677893833706687
6,80,595.7707471135429,12720,12720,150528,P,0.8985203227303165
6,75,597.8831579378744,11935,12720,150528,P,0.8923621946208474
6,70,600.362884262846,11149,12720,150528,P,0.8856221307975415
6,65,602.1219524695301,10364,12720,150528,P,0.878271434885269
6,60,617.0111589496215,9578,12720,150528,P,0.8699616863192758
6,55,632.4862371983747,8793,12720,150528,P,0.8606525573681185
6,50,664.7068844245371,8007,12720,150528,P,0.8503145263123457
6,45,677.0893795798676,7222,12720,150528,P,0.8381322744174534
6,40,707.0257433809911,6436,12720,150528,P,0.8238952397400189
6,35,761.9375721719684,5651,12720,150528,P,0.8073609099878252
6,30,863.1746074239343,4865,12720,150528,P,0.786810924270824
6,25,1083.40970169514,4080,12720,150528,P,0.761019180369369
6,20,1431.6619819335174,3294,12720,150528,P,0.7281396303932256
6,15,2020.28574778823,2509,12720,150528,P,0.6834596127176593
6,10,2278.7216010446878,1724,12720,150528,P,0.6113121797722122
6,5,2441.836485948929,938,12720,150528,P,0.4677893833706687
7,80,498.0101411686238,12720,12720,150528,P,0.8985203227303165
7,75,500.9399336307565,11935,12720,150528,P,0.8923621946208474
7,70,503.6204429667072,11149,12720,150528,P,0.8856221307975415
7,65,505.7453822902818,10364,12720,150528,P,0.878271434885269
7,60,522.6170680943492,9578,12720,150528,P,0.8699616863192758
7,55,539.6990650902661,8793,12720,150528,P,0.8606525573681185
7,50,578.8531155512019,8007,12720,150528,P,0.8503145263123457
7,45,592.7544839352228,7222,12720,150528,P,0.8381322744174534
7,40,626.9372580711923,6436,12720,150528,P,0.8238952397400189
7,35,688.4329923107432,5651,12720,150528,P,0.8073609099878252
7,30,798.1507491700156,4865,12720,150528,P,0.786810924270824
7,25,1033.5053937133869,4080,12720,150528,P,0.761019180369369
7,20,1395.312164950181,3294,12720,150528,P,0.7281396303932256
7,15,2000.245449624174,2509,12720,150528,P,0.6834596127176593
7,10,2266.992289962252,1724,12720,150528,P,0.6113121797722122
7,5,2430.164930580452,938,12720,150528,P,0.4677893833706687
