frame,latent_dim,mse,ae_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type
0,0,0.0,150528,185908,150528,I
0,4,1059.711304306984,3281,185908,150528,I
0,20,1008.6036572232842,6206,185908,150528,I
0,36,1125.73275687173,9131,185908,150528,I
0,52,1145.0245116837323,12056,185908,150528,I
0,68,1031.27776728943,14981,185908,150528,I
0,84,881.7120430525392,17906,185908,150528,I
0,100,807.6102908235043,20831,185908,150528,I
0,116,826.9348081899807,23755,185908,150528,I
0,132,761.8864216608927,26680,185908,150528,I
0,148,473.19187552202493,29605,185908,150528,I
0,164,511.6202929057181,32530,185908,150528,I
0,180,754.0367921814322,35455,185908,150528,I
0,196,744.3629364017397,38380,185908,150528,I
0,212,550.7208574097604,41304,185908,150528,I
0,228,395.74137842282653,44229,185908,150528,I
0,244,479.014102416113,47154,185908,150528,I
0,260,420.48722044564784,50079,185908,150528,I
0,276,254.5622019795701,53004,185908,150528,I
0,292,325.6716913660057,55929,185908,150528,I
0,308,376.241602585651,58853,185908,150528,I
0,324,208.67031117668375,61778,185908,150528,I
0,340,293.8441414386034,64703,185908,150528,I
0,356,208.47491675522178,67628,185908,150528,I
0,372,272.4256668705493,70553,185908,150528,I
1,0,0.0,150528,8249,150528,P
1,4,1059.710577595979,3281,8249,150528,P
1,20,1008.6025671567768,6206,8249,150528,P
1,36,1125.7316668052226,9131,8249,150528,P
1,52,1145.0243905652314,12056,8249,150528,P
1,68,1031.2775250524282,14981,8249,150528,P
1,84,881.7116191377863,17906,8249,150528,P
1,100,807.6101697050035,20831,8249,150528,P
1,116,826.9345053937286,23755,8249,150528,P
1,132,761.8866638978943,26680,8249,150528,P
1,148,473.1901798630133,29605,8249,150528,P
1,164,511.61974787246436,32530,8249,150528,P
1,180,754.0384272811934,35455,8249,150528,P
1,196,744.3626336054876,38380,8249,150528,P
1,212,550.7189195137471,41304,8249,150528,P
1,228,395.7424987689592,44229,8249,150528,P
1,244,479.0139207383618,47154,8249,150528,P
1,260,420.48722044564784,50079,8249,150528,P
1,276,254.56232309807092,53004,8249,150528,P
1,292,325.67108577350155,55929,8249,150528,P
1,308,376.23809014912695,58853,8249,150528,P
1,324,208.67000838043168,61778,8249,150528,P
1,340,293.8442019978538,64703,8249,150528,P
1,356,208.47508329316042,67628,8249,150528,P
1,372,272.4256365909241,70553,8249,150528,P
2,0,0.0,150528,5,150528,P
2,4,1059.7104564774781,3281,5,150528,P
2,20,1008.602022123523,6206,5,150528,P
2,36,1125.7313034497201,9131,5,150528,P
2,52,1145.0234216172248,12056,5,150528,P
2,68,1031.276919459924,14981,5,150528,P
2,84,881.7108924267814,17906,5,150528,P
2,100,807.6104725012556,20831,5,150528,P
2,116,826.9336575642228,23755,5,150528,P
2,132,761.8856343906373,26680,5,150528,P
2,148,473.18606183398515,29605,5,150528,P
2,164,511.6153270471841,32530,5,150528,P
2,180,754.0355204371735,35455,5,150528,P
2,196,744.3567593581975,38380,5,150528,P
2,212,550.7195251062512,41304,5,150528,P
2,228,395.73971304344013,44229,5,150528,P
2,244,479.0144657716155,47154,5,150528,P
2,260,420.487099327147,50079,5,150528,P
2,276,254.56023380393162,53004,5,150528,P
2,292,325.66984430886805,55929,5,150528,P
2,308,376.2396344100125,58853,5,150528,P
2,324,208.67037173593417,61778,5,150528,P
2,340,293.8450801069848,64703,5,150528,P
2,356,208.47447770065628,67628,5,150528,P
2,372,272.42363813566044,70553,5,150528,P
3,0,0.0,150528,122,150528,P
3,4,1059.7103353589773,3281,122,150528,P
3,20,1008.601719327271,6206,122,150528,P
3,36,1125.7311823312193,9131,122,150528,P
3,52,1145.0231793802232,12056,122,150528,P
3,68,1031.2766772229224,14981,122,150528,P
3,84,881.7098023602739,17906,122,150528,P
