frame,latent_dim,mse,ae_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type
0,0,0.0,150528,12005,150528,I
0,4,524.6353842085227,4278,12005,150528,I
0,20,515.0581204332411,8076,12005,150528,I
0,36,499.30348003981635,11874,12005,150528,I
0,52,460.4945991653949,15673,12005,150528,I
0,68,423.4760314109735,19471,12005,150528,I
0,84,415.1498914696276,23269,12005,150528,I
0,100,367.7293943474069,27067,12005,150528,I
0,116,371.9819860300049,30865,12005,150528,I
0,132,345.41388588258997,34663,12005,150528,I
0,148,316.46517132176086,38461,12005,150528,I
0,164,282.6028911396861,42259,12005,150528,I
0,180,251.58153623342514,46057,12005,150528,I
0,196,252.3495032277424,49855,12005,150528,I
0,212,251.93942626356147,53653,12005,150528,I
0,228,222.55825809552334,57451,12005,150528,I
0,244,206.961374549428,61249,12005,150528,I
0,260,242.8115121263545,65047,12005,150528,I
0,276,205.01890631276183,68845,12005,150528,I
0,292,217.73035353398882,72644,12005,150528,I
0,308,203.03889134083875,76442,12005,150528,I
0,324,174.14281790843233,80240,12005,150528,I
0,340,210.57438484858721,84038,12005,150528,I
0,356,179.47247099946253,87836,12005,150528,I
0,372,166.24434739351273,91634,12005,150528,I
1,0,0.0,150528,68,150528,B
1,4,524.6353842085227,4278,68,150528,B
1,20,515.0581204332411,8076,68,150528,B
1,36,499.30348003981635,11874,68,150528,B
1,52,460.4945991653949,15673,68,150528,B
1,68,423.4760314109735,19471,68,150528,B
1,84,415.1498914696276,23269,68,150528,B
1,100,367.7293943474069,27067,68,150528,B
1,116,371.9819860300049,30865,68,150528,B
1,132,345.41388588258997,34663,68,150528,B
1,148,316.46517132176086,38461,68,150528,B
1,164,282.6029214193113,42259,68,150528,B
1,180,251.58153623342514,46057,68,150528,B
1,196,252.3495032277424,49855,68,150528,B
1,212,251.93942626356147,53653,68,150528,B
1,228,222.55825809552334,57451,68,150528,B
1,244,206.961374549428,61249,68,150528,B
1,260,242.8115424059797,65047,68,150528,B
1,276,205.01890631276183,68845,68,150528,B
1,292,217.73035353398882,72644,68,150528,B
1,308,203.03889134083875,76442,68,150528,B
1,324,174.14281790843233,80240,68,150528,B
1,340,210.57438484858721,84038,68,150528,B
1,356,179.47247099946253,87836,68,150528,B
