frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,200,0.12578767602071983,67223,26272,150528,I,0.9919898115901276
0,195,0.15599877647090238,65551,26272,150528,I,0.9909971055443533
0,190,0.19796408217065684,63879,26272,150528,I,0.9899608121799164
0,185,0.22197135323699652,62206,26272,150528,I,0.9888752266133416
0,180,0.2483705310387912,60534,26272,150528,I,0.9877257425457708
0,175,0.27693080481543614,58862,26272,150528,I,0.9864972965298755
0,170,0.2951785866201865,57189,26272,150528,I,0.9851983137240377
0,165,0.543795726499313,55517,26272,150528,I,0.9838349844253625
0,160,0.9861089606893066,53845,26272,150528,I,0.9824124282387585
0,155,1.2981358266267835,52172,26272,150528,I,0.9809203869560699
0,150,3.3109429929226093,50500,26272,150528,I,0.9793573834199694
0,145,4.2636157086335675,48828,26272,150528,I,0.9777181078228641
0,140,5.354586055425022,47155,26272,150528,I,0.9759996690287945
0,135,6.3167032877646925,45483,26272,150528,I,0.9742038546102646
0,130,7.99373939833619,43811,26272,150528,I,0.9723237623137745
0,125,8.703425101214235,42138,26272,150528,I,0.9703570732962009
0,120,10.41634016366052,40466,26272,150528,I,0.9683084421547007
0,115,15.78782239703196,38794,26272,150528,I,0.9661284231637723
0,110,21.61368358839735,37121,26272,150528,I,0.9638074402148937
0,105,39.24364880161918,35449,26272,150528,I,0.9613628502096088
0,100,66.99297964409892,33777,26272,150528,I,0.9587548126677
0,95,105.23541712113777,32104,26272,150528,I,0.9559727608411096
0,90,226.98497853381056,30432,26272,150528,I,0.9530133006567262
0,85,251.7258165689044,28760,26272,150528,I,0.9498104528728282
0,80,256.1754515738146,27087,26272,150528,I,0.9463753118446621
0,75,258.95472369598986,25415,26272,150528,I,0.9426574813424473
0,70,268.3136933654776,23743,26272,150528,I,0.9386030710703871
0,65,275.49184999727856,22070,26272,150528,I,0.9341585801962138
0,60,290.34816755045165,20398,26272,150528,I,0.9293422602967794
0,55,294.0637728525182,18726,26272,150528,I,0.9240445694060178
0,50,295.48966425630215,17053,26272,150528,I,0.9181924223622168
0,45,295.6965355944743,15381,26272,150528,I,0.9116281462545032
0,40,298.1108725768913,13709,26272,150528,I,0.9041095985915755
0,35,299.6455795836884,12036,26272,150528,I,0.8952614608367335
0,30,304.1731846795313,10364,26272,150528,I,0.884531243137985
0,25,305.7912327245588,8692,26272,150528,I,0.8710291092066802
0,20,311.96890148138976,7019,26272,150528,I,0.8533439445748574
0,15,319.13764492534165,5347,26272,150528,I,0.829711103287953
0,10,325.9037315392473,3675,26272,150528,I,0.7927354870414732
0,5,342.56029213719677,2002,26272,150528,I,0.7141005194955499
0,0,0.0,150528,26272,150528,I,
1,200,0.12537046584434075,67223,948,150528,P,0.9919898115901276
