user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,562.749,0.5,2.66724,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,754.097,0.294,9.63333,1000,495,201,505,0.495,0.505,505,0,summary
2,billiardstest,model,adaptive,748.924,0.303,10.8318,1000,492,189,508,0.492,0.508,508,0,summary
3,billiardstest,model,adaptive,696.028,0.361,13.7297,1000,493,132,507,0.493,0.507,507,0,summary
4,billiardstest,model,adaptive,747.274,0.313,6.98668,1000,498,185,502,0.498,0.502,502,0,summary
5,billiardstest,model,adaptive,775.951,0.276,13.6008,1000,479,203,521,0.479,0.521,521,0,summary
0,billiardstest,static,5,891.19,0.5,2.26768,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,908.311,0.434,2.73295,1000,500,66,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,909.532,0.419,2.84339,1000,500,81,500,0.5,0.5,500,0,summary
3,billiardstest,static,5,896.63,0.481,2.38631,1000,500,19,500,0.5,0.5,500,0,summary
4,billiardstest,static,5,916.304,0.392,6.81974,1000,498,106,502,0.498,0.502,502,0,summary
5,billiardstest,static,5,913.853,0.395,7.20488,1000,496,101,504,0.496,0.504,504,0,summary
0,billiardstest,static,10,750.325,0.5,2.25721,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,791.301,0.424,2.80495,1000,500,76,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,803.21,0.399,2.95739,1000,500,101,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,772.182,0.457,2.54431,1000,500,43,500,0.5,0.5,500,0,summary
4,billiardstest,static,10,807.575,0.392,3.02699,1000,500,108,500,0.5,0.5,500,0,summary
5,billiardstest,static,10,814.985,0.375,10.4186,1000,490,115,510,0.49,0.51,510,0,summary
0,billiardstest,static,15,684.8,0.499,2.2829,1000,500,1,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,759.567,0.386,3.13695,1000,500,114,500,0.5,0.5,500,0,summary
