frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,122.994,35326,0.017063448,0.019500000,2.436552,1,122.994389,5.000000,14,0,18,0.003,3
2,35,179.875,27562,0.030572844,0.033000000,2.427156,1,179.874917,5.000000,14,0,18,0.923,3
3,30,220.701,23680,0.046529701,0.049000000,2.470299,1,220.700784,5.000000,14,0,18,0.623,3
4,30,215.393,23680,0.059474488,0.062000000,2.525512,1,215.392593,5.000000,14,0,18,0.597,4
5,30,215.623,23680,0.072321769,0.074500000,2.178231,1,215.622607,5.000000,14,0,18,0.625,3
6,30,210.960,23680,0.085919725,0.088000000,2.080275,1,210.959836,5.000000,14,0,18,1.000,4
7,30,211.224,23680,0.100502808,0.103000000,2.497192,1,211.224439,5.000000,14,0,18,0.623,2
8,30,206.776,23680,0.117784828,0.123000000,5.215172,0,1016.684637,5.000000,14,0,18,0.000,1
9,30,210.806,23680,0.131376255,0.133500000,2.123745,1,210.806029,5.000000,14,0,18,0.003,3
10,30,210.414,23680,0.144458391,0.146500000,2.041609,1,210.413990,5.000000,14,0,18,0.000,2
11,30,217.204,23680,0.159880695,0.162000000,2.119305,1,217.204258,5.000000,14,0,18,0.309,5
12,30,214.980,23680,0.175118784,0.177500000,2.381216,1,214.979912,5.000000,14,0,18,0.002,2
13,30,215.368,23680,0.190278715,0.192500000,2.221285,1,215.368149,5.000000,14,0,18,0.625,4
14,30,209.814,23680,0.203366018,0.208500000,5.133982,0,1016.684637,5.000000,14,0,18,0.499,5
15,30,212.960,23680,0.218791494,0.221500000,2.708506,1,212.960015,5.000000,14,0,18,0.000,3
16,30,211.042,23680,0.234519274,0.237000000,2.480726,1,211.042464,5.000000,14,0,18,0.989,4
17,30,214.080,23680,0.247984209,0.250500000,2.515791,1,214.079917,5.000000,14,0,18,0.119,3
18,30,208.316,23680,0.261592373,0.264500000,2.907627,1,208.316401,5.000000,14,0,18,0.425,5
19,30,205.669,23680,0.276045313,0.278500000,2.454687,1,205.669197,5.000000,14,0,18,0.623,3
20,30,200.372,23680,0.290280782,0.292500000,2.219218,1,200.371693,5.000000,14,0,18,0.000,3
21,30,197.211,23680,0.304882204,0.307000000,2.117796,1,197.211213,5.000000,14,0,18,0.002,4
22,30,201.312,23680,0.321260625,0.326500000,5.239375,0,1016.684637,5.000000,14,0,18,0.974,3
23,30,209.725,23680,0.335704626,0.338000000,2.295374,1,209.724955,5.000000,14,0,18,0.000,1
24,30,205.820,23680,0.350919847,0.353000000,2.080153,1,205.819755,5.000000,14,0,18,0.000,0
25,30,206.785,23680,0.363801778,0.366000000,2.198222,1,206.784612,5.000000,14,0,18,0.000,0
26,30,210.804,23680,0.377841362,0.380000000,2.158638,1,210.803850,5.000000,14,0,18,0.000,1
27,30,215.250,23680,0.393076834,0.395500000,2.423166,1,215.249954,5.000000,14,0,18,0.722,1
28,30,217.331,23680,0.407746376,0.413000000,5.253624,0,1016.684637,5.000000,14,0,18,0.278,2
29,30,219.912,23680,0.420908669,0.423000000,2.091331,1,219.911956,5.000000,14,0,18,0.872,2
30,30,219.885,23680,0.433909957,0.436000000,2.090043,1,219.884952,5.000000,14,0,18,0.000,1
31,30,221.862,23680,0.450678688,0.453000000,2.321312,1,221.861558,5.000000,14,0,18,0.002,3
32,30,219.946,23680,0.464911635,0.467000000,2.088365,1,219.946404,5.000000,14,0,18,0.275,5
33,30,230.107,23680,0.477802253,0.480500000,2.697747,1,230.106782,5.000000,14,0,18,0.000,3
34,30,229.328,23680,0.491585248,0.494000000,2.414752,1,229.328384,5.000000,14,0,18,0.625,3
35,30,225.452,23680,0.504264530,0.512500000,8.235470,0,1016.684637,5.000000,14,0,18,0.607,4
36,30,220.403,23680,0.516940917,0.519000000,2.059083,1,220.403429,5.000000,14,0,18,0.000,2
37,30,219.226,23680,0.531233181,0.533500000,2.266819,1,219.225756,5.000000,14,0,18,0.623,1
38,30,216.305,23680,0.546665936,0.549000000,2.334064,1,216.304636,5.000000,14,0,18,0.001,2
39,30,214.701,23680,0.560939562,0.563000000,2.060438,1,214.701086,5.000000,14,0,18,0.000,1
40,30,218.061,23680,0.576562455,0.579000000,2.437545,1,218.061488,5.000000,14,0,18,0.623,2
41,30,219.676,23680,0.592166233,0.594500000,2.333767,1,219.676384,5.000000,14,0,18,0.623,2
42,30,209.494,23680,0.609266338,0.612000000,2.733662,1,209.494199,5.000000,14,0,18,0.000,5
43,30,210.339,23680,0.622728946,0.625000000,2.271054,1,210.338932,5.000000,14,0,18,0.000,3
44,30,209.798,23680,0.638272051,0.640500000,2.227949,1,209.797914,5.000000,14,0,18,0.623,5
45,30,209.846,23680,0.651532659,0.654000000,2.467341,1,209.846269,5.000000,14,0,18,0.974,3
46,30,200.588,23680,0.665351083,0.667500000,2.148917,1,200.587952,5.000000,14,0,18,0.988,4
47,30,206.733,23680,0.678855628,0.681000000,2.144372,1,206.733061,5.000000,14,0,18,0.623,2
48,30,196.858,23680,0.694917265,0.697000000,2.082735,1,196.858336,5.000000,14,0,18,0.623,2
49,30,201.177,23680,0.708590911,0.711000000,2.409089,1,201.177014,5.000000,14,0,18,0.003,3
50,30,195.347,23680,0.724031687,0.732500000,8.468313,0,1016.684637,5.000000,14,0,18,0.000,3
51,30,192.041,23680,0.738449689,0.740500000,2.050311,1,192.041443,5.000000,14,0,18,0.000,1
52,30,188.772,23680,0.753270733,0.755500000,2.229267,1,188.772037,5.000000,14,0,18,0.000,2
53,30,191.085,23680,0.769882252,0.772500000,2.617748,1,191.084858,5.000000,14,0,18,0.002,4
54,30,182.219,23680,0.787196778,0.789500000,2.303222,1,182.218854,5.000000,14,0,18,0.002,3
55,30,185.497,23680,0.803590927,0.806000000,2.409073,1,185.497133,5.000000,14,0,18,0.003,4
56,30,185.506,23680,0.818936516,0.821000000,2.063484,1,185.505981,5.000000,14,0,18,0.002,3
57,30,195.171,23680,0.833434834,0.835500000,2.065166,1,195.171062,5.000000,14,0,18,0.000,3
58,30,191.009,23680,0.846381568,0.848500000,2.118432,1,191.008955,5.000000,14,0,18,0.000,2
59,30,193.219,23680,0.859062786,0.861500000,2.437214,1,193.218945,5.000000,14,0,18,0.001,3
60,30,187.654,23680,0.874144245,0.876500000,2.355755,1,187.653559,5.000000,14,0,18,0.000,3
61,30,191.298,23680,0.889744135,0.892000000,2.255865,1,191.298076,5.000000,14,0,18,0.277,3
62,30,190.308,23680,0.905763147,0.908500000,2.736853,1,190.308008,5.000000,14,0,18,0.639,4
63,30,193.066,23680,0.921382789,0.923500000,2.117211,1,193.066183,5.000000,14,0,18,0.724,3
64,30,201.617,23680,0.936888283,0.939000000,2.111717,1,201.617229,5.000000,14,0,18,0.190,4
65,30,197.340,23680,0.950749135,0.953000000,2.250865,1,197.339576,5.000000,14,0,18,0.000,3
66,30,189.341,23680,0.964514150,0.967000000,2.485850,1,189.341450,5.000000,14,0,18,0.000,1
67,30,188.613,23680,0.978266324,0.980500000,2.233676,1,188.613185,5.000000,14,0,18,0.000,3
68,30,183.499,23680,0.994460488,0.996500000,2.039512,1,183.499218,5.000000,14,0,18,0.000,1
69,30,185.475,23680,1.008000038,1.010500000,2.499962,1,185.474772,5.000000,14,0,18,1.004,5
70,30,185.554,23680,1.024787425,1.027000000,2.212575,1,185.554070,5.000000,14,0,18,0.002,2
71,30,188.561,23680,1.038172810,1.041000000,2.827190,1,188.560882,5.000000,14,0,18,0.985,4
72,30,183.629,23680,1.052521496,1.055000000,2.478504,1,183.629492,5.000000,14,0,18,0.001,3
73,30,183.134,23680,1.067872079,1.070500000,2.627921,1,183.134493,5.000000,14,0,18,0.000,2
74,30,183.401,23680,1.081948237,1.084500000,2.551763,1,183.400904,5.000000,14,0,18,0.000,1
75,30,190.175,23680,1.096567710,1.099000000,2.432290,1,190.174743,5.000000,14,0,18,0.003,3
76,30,182.567,23680,1.112327013,1.117500000,5.172987,0,1016.684637,5.000000,14,0,18,1.003,6
77,30,181.518,23680,1.128308687,1.130500000,2.191313,1,181.518102,5.000000,14,0,18,0.824,4
78,30,177.463,23680,1.141819720,1.144000000,2.180280,1,177.463157,5.000000,14,0,18,0.624,3
79,30,185.352,23680,1.155164409,1.157500000,2.335591,1,185.351683,5.000000,14,0,18,0.623,2
80,30,177.457,23680,1.167906821,1.170500000,2.593179,1,177.457106,5.000000,14,0,18,0.003,4
81,30,173.294,23680,1.183188498,1.186000000,2.811502,1,173.293959,5.000000,14,0,18,0.956,5
82,30,168.150,23680,1.198796745,1.201000000,2.203255,1,168.149794,5.000000,14,0,18,0.692,4
83,30,181.778,23680,1.212011697,1.218000000,5.988303,0,1016.684637,5.000000,14,0,18,0.723,7
84,30,173.678,23680,1.225344904,1.227500000,2.155096,1,173.677856,5.000000,14,0,18,0.623,3
85,30,175.825,23680,1.239437851,1.241500000,2.062149,1,175.825289,5.000000,14,0,18,0.310,3
86,30,171.889,23680,1.253673310,1.256500000,2.826690,1,171.888767,5.000000,14,0,18,0.001,4
87,30,179.909,23680,1.266653374,1.269500000,2.846626,1,179.909470,5.000000,14,0,18,0.000,2
88,30,174.426,23680,1.279375128,1.281500000,2.124872,1,174.425738,5.000000,14,0,18,0.001,3
89,30,177.057,23680,1.293087695,1.298500000,5.412305,0,1016.684637,5.000000,14,0,18,0.830,3
90,30,178.746,23680,1.306253971,1.311500000,5.246029,0,1016.684637,5.000000,14,0,18,0.003,3
91,30,179.382,23680,1.320696665,1.323000000,2.303335,1,179.381713,5.000000,14,0,18,1.000,3
92,30,171.755,23680,1.335105459,1.338000000,2.894541,1,171.755289,5.000000,14,0,18,0.000,4
93,30,169.557,23680,1.350569759,1.353000000,2.430241,1,169.556715,5.000000,14,0,18,0.000,4
94,30,162.229,23680,1.364926229,1.367500000,2.573771,1,162.229470,5.000000,14,0,18,0.253,4
95,30,167.325,23680,1.379068436,1.381500000,2.431564,1,167.325232,5.000000,14,0,18,0.623,3
96,30,158.654,23680,1.396103909,1.398500000,2.396091,1,158.653954,5.000000,14,0,18,0.000,2
97,30,159.410,23680,1.410483692,1.415500000,5.016308,0,1016.684637,5.000000,14,0,18,0.527,6
98,30,156.710,23680,1.423317898,1.425500000,2.182102,1,156.710437,5.000000,14,0,18,0.000,2
99,30,157.769,23680,1.437402754,1.439500000,2.097246,1,157.768858,5.000000,14,0,18,0.000,2
100,30,158.135,23680,1.453143370,1.455500000,2.356630,1,158.134893,5.000000,14,0,18,0.952,3
101,30,164.942,23680,1.470446140,1.473000000,2.553860,1,164.941679,5.000000,14,0,18,0.352,4
102,30,163.208,23680,1.486081157,1.488500000,2.418843,1,163.207966,5.000000,14,0,18,0.000,2
103,30,164.341,23680,1.500117065,1.502500000,2.382935,1,164.340975,5.000000,14,0,18,0.002,3
104,30,158.814,23680,1.513192305,1.515500000,2.307695,1,158.814102,5.000000,14,0,18,0.003,5
105,30,156.948,23680,1.529133083,1.531500000,2.366917,1,156.947861,5.000000,14,0,18,0.002,3
106,30,155.483,23680,1.541993915,1.544500000,2.506085,1,155.482600,5.000000,14,0,18,0.000,1
107,30,152.602,23680,1.557821183,1.560000000,2.178817,1,152.602400,5.000000,14,0,18,0.002,2
108,30,144.439,23680,1.572570845,1.575000000,2.429155,1,144.438780,5.000000,14,0,18,0.996,3
109,30,143.603,23680,1.587341788,1.589500000,2.158212,1,143.602959,5.000000,14,0,18,0.002,2
110,30,137.608,23680,1.603796168,1.606000000,2.203832,1,137.607941,5.000000,14,0,18,0.201,2
111,30,136.115,23680,1.617112572,1.620500000,3.387428,1,136.115166,5.000000,14,0,18,0.040,3
112,30,134.576,23680,1.630804251,1.633000000,2.195749,1,134.575979,5.000000,14,0,18,0.080,1
113,30,130.632,23680,1.646835015,1.649000000,2.164985,1,130.631552,5.000000,14,0,18,0.623,3
114,30,133.235,23680,1.659575169,1.662000000,2.424831,1,133.234575,5.000000,14,0,18,0.000,2
