frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,70,54.3991,54736,0.015776430,0.018500000,2.723570,1,54.399111,5.000000,14,0,18,0.450,3
2,70,54.729,54736,0.029137628,0.032000000,2.862372,1,54.728725,5.000000,14,0,18,0.949,4
3,70,54.559,54736,0.042456584,0.045000000,2.543416,1,54.559250,5.000000,14,0,18,0.802,4
4,70,53.659,54736,0.059912277,0.064500000,4.587723,1,53.659238,5.000000,14,0,18,1.004,6
5,70,55.943,54736,0.073681594,0.076500000,2.818406,1,55.942558,5.000000,14,0,18,0.941,4
6,70,53.781,54736,0.087953604,0.091500000,3.546396,1,53.780909,5.000000,14,0,18,0.993,4
7,70,55.155,54736,0.104124817,0.111000000,6.875183,0,1016.684637,5.000000,14,0,18,0.974,5
8,70,52.236,54736,0.122033781,0.125000000,2.966219,1,52.235572,5.000000,14,0,18,0.002,5
9,70,55.244,54736,0.137006278,0.140000000,2.993722,1,55.244451,5.000000,14,0,18,0.447,2
10,70,54.319,54736,0.150710170,0.153500000,2.789830,1,54.319385,5.000000,14,0,18,0.003,1
11,70,56.192,54736,0.164612425,0.167500000,2.887575,1,56.192205,5.000000,14,0,18,0.000,3
12,70,55.083,54736,0.178256874,0.181000000,2.743126,1,55.082569,5.000000,14,0,18,0.000,3
13,70,55.414,54736,0.191092027,0.194000000,2.907973,1,55.414020,5.000000,14,0,18,0.996,4
14,70,54.654,54736,0.206100493,0.212000000,5.899507,0,1016.684637,5.000000,14,0,18,1.004,4
15,70,55.108,54736,0.221407554,0.224000000,2.592446,1,55.108224,5.000000,14,0,18,0.002,2
16,70,55.074,54736,0.234318042,0.238000000,3.681958,1,55.074076,5.000000,14,0,18,0.762,4
17,70,55.520,54736,0.247427994,0.253500000,6.072006,0,1016.684637,5.000000,14,0,18,0.029,5
18,70,53.969,54736,0.260759088,0.267000000,6.240912,0,1016.684637,5.000000,14,0,18,0.001,6
19,70,54.240,54736,0.273656106,0.276500000,2.843894,1,54.239861,5.000000,14,0,18,0.999,5
20,70,51.428,54736,0.287009272,0.293000000,5.990728,0,1016.684637,5.000000,14,0,18,0.996,6
21,70,51.347,54736,0.299840547,0.302500000,2.659453,1,51.347334,5.000000,14,0,18,0.578,5
22,70,52.353,54736,0.313091546,0.317000000,3.908454,1,52.352947,5.000000,15,0,18,0.996,6
23,70,54.460,54736,0.328402853,0.331000000,2.597147,1,54.460121,5.000000,15,0,18,0.014,4
24,70,54.503,54736,0.341616378,0.344500000,2.883622,1,54.502783,5.000000,15,0,18,0.894,5
25,70,54.638,54736,0.355835205,0.358500000,2.664795,1,54.638495,5.000000,15,0,18,0.977,6
26,70,54.608,54736,0.370916561,0.373500000,2.583439,1,54.607937,5.000000,15,0,18,0.985,5
27,70,56.169,54736,0.383914117,0.386500000,2.585883,1,56.168981,5.000000,15,0,18,0.440,4
28,70,56.217,54736,0.396650307,0.399500000,2.849693,1,56.216665,5.000000,15,0,18,0.001,2
29,70,57.966,54736,0.411007331,0.414500000,3.492669,1,57.965514,5.000000,15,0,18,0.852,5
30,70,57.385,54736,0.424430287,0.427000000,2.569713,1,57.384834,5.000000,15,0,18,0.002,2
31,70,58.776,54736,0.437435502,0.440000000,2.564498,1,58.775935,5.000000,15,0,18,1.000,2
32,70,56.848,54736,0.450279584,0.453000000,2.720416,1,56.847970,5.000000,15,0,18,0.941,3
33,70,59.376,54736,0.465717758,0.469500000,3.782242,1,59.375522,5.000000,15,0,18,1.004,5
34,70,58.845,54736,0.480023656,0.483000000,2.976344,1,58.845119,5.000000,15,0,18,0.989,5
35,70,58.806,54736,0.495858708,0.498500000,2.641292,1,58.806081,5.000000,15,0,18,0.000,2
36,70,57.685,54736,0.508855602,0.514500000,5.644398,0,1016.684637,5.000000,15,0,18,1.004,7
37,70,57.875,54736,0.521914469,0.524500000,2.585531,1,57.875131,5.000000,15,0,18,0.941,5
38,70,56.952,54736,0.538112347,0.541000000,2.887653,1,56.952479,5.000000,15,0,18,0.619,5
39,70,55.428,54736,0.551801113,0.554500000,2.698887,1,55.428128,5.000000,15,0,18,0.919,3
40,70,56.957,54736,0.568862235,0.571500000,2.637765,1,56.956978,5.000000,15,0,18,0.982,4
41,70,57.118,54736,0.582267776,0.585500000,3.232224,1,57.118392,5.000000,15,0,18,1.004,5
42,70,54.216,54736,0.596753437,0.600500000,3.746563,1,54.215996,5.000000,15,0,18,0.813,4
43,70,55.084,54736,0.610149082,0.613000000,2.850918,1,55.084195,5.000000,14,0,18,1.003,6
44,70,54.376,54736,0.625980822,0.630000000,4.019178,1,54.376005,5.000000,14,0,18,0.949,6
45,70,55.236,54736,0.639947194,0.642500000,2.552806,1,55.236016,5.000000,14,0,18,0.766,5
46,70,51.807,54736,0.654384607,0.657500000,3.115393,1,51.807058,5.000000,14,0,18,0.765,5
47,70,53.439,54736,0.668208221,0.671000000,2.791779,1,53.438573,5.000000,14,0,18,0.952,4
48,70,50.586,54736,0.683508293,0.689000000,5.491707,0,1016.684637,5.000000,14,0,18,0.956,5
49,70,53.204,54736,0.697039024,0.700500000,3.460976,1,53.204286,5.000000,14,0,18,0.949,4
50,70,51.958,54736,0.710885193,0.716500000,5.614807,0,1016.684637,5.000000,14,0,18,0.934,7
51,70,50.837,54736,0.729888562,0.733000000,3.111438,1,50.837354,5.000000,14,0,18,0.000,3
52,70,50.694,54736,0.743200853,0.747500000,4.299147,1,50.694478,5.000000,14,0,18,0.780,3
53,70,50.892,54736,0.756356008,0.760500000,4.143992,1,50.892271,5.000000,14,0,18,0.952,7
54,70,47.692,54736,0.769312454,0.774500000,5.187546,0,1016.684637,5.000000,14,0,18,0.084,5
55,70,48.480,54736,0.782607548,0.785500000,2.892452,1,48.479903,5.000000,14,0,18,0.003,3
56,70,48.460,54736,0.797133456,0.800000000,2.866544,1,48.460476,5.000000,14,0,18,0.934,4
57,70,51.278,54736,0.811892804,0.816500000,4.607196,1,51.277503,5.000000,14,0,18,0.476,5
58,70,49.896,54736,0.829573130,0.833000000,3.426870,1,49.896458,5.000000,14,0,18,0.989,3
59,70,50.746,54736,0.848550016,0.851500000,2.949984,1,50.746108,5.000000,14,0,18,0.893,3
60,70,48.688,54736,0.866531006,0.871500000,4.968994,1,48.687810,5.000000,14,0,18,0.993,4
61,70,50.354,54736,0.880015440,0.883500000,3.484560,1,50.353732,5.000000,14,0,18,0.396,3
62,70,49.899,54736,0.893040526,0.898500000,5.459474,0,1016.684637,5.000000,14,0,18,1.004,5
63,70,50.451,54736,0.908633089,0.915000000,6.366911,0,1016.684637,5.000000,14,0,18,0.816,6
64,70,52.188,54736,0.922247698,0.925000000,2.752302,1,52.187956,5.000000,14,0,18,0.941,5
65,70,51.470,54736,0.938649164,0.942000000,3.350836,1,51.469883,5.000000,14,0,18,0.960,5
66,70,50.456,54736,0.953516661,0.956500000,2.983339,1,50.455759,5.000000,14,0,18,0.000,3
67,70,50.983,54736,0.968223648,0.971000000,2.776352,1,50.982696,5.000000,14,0,18,0.590,6
68,70,48.707,54736,0.983224526,0.987000000,3.775474,1,48.706939,5.000000,14,0,18,0.002,4
69,70,50.125,54736,0.996649079,1.000000000,3.350921,1,50.125029,5.000000,14,0,18,0.002,4
70,70,49.423,54736,1.009450466,1.015000000,5.549534,0,1016.684637,5.000000,14,0,18,0.861,7
71,70,50.359,54736,1.022610436,1.026000000,3.389564,1,50.359067,5.000000,14,0,18,0.897,6
72,70,47.954,54736,1.038218229,1.041000000,2.781771,1,47.954307,5.000000,14,0,18,0.960,6
73,70,49.717,54736,1.051449158,1.055500000,4.050842,1,49.717401,5.000000,14,0,18,0.963,6
74,70,49.826,54736,1.064784561,1.068000000,3.215439,1,49.826428,5.000000,14,0,18,0.002,6
75,70,50.996,54736,1.078318497,1.081000000,2.681503,1,50.995565,5.000000,14,0,18,0.001,6
76,70,48.679,54736,1.091019600,1.094500000,3.480400,1,48.679288,5.000000,14,0,18,0.586,5
77,70,46.199,54736,1.103815268,1.115500000,11.684732,0,1016.684637,5.000000,14,0,18,1.000,9
78,70,45.948,54736,1.119811617,1.123500000,3.688383,1,45.947921,5.000000,14,0,18,0.988,8
79,70,47.536,54736,1.132566474,1.135500000,2.933526,1,47.536367,5.000000,14,0,18,0.861,6
80,70,45.704,54736,1.149568597,1.153000000,3.431403,1,45.703996,5.000000,14,0,18,0.908,6
81,70,44.157,54736,1.163612754,1.167000000,3.387246,1,44.156587,5.000000,14,0,18,0.861,5
82,70,43.494,54736,1.179633628,1.182500000,2.866372,1,43.494093,5.000000,14,0,18,0.042,6
83,70,46.999,54736,1.195230073,1.198000000,2.769927,1,46.999058,5.000000,14,0,18,0.765,5
84,70,44.449,54736,1.212418289,1.219000000,6.581711,0,1016.684637,5.000000,14,0,18,0.993,9
85,70,46.451,54736,1.226060365,1.229000000,2.939635,1,46.450585,5.000000,14,0,18,0.901,6
86,70,44.216,54736,1.242301450,1.247500000,5.198550,0,1016.684637,5.000000,14,0,18,0.751,6
87,70,47.258,54736,1.255112465,1.258000000,2.887535,1,47.258351,5.000000,14,0,18,0.816,5
88,70,44.646,54736,1.269436158,1.272000000,2.563842,1,44.646060,5.000000,14,0,18,0.256,5
89,70,45.627,54736,1.284554930,1.287500000,2.945070,1,45.627315,5.000000,14,0,18,0.926,6
90,70,44.715,54736,1.297382771,1.300000000,2.617229,1,44.715439,5.000000,14,0,18,0.002,5
91,70,46.450,54736,1.311806683,1.320500000,8.693317,0,1016.684637,5.000000,14,0,18,0.962,6
