mode,run_id,num_users,user_id,compression_level,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
random,1,2,0,10,1074,1054,2.34964,0.981378,0,515.405,14.5844
random,1,2,1,50,1074,842,4.64167,0.7839849999999999,0,283.245,14.2437
random,2,2,0,70,1074,992,4.56024,0.92365,0,118.833,14.5352
random,2,2,1,20,1074,921,2.79577,0.857542,0,378.013,14.2827
random,4,3,0,15,1074,1034,2.42987,0.962756,0,385.659,14.4153
random,4,3,1,65,1074,833,6.73377,0.7756050000000001,0,266.142,14.0062
random,4,3,2,10,1074,986,2.56244,0.918063,0,545.096,14.0049
random,6,4,0,55,1074,1036,4.06742,0.964618,0,105.935,14.6927
random,6,4,1,25,1074,776,12.3222,0.722533,0,434.407,13.9572
random,6,4,2,50,1074,887,5.40327,0.825885,0,245.323,13.9745
random,6,4,3,35,1074,1005,4.95835,0.935754,0,200.281,14.1621
ml,20,2,0,55,1074,987,4.56925,0.918994,0,148.192,14.5179
ml,20,2,1,45,1074,821,5.74021,0.764432,0,313.372,14.1411
ml,19,2,0,55,1074,987,4.56925,0.918994,0,148.192,14.5179
ml,19,2,1,45,1074,821,5.74021,0.764432,0,313.372,14.1411
random,5,4,0,60,1074,1022,3.75786,0.951583,0,107.973,14.7476
random,5,4,1,15,1074,875,3.01038,0.8147110000000001,0,479.694,13.8354
random,5,4,2,70,1074,824,6.2437,0.7672249999999999,0,268.097,13.9679
random,5,4,3,75,1074,875,5.53819,0.8147110000000001,0,217.867,14.0758
ml,21,3,0,45,1074,977,4.81253,0.909683,0,182.843,14.4809
ml,21,3,1,20,1074,954,3.43939,0.8882680000000001,0,356.711,13.9075
ml,21,3,2,20,1074,933,3.14051,0.868715,0,371.055,14.003
random,13,8,0,15,1074,1014,2.60047,0.9441339999999999,0,396.925,14.19
random,13,8,1,35,1074,834,6.7096,0.776536,0,335.93,13.8952
random,13,8,2,25,1074,950,5.12094,0.8845440000000001,0,308.851,14.142
random,13,8,3,50,1074,847,6.11154,0.7886409999999999,0,278.951,14.171
random,13,8,4,15,1074,937,2.91661,0.872439,0,442.712,14.0036
random,13,8,5,30,1074,867,6.91647,0.807263,0,335.64,13.9623
