mode,run_id,num_users,user_id,compression_level,fps,size_mean_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
fixed-static-10,10,2,0,10,90,120.0,64.3,1800,1066,2.33972,0.592222,0,568.801,14.8564
fixed-static-10,10,2,1,10,60,95.0,50.9,1200,964,2.62165,0.803333,0,471.52,14.4928
fixed-static-10,11,3,0,10,72,120.0,64.3,1440,1058,2.3712,0.734722,0,464.9,14.7109
fixed-static-10,11,3,1,10,120,80.0,42.9,2400,990,2.56672,0.4125,0,755.516,14.0016
fixed-static-10,11,3,2,10,120,95.0,50.9,2400,992,2.57547,0.413333,0,728.566,14.0
fixed-static-20,19,2,0,20,120,120.0,64.3,2400,1031,3.45075,0.429583,0,634.123,14.8323
fixed-static-20,19,2,1,20,72,65.0,34.8,1440,944,2.74006,0.655556,0,523.676,14.1389
fixed-static-10,12,4,0,10,72,95.0,50.9,1440,1068,2.3368,0.7416670000000001,0,512.858,14.8148
fixed-static-10,12,4,1,10,120,95.0,50.9,2400,947,2.79437,0.394583,0,740.4,13.9332
fixed-static-10,12,4,2,10,90,65.0,34.8,1800,962,2.66237,0.534444,0,732.706,13.9029
fixed-static-10,12,4,3,10,120,95.0,50.9,2400,1060,2.38233,0.441667,0,709.874,14.2205
fixed-static-10,13,5,0,10,60,65.0,34.8,1200,1044,2.39061,0.87,0,566.293,14.5164
fixed-static-10,13,5,1,10,72,80.0,42.9,1440,944,2.71817,0.655556,0,611.531,13.9977
fixed-static-10,13,5,2,10,72,45.0,24.1,1440,992,2.51743,0.6888890000000001,0,809.508,13.9473
fixed-static-10,13,5,3,10,90,80.0,42.9,1800,1058,2.34446,0.587778,0,651.87,14.6314
fixed-static-10,13,5,4,10,60,95.0,50.9,1200,842,5.50339,0.701667,0,537.668,13.9714
fixed-static-10,14,6,0,10,60,80.0,42.9,1200,1010,2.50453,0.841667,0,503.206,14.3692
fixed-static-10,14,6,1,10,120,120.0,64.3,2400,943,3.11399,0.39291699999999996,0,713.537,14.0
fixed-static-10,14,6,2,10,90,45.0,24.1,1800,979,2.58975,0.543889,0,848.493,13.8298
fixed-static-10,14,6,3,10,120,80.0,42.9,2400,1051,2.39909,0.437917,0,740.616,14.2288
fixed-static-10,14,6,4,10,72,80.0,42.9,1440,942,2.71612,0.654167,0,611.037,13.994
fixed-static-10,14,6,5,10,60,120.0,64.3,1200,929,3.18062,0.774167,0,435.902,13.9849
fixed-static-10,15,7,0,10,60,95.0,50.9,1200,1010,2.56476,0.841667,0,448.119,14.2521
fixed-static-10,15,7,1,10,90,95.0,50.9,1800,948,2.7742,0.526667,0,653.708,14.0883
fixed-static-10,15,7,2,10,60,45.0,24.1,1200,949,2.67789,0.7908329999999999,0,783.285,13.9984
fixed-static-10,15,7,3,10,72,65.0,34.8,1440,1006,2.51191,0.698611,0,652.315,14.2704
fixed-static-10,15,7,4,10,90,120.0,64.3,1800,945,3.0324,0.525,0,617.363,13.9299
fixed-static-10,15,7,5,10,120,120.0,64.3,2400,948,2.97267,0.395,0,712.471,13.9773
fixed-static-10,15,7,6,10,90,80.0,42.9,1800,1071,2.33639,0.595,0,647.354,14.0864
fixed-static-20,21,4,0,20,120,95.0,50.9,2400,1073,2.84902,0.447083,0,636.666,14.9991
fixed-static-20,21,4,1,20,120,45.0,24.1,2400,929,2.87956,0.387083,0,765.938,13.8213
fixed-static-20,21,4,2,20,90,95.0,50.9,1800,882,5.47964,0.49,0,601.89,13.9831
fixed-static-20,21,4,3,20,90,45.0,24.1,1800,1035,2.48553,0.575,0,652.439,14.0854
fixed-static-30,28,2,0,30,60,95.0,50.9,1200,1009,4.22376,0.8408329999999999,0,260.263,14.6012
fixed-static-30,28,2,1,30,90,95.0,50.9,1800,845,5.50966,0.46944400000000003,0,586.6,14.0817
fixed-static-10,16,8,0,10,72,80.0,42.9,1440,1027,2.46585,0.713194,0,577.654,14.2986
fixed-static-10,16,8,1,10,72,80.0,42.9,1440,971,2.6232,0.674306,0,600.461,14.0234
fixed-static-10,16,8,2,10,72,95.0,50.9,1440,1006,2.56119,0.698611,0,540.016,14.2073
fixed-static-10,16,8,3,10,60,120.0,64.3,1200,973,2.6989,0.8108329999999999,0,409.698,14.1739
fixed-static-10,16,8,4,10,72,95.0,50.9,1440,945,2.76174,0.65625,0,568.648,13.9993
fixed-static-10,16,8,5,10,120,80.0,42.9,2400,1003,2.56623,0.417917,0,752.051,14.0038
fixed-static-10,16,8,6,10,120,120.0,64.3,2400,1064,2.44688,0.44333300000000003,0,677.035,14.9238
fixed-static-10,16,8,7,10,90,45.0,24.1,1800,1041,2.38232,0.578333,0,840.728,14.0433
fixed-static-10,18,10,0,10,90,65.0,34.8,1800,1066,2.32212,0.592222,0,704.84,14.5868
fixed-static-10,18,10,1,10,90,65.0,34.8,1800,950,2.70297,0.527778,0,736.789,13.7285
