frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
0,125,0.25371,9855,0.020906552,0.026000000,5.093448,0,233.102447,5.000000,9
1,125,0.253710,9855,0.038036008,0.040500000,2.463992,1,0.253710,5.000000,9
2,125,0.253710,9855,0.053242218,0.061500000,8.257782,0,233.102447,5.000000,9
3,125,0.253710,9855,0.067915966,0.070000000,2.084034,1,0.253710,5.000000,9
4,125,0.253710,9855,0.082008144,0.087500000,5.491856,0,233.102447,5.000000,9
5,125,0.253710,9855,0.095842922,0.101000000,5.157078,0,233.102447,5.000000,9
6,125,0.253710,9855,0.108606246,0.114000000,5.393754,0,233.102447,5.000000,9
7,125,0.253710,9855,0.125107956,0.127500000,2.392044,1,0.253710,5.000000,9
8,125,0.253710,9855,0.138287497,0.143500000,5.212503,0,233.102447,5.000000,9
9,125,0.253710,9855,0.154636848,0.160000000,5.363152,0,233.102447,5.000000,9
10,125,0.253710,9855,0.169617064,0.172000000,2.382936,1,0.253710,5.000000,9
11,125,0.253710,9855,0.184147744,0.189500000,5.352256,0,233.102447,5.000000,9
12,125,0.253710,9855,0.197827641,0.200000000,2.172359,1,0.253710,5.000000,9
13,125,0.253710,9855,0.210903019,0.216000000,5.096981,0,233.102447,5.000000,11
14,400,0.013420,31375,0.224974737,0.227500000,2.525263,1,0.013420,5.000000,11
15,400,0.013420,31375,0.238995947,0.242000000,3.004053,1,0.013420,5.000000,11
16,400,0.013420,31375,0.251680753,0.254500000,2.819247,1,0.013420,5.000000,11
18,400,0.013420,31375,0.266988569,0.270000000,3.011431,1,0.013420,5.000000,11
20,400,0.013420,31375,0.282455451,0.285000000,2.544549,1,0.013420,5.000000,11
21,400,0.013420,31375,0.295187993,0.301000000,5.812007,0,233.102447,5.000000,11
22,400,0.013420,31375,0.310957704,0.319000000,8.042296,0,233.102447,5.000000,13
24,400,0.013420,31375,0.324906444,0.327500000,2.593556,1,0.013420,5.000000,13
25,400,0.013420,31375,0.338763668,0.344000000,5.236332,0,233.102447,5.000000,13
27,400,0.013420,31375,0.353052028,0.356000000,2.947972,1,0.013420,5.000000,13
28,400,0.013420,31375,0.366262663,0.369000000,2.737337,1,0.013420,5.000000,13
29,400,0.013420,31375,0.380833679,0.383500000,2.666321,1,0.013420,5.000000,13
30,400,0.013420,31375,0.398052861,0.403500000,5.447139,0,233.102447,5.000000,13
32,400,2.849589,31375,0.414680553,0.423000000,8.319447,0,233.102447,5.000000,14
34,400,4.007606,31375,0.428566466,0.431500000,2.933534,1,4.007606,5.000000,14
35,400,4.325726,31375,0.441983680,0.444500000,2.516320,1,4.325726,5.000000,14
36,400,4.481266,31375,0.456773673,0.459500000,2.726327,1,4.481266,5.000000,14
38,400,4.385948,31375,0.469748455,0.472500000,2.751545,1,4.385948,5.000000,14
39,400,4.314429,31375,0.484355710,0.487000000,2.644290,1,4.314429,5.000000,14
40,400,3.917151,31375,0.498022955,0.501000000,2.977045,1,3.917151,5.000000,14
42,400,3.193340,31375,0.513166788,0.518500000,5.333212,0,233.102447,5.000000,14
43,400,2.866393,31375,0.528250753,0.530500000,2.249247,1,2.866393,5.000000,14
44,400,2.116732,31375,0.541618417,0.547000000,5.381583,0,233.102447,5.000000,14
45,400,2.206534,31375,0.554583087,0.557000000,2.416913,1,2.206534,5.000000,14
46,400,2.196117,31375,0.568016812,0.570500000,2.483188,1,2.196117,5.000000,14
47,400,1.822572,31375,0.582188211,0.584500000,2.311789,1,1.822572,5.000000,14
49,400,1.360904,31375,0.597422460,0.602500000,5.077540,0,233.102447,5.000000,14
51,400,1.978459,31375,0.611594758,0.620000000,8.405242,0,233.102447,5.000000,14
52,400,2.171710,31375,0.624538212,0.627000000,2.461788,1,2.171710,5.000000,14
53,400,2.339766,31375,0.637316767,0.639500000,2.183233,1,2.339766,5.000000,14
54,400,2.221963,31375,0.652281500,0.654500000,2.218500,1,2.221963,5.000000,14
55,400,2.159242,31375,0.666003617,0.668500000,2.496383,1,2.159242,5.000000,14
57,400,2.766598,31375,0.679427427,0.681500000,2.072573,1,2.766598,5.000000,14
58,400,2.936438,31375,0.692444008,0.694500000,2.055992,1,2.936438,5.000000,14
59,400,3.332114,31375,0.706090339,0.712000000,5.909661,0,233.102447,5.000000,13
60,400,3.416811,31375,0.720829097,0.723500000,2.670903,1,3.416811,5.000000,13
62,400,3.578705,31375,0.733707181,0.739000000,5.292819,0,233.102447,5.000000,13
63,400,3.473285,31375,0.746665870,0.749500000,2.834130,1,3.473285,5.000000,13
64,400,3.312399,31375,0.760603066,0.767000000,6.396934,0,233.102447,5.000000,13
66,400,3.163551,31375,0.773913023,0.776500000,2.586977,1,3.163551,5.000000,13
67,400,2.889907,31375,0.787557392,0.790500000,2.942608,1,2.889907,5.000000,13
68,400,2.651506,31375,0.801511605,0.807500000,5.988395,0,233.102447,5.000000,13
