frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,200,0.581244,38467,0.026690927,0.029000000,2.309073,1,0.581244,5.000000,15
2,200,0.581261,38467,0.039647159,0.042000000,2.352841,1,0.581261,5.000000,15
3,200,0.581238,38467,0.054220691,0.056500000,2.279309,1,0.581238,5.000000,15
4,200,0.581238,38467,0.067916560,0.070000000,2.083440,1,0.581238,5.000000,15
5,200,0.581238,38467,0.083634940,0.086000000,2.365060,1,0.581238,5.000000,15
6,200,0.581075,38467,0.098602789,0.101000000,2.397211,1,0.581075,5.000000,15
7,200,0.581075,38467,0.111270127,0.113500000,2.229873,1,0.581075,5.000000,15
8,200,0.581075,38467,0.125128368,0.127500000,2.371632,1,0.581075,5.000000,15
9,200,0.581075,38467,0.139143301,0.141500000,2.356699,1,0.581075,5.000000,15
10,200,0.581075,38467,0.152802565,0.155000000,2.197435,1,0.581075,5.000000,15
11,200,0.581075,38467,0.168339225,0.170500000,2.160775,1,0.581075,5.000000,15
12,200,0.581075,38467,0.183523908,0.186000000,2.476092,1,0.581075,5.000000,15
13,200,0.581075,38467,0.196472339,0.199000000,2.527661,1,0.581075,5.000000,15
15,200,0.581075,38467,0.210402493,0.212500000,2.097507,1,0.581075,5.000000,15
16,200,0.581075,38467,0.226597220,0.229000000,2.402780,1,0.581075,5.000000,15
18,200,0.581075,38467,0.244035091,0.246500000,2.464909,1,0.581075,5.000000,15
19,200,0.581075,38467,0.256753492,0.259000000,2.246508,1,0.581075,5.000000,15
20,200,0.581075,38467,0.269742086,0.272000000,2.257914,1,0.581075,5.000000,15
21,200,0.581075,38467,0.284020274,0.286500000,2.479726,1,0.581075,5.000000,15
22,200,0.581075,38467,0.300614930,0.303000000,2.385070,1,0.581075,5.000000,15
23,200,0.581075,38467,0.314359659,0.316500000,2.140341,1,0.581075,5.000000,15
24,200,0.472403,38467,0.327647926,0.330000000,2.352074,1,0.472403,5.000000,15
26,200,0.436358,38467,0.342961413,0.345500000,2.538587,1,0.436358,5.000000,15
27,200,0.318191,38467,0.357326887,0.359500000,2.173113,1,0.318191,5.000000,15
28,200,0.238049,38467,0.370501887,0.373000000,2.498113,1,0.238049,5.000000,15
29,200,0.179246,38467,0.383214877,0.385500000,2.285123,1,0.179246,5.000000,15
34,200,0.022797,38467,0.397719100,0.400000000,2.280900,1,0.022797,5.000000,15
35,200,0.020232,38467,0.411963182,0.414500000,2.536818,1,0.020232,5.000000,15
36,200,0.017803,38467,0.429977140,0.432500000,2.522860,1,0.017803,5.000000,15
37,200,0.017409,38467,0.443905502,0.446000000,2.094498,1,0.017409,5.000000,15
38,200,0.017588,38467,0.460610562,0.463000000,2.389438,1,0.017588,5.000000,15
39,200,0.017858,38467,0.474747172,0.477000000,2.252828,1,0.017858,5.000000,15
