frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,350,0.0493976,67176,0.026690927,0.029500000,2.809073,1,0.049398,5.000000,15
2,350,0.049399,67176,0.039647159,0.042500000,2.852841,1,0.049399,5.000000,15
3,350,0.049365,67176,0.053637032,0.056500000,2.862968,1,0.049365,5.000000,15
4,350,0.049365,67176,0.067622877,0.070500000,2.877123,1,0.049365,5.000000,15
5,350,0.049365,67176,0.081430257,0.084000000,2.569743,1,0.049365,5.000000,15
6,350,0.049326,67176,0.095527029,0.098500000,2.972971,1,0.049326,5.000000,15
7,350,0.049326,67176,0.108686579,0.111500000,2.813421,1,0.049326,5.000000,15
8,350,0.049326,67176,0.123444596,0.126000000,2.555404,1,0.049326,5.000000,15
9,350,0.049326,67176,0.136492033,0.139500000,3.007967,1,0.049326,5.000000,15
10,350,0.049326,67176,0.150454679,0.153000000,2.545321,1,0.049326,5.000000,15
11,350,0.049326,67176,0.163853859,0.167000000,3.146141,1,0.049326,5.000000,15
12,350,0.049326,67176,0.179570268,0.182500000,2.929732,1,0.049326,5.000000,15
13,350,0.049326,67176,0.195556594,0.198500000,2.943406,1,0.049326,5.000000,15
15,350,0.049326,67176,0.212248993,0.215000000,2.751007,1,0.049326,5.000000,15
16,350,0.049326,67176,0.225693476,0.228500000,2.806524,1,0.049326,5.000000,15
18,350,0.049326,67176,0.238411877,0.241000000,2.588123,1,0.049326,5.000000,15
19,350,0.049326,67176,0.254510439,0.257500000,2.989561,1,0.049326,5.000000,15
20,350,0.049326,67176,0.271216884,0.274000000,2.783116,1,0.049326,5.000000,15
21,350,0.049326,67176,0.284627428,0.287500000,2.872572,1,0.049326,5.000000,15
22,350,0.049326,67176,0.298566427,0.301500000,2.933573,1,0.049326,5.000000,15
23,350,0.049326,67176,0.311646775,0.314500000,2.853225,1,0.049326,5.000000,15
24,350,0.070917,67176,0.326885454,0.329500000,2.614546,1,0.070917,5.000000,15
26,350,0.257393,67176,0.341678620,0.344500000,2.821380,1,0.257393,5.000000,15
27,350,0.212837,67176,0.355350800,0.358000000,2.649200,1,0.212837,5.000000,15
28,350,0.185587,67176,0.368836167,0.371500000,2.663833,1,0.185587,5.000000,15
29,350,0.162041,67176,0.383080249,0.386000000,2.919751,1,0.162041,5.000000,15
