run_id,num_users,user_id,fps,compression_level,size_mean_kb,size_min_kb,size_max_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
1,2,0,90,20,65.0,8.3,121.7,34.8,1800,1066,2.326532,0.592222,0,569.958337,14.93
1,2,1,72,5,65.0,8.3,121.7,34.8,1440,994,2.507746,0.690278,0,867.114762,14.37
2,3,0,60,20,65.0,8.3,121.7,34.8,1200,1038,2.452263,0.865,0,372.021989,14.58
2,3,1,60,15,65.0,8.3,121.7,34.8,1200,985,2.577889,0.820833,0,472.619997,14.02
2,3,2,60,70,120.0,15.3,224.7,64.3,1200,277,6.390307,0.230833,0,774.671215,13.97
3,4,0,120,5,95.0,12.2,177.8,50.9,2400,1073,2.347957,0.447083,0,800.795028,14.97
3,4,1,90,35,80.0,10.2,149.8,42.9,1800,669,9.021207,0.371667,0,671.439614,13.7
3,4,2,60,70,80.0,10.2,149.8,42.9,1200,783,5.929012,0.6525,0,371.937916,13.96
3,4,3,72,40,65.0,8.3,121.7,34.8,1440,969,5.388247,0.672917,0,407.863193,14.1
4,5,0,60,35,95.0,12.2,177.8,50.9,1200,957,4.451258,0.7975,0,281.324787,14.56
4,5,1,90,55,120.0,15.3,224.7,64.3,1800,130,7.692053,0.072222,0,930.709976,13.87
4,5,2,90,20,45.0,5.8,84.2,24.1,1800,942,2.88351,0.523333,0,682.696772,13.92
4,5,3,90,15,95.0,12.2,177.8,50.9,1800,1023,2.662435,0.568333,0,571.212737,14.57
4,5,4,60,65,45.0,5.8,84.2,24.1,1200,647,11.206662,0.539167,0,502.247861,13.93
5,6,0,90,50,95.0,12.2,177.8,50.9,1800,857,4.463154,0.476111,0,551.754443,14.65
5,6,1,60,60,80.0,10.2,149.8,42.9,1200,639,6.345062,0.5325,0,494.407576,13.69
5,6,2,72,35,65.0,8.3,121.7,34.8,1440,777,8.11363,0.539583,0,538.542447,13.94
5,6,3,60,15,80.0,10.2,149.8,42.9,1200,955,2.869294,0.795833,0,436.519913,14.04
5,6,4,120,10,80.0,10.2,149.8,42.9,2400,984,2.802552,0.41,0,756.452942,14.02
5,6,5,90,40,65.0,8.3,121.7,34.8,1800,808,5.660193,0.448889,0,605.271062,13.92
6,7,0,90,45,95.0,12.2,177.8,50.9,1800,615,5.26077,0.341667,0,681.711229,14.68
6,7,1,72,15,80.0,10.2,149.8,42.9,1440,915,3.535164,0.635417,0,549.189576,13.87
6,7,2,90,30,45.0,5.8,84.2,24.1,1800,887,3.82691,0.492778,0,631.187503,13.94
6,7,3,60,40,65.0,8.3,121.7,34.8,1200,777,8.264871,0.6475,0,430.743529,14.11
6,7,4,72,30,120.0,15.3,224.7,64.3,1440,551,8.601793,0.382639,0,653.433522,13.96
6,7,5,60,75,80.0,10.2,149.8,42.9,1200,382,8.632776,0.318333,0,692.025672,13.76
6,7,6,90,65,65.0,8.3,121.7,34.8,1800,596,5.792502,0.331111,0,686.382615,14.08
7,8,0,120,80,45.0,5.8,84.2,24.1,2400,0,145.005338,0.0,0,1000.0,14.59
7,8,1,120,65,65.0,8.3,121.7,34.8,2400,1,160.896022,0.000417,0,999.605094,14.07
7,8,2,90,75,65.0,8.3,121.7,34.8,1800,190,94.152071,0.105556,0,898.605794,14.07
7,8,3,72,25,95.0,12.2,177.8,50.9,1440,418,7.769546,0.290278,0,750.957898,14.25
7,8,4,72,45,120.0,15.3,224.7,64.3,1440,218,23.424038,0.151389,0,856.941809,13.98
7,8,5,120,25,45.0,5.8,84.2,24.1,2400,643,6.519213,0.267917,0,815.892579,13.87
7,8,6,60,40,95.0,12.2,177.8,50.9,1200,559,6.995293,0.465833,0,572.52831,14.98
7,8,7,60,45,95.0,12.2,177.8,50.9,1200,396,9.952752,0.33,0,692.862005,14.01
