frame,components,mse,size_bytes
1,10,573.7146122699927,64512
2,10,566.8253602705742,64512
3,10,562.1477773447979,64512
4,5,960.8894786131044,33792
5,5,953.1090779625496,33792
6,10,535.9648774298554,64512
7,10,532.0389626754064,64512
8,5,916.404536752436,33792
9,10,541.4700703278897,64512
10,10,531.7591257367677,64512
11,5,903.3131710975,33792
12,5,909.6587496722892,33792
13,5,925.8358278553422,33792
14,5,912.7870214221956,33792
15,5,919.1611907715992,33792
16,10,529.9055850694649,64512
17,5,916.2063753464485,33792
18,10,549.2686607536945,64512
19,10,563.1757213319682,64512
20,5,908.7952487083452,33792
21,10,569.8555618096846,64512
22,5,901.1475845001214,33792
23,10,559.758628497776,64512
24,10,565.7384569745449,64512
25,5,942.8528940522696,33792
26,5,921.155543885589,33792
27,5,927.3835732551362,33792
28,5,936.0364266853234,33792
29,5,958.53266306643,33792
30,10,583.2133547294039,64512
31,10,584.4388301950453,64512
32,5,933.621915623302,33792
33,5,931.0497865920872,33792
34,10,584.1297383096586,64512
35,10,584.9428164752911,64512
36,5,909.4793598387806,33792
37,10,575.9327375173692,64512
38,5,956.1485427767562,33792
39,10,580.5207665440397,64512
40,5,966.6567745280709,33792
41,5,959.3664183797104,33792
42,5,927.6152727129788,33792
43,10,548.3936319806567,64512
44,5,884.7001172216037,33792
45,10,532.1739465995588,64512
46,5,845.6642680409641,33792
47,5,872.4330360551927,33792
48,5,886.8804670953714,33792
49,5,898.4320705507785,33792
50,5,894.9042292541875,33792
51,5,904.9786436272892,33792
52,5,936.5131667497152,33792
53,5,932.6588966393368,33792
54,5,903.9534618769628,33792
55,10,558.263718003149,64512
56,10,558.6446455970266,64512
57,5,911.2336814398814,33792
58,10,570.7385430085735,64512
59,5,908.2247849701674,33792
60,10,560.5199865812363,64512
61,10,568.5907918724032,64512
62,10,561.302263008885,64512
63,5,895.9176990551681,33792
64,10,528.2548243003624,64512
65,5,858.223832489417,33792
66,5,842.8226230973805,33792
67,5,830.9323457144819,33792
68,5,817.5339087942539,33792
69,15,350.4824683973952,95232
70,5,810.0121243763191,33792
71,10,507.8934584653295,64512
72,5,820.8556062983656,33792
73,5,810.9238855668951,33792
74,5,800.0040494034746,33792
75,10,497.7577024429473,64512
76,5,779.8082141295987,33792
77,5,787.5261991752268,33792
78,5,771.001695469582,33792
79,5,788.8799253952772,33792
80,5,816.3962659635863,33792
81,5,821.114032719217,33792
82,10,504.9304688360567,64512
83,5,817.6755348625244,33792
84,10,516.6134315770357,64512
85,5,842.0246026362378,33792
86,10,506.3768261693817,64512
87,5,841.5738400103868,33792
88,5,857.3656919770938,33792
89,10,545.6608664293784,64512
90,10,548.920572109792,64512
91,5,896.4039588160625,33792
92,5,898.8315304938766,33792
93,5,905.038676707926,33792
94,5,903.5367292230036,33792
95,10,522.9117963548233,64512
96,5,882.3288881053508,33792
97,5,880.6730250075892,33792
98,10,526.8126890086465,64512
99,10,533.6728713169526,64512
100,10,534.3514669961182,64512
101,5,900.1824967935221,33792
102,10,544.6057835609317,64512
103,10,535.1684346249284,64512
104,5,886.599216806923,33792
105,10,512.2146024862158,64512
106,10,516.1365792758652,64512
107,5,856.4725492124608,33792
108,5,850.7372055397767,33792
109,5,853.5417279050936,33792
110,5,870.7858576008539,33792
111,5,858.9036937090968,33792
112,5,875.8962981565346,33792
113,5,881.8514626073238,33792
114,10,521.9082706404489,64512
115,10,515.2747640938213,64512
116,10,507.1646669711401,64512
117,10,499.2155304493154,64512
118,5,811.013981888068,33792
119,10,471.69132409967807,64512
120,5,812.8733437560765,33792
121,5,831.5668873526711,33792
122,5,842.9859276489989,33792
123,5,844.5260323732876,33792
124,5,845.7111815183256,33792
125,5,828.9071890949457,33792
126,10,483.4888240218496,64512
127,5,844.8190391057518,33792
128,5,867.0435268250213,33792
129,10,497.2877061974244,64512
130,10,501.8127378260654,64512
131,5,863.0971339948014,33792
132,10,477.11965174681694,64512
133,5,845.9523766243213,33792
134,5,849.8318678507836,33792
135,10,498.14055788391215,64512
136,5,857.3808890147966,33792
137,10,497.9648848441323,64512
138,5,828.0249167181946,33792
139,5,814.4978356379203,33792
140,10,471.9679582159027,64512
141,5,813.8693917939567,33792
142,10,473.44899203157655,64512
143,5,860.0463883939283,33792
144,10,485.3141990485146,64512
145,10,478.586315725488,64512
146,10,466.6884851734517,64512
147,5,815.8622946787303,33792
148,10,474.0627572879144,64512
149,10,487.0167375383895,64512
150,10,481.79447266086873,64512
151,5,831.4928401196515,33792
152,10,491.3745610255396,64512
153,10,479.72849739010553,64512
154,5,788.3592234383142,33792
155,5,787.9327636334739,33792
156,5,806.0898854889292,33792
157,5,821.9132689484135,33792
158,10,474.94297321896846,64512
159,5,841.2235151501941,33792
160,5,831.7654517217934,33792
