frame,components,mse,size_bytes
1,5,1006.4472707167972,8448.0
1,10,573.7146122699927,16128.0
1,15,398.0139504805093,23808.0
1,20,293.3862509780039,31488.0
1,25,225.57203164017804,39168.0
1,30,179.8265873929487,46848.0
1,35,146.42749062971816,54528.0
1,40,121.7577074213824,62208.0
1,45,101.89700521931049,69888.0
1,50,85.65718876277144,77568.0
1,55,72.49361719299502,85248.0
1,60,61.62458113021552,92928.0
1,65,52.631520871111945,100608.0
1,70,45.045899043242855,108288.0
1,75,38.571618847804,115968.0
1,80,33.04271239589739,123648.0
2,5,992.3677710041204,8448.0
2,10,566.8253602705742,16128.0
2,15,391.4082892713297,23808.0
2,20,288.2951929742404,31488.0
2,25,221.99081405356296,39168.0
2,30,176.78424252155517,46848.0
2,35,144.0799678643945,54528.0
2,40,119.0279428659915,62208.0
2,45,99.015385456329,69888.0
2,50,82.87393123265045,77568.0
2,55,70.00719578933692,85248.0
2,60,59.50242685025415,92928.0
2,65,50.75938113079075,100608.0
2,70,43.45240093995184,108288.0
2,75,37.24988632175034,115968.0
2,80,31.91980339100432,123648.0
3,5,975.5207340726256,8448.0
3,10,562.1477773447979,16128.0
3,15,393.2330644369969,23808.0
3,20,290.0644217746645,31488.0
3,25,222.5087465663311,39168.0
3,30,176.49462768939057,46848.0
3,35,144.3013117167593,54528.0
3,40,119.35359640764688,62208.0
3,45,99.36963718851536,69888.0
3,50,83.50117663118117,77568.0
3,55,70.40225190448274,85248.0
3,60,59.699489575866544,92928.0
3,65,50.81194724510959,100608.0
3,70,43.45620145607968,108288.0
3,75,37.16595698800169,115968.0
3,80,31.756125377799293,123648.0
4,5,960.8894786131044,8448.0
4,10,557.4232707255118,16128.0
4,15,387.1996181434252,23808.0
4,20,286.6886664996495,31488.0
4,25,222.1908757966005,39168.0
4,30,176.75971879730972,46848.0
4,35,142.9409235492331,54528.0
4,40,118.0454206194374,62208.0
4,45,98.2357586979876,69888.0
4,50,82.0765438250957,77568.0
4,55,69.00690401668278,85248.0
4,60,58.54487733601516,92928.0
4,65,49.716601897739245,100608.0
4,70,42.27889479122539,108288.0
4,75,36.22868002043803,115968.0
4,80,30.96172133752157,123648.0
5,5,953.1090779625496,8448.0
5,10,558.4783076109001,16128.0
5,15,391.6362895150587,23808.0
5,20,293.1806663023333,31488.0
5,25,227.8791657795125,39168.0
5,30,181.59134775019663,46848.0
5,35,147.69264428556468,54528.0
5,40,121.24391095952062,62208.0
5,45,100.85292534457012,69888.0
5,50,84.47758016472257,77568.0
5,55,71.20980912322115,85248.0
5,60,60.25945148940861,92928.0
5,65,51.15705724873587,100608.0
5,70,43.60803974265111,108288.0
5,75,37.25641529276887,115968.0
5,80,31.8323936314486,123648.0
6,5,936.4689399198832,8448.0
6,10,535.9648774298554,16128.0
6,15,374.6728955119179,23808.0
6,20,279.01661848972907,31488.0
6,25,215.9340351443058,39168.0
6,30,171.37690718761368,46848.0
6,35,139.07008542253115,54528.0
6,40,114.56864480178666,62208.0
6,45,95.5350103663778,69888.0
6,50,80.31819031128146,77568.0
6,55,68.03676126360655,85248.0
6,60,57.59461767580351,92928.0
6,65,48.74085300251222,100608.0
6,70,41.27292704026643,108288.0
6,75,35.05071649533803,115968.0
6,80,29.95135253457491,123648.0
7,5,921.2835204063566,8448.0
7,10,532.0389626754064,16128.0
7,15,372.6129847702709,23808.0
7,20,276.5781441756329,31488.0
7,25,213.09362158427453,39168.0
7,30,169.74094718759522,46848.0
7,35,137.62412597291112,54528.0
7,40,113.44292326941252,62208.0
7,45,94.75843211531844,69888.0
7,50,79.36897754241144,77568.0
7,55,66.8043547592625,85248.0
7,60,56.63693871664472,92928.0
7,65,48.11961176527958,100608.0
7,70,40.93080439601781,108288.0
7,75,34.86633786187123,115968.0
7,80,29.80068644545499,123648.0
8,5,916.404536752436,8448.0
8,10,531.3983785712609,16128.0
8,15,369.3099136322482,23808.0
8,20,271.33079299345945,31488.0
8,25,208.94646355205927,39168.0
8,30,166.03490591560643,46848.0
8,35,135.12388244920183,54528.0
8,40,110.95209945087616,62208.0
8,45,92.13980600291244,69888.0
8,50,76.82467639691663,77568.0
8,55,64.64608495627515,85248.0
8,60,54.89213451599026,92928.0
8,65,46.576473582537055,100608.0
8,70,39.57498937772401,108288.0
8,75,33.86819107875511,115968.0
8,80,28.92552243028378,123648.0
9,5,926.8398519025286,8448.0
9,10,541.4700703278897,16128.0
9,15,371.6599025370968,23808.0
9,20,272.9663765970405,31488.0
9,25,210.70962080739136,39168.0
9,30,166.68093076017126,46848.0
9,35,135.14137768253565,54528.0
9,40,110.67914408785091,62208.0
9,45,91.59291587082949,69888.0
9,50,76.63643963914272,77568.0
9,55,64.60973484321757,85248.0
9,60,54.683644618469735,92928.0
9,65,46.540559582483176,100608.0
9,70,39.74091371613149,108288.0
9,75,34.06081053258171,115968.0
9,80,29.23277867905509,123648.0
10,5,913.1325476441352,8448.0
10,10,531.7591257367677,16128.0
10,15,361.9663947158327,23808.0
10,20,267.00725374200834,31488.0
10,25,205.3740032155032,39168.0
10,30,162.09151108648473,46848.0
10,35,130.86762614744546,54528.0
10,40,106.87560624656514,62208.0
10,45,88.4538775583812,69888.0
10,50,74.24992241909261,77568.0
10,55,62.7054492688059,85248.0
10,60,52.8984104097993,92928.0
10,65,44.90438487851492,100608.0
10,70,38.27978043281608,108288.0
10,75,32.788086791471805,115968.0
10,80,28.055861674755523,123648.0
11,5,903.3131710975,8448.0
11,10,524.0030881577178,16128.0
11,15,361.43729935264247,23808.0
11,20,268.3074622097636,31488.0
11,25,206.1780709024228,39168.0
11,30,163.8110015726216,46848.0
11,35,133.58217319212457,54528.0
11,40,109.9124148231807,62208.0
11,45,91.12412316898758,69888.0
11,50,76.22764272297074,77568.0
11,55,64.23848464433722,85248.0
11,60,54.301496993897366,92928.0
11,65,46.21689020592083,100608.0
11,70,39.40552595603752,108288.0
11,75,33.67801815587415,115968.0
11,80,28.791680850190872,123648.0
12,5,909.6587496722892,8448.0
12,10,524.4440164420336,16128.0
12,15,362.412266395411,23808.0
12,20,271.22978738152864,31488.0
12,25,207.92254794225093,39168.0
12,30,164.7069000577799,46848.0
12,35,132.90441835508105,54528.0
12,40,109.4960584778358,62208.0
12,45,91.0237453672553,69888.0
12,50,75.99741834945856,77568.0
12,55,64.09553276917991,85248.0
12,60,54.23214379956903,92928.0
12,65,46.11912805254389,100608.0
12,70,39.25705675677025,108288.0
12,75,33.35251178276445,115968.0
12,80,28.50375797938557,123648.0
13,5,925.8358278553422,8448.0
13,10,532.3865224689723,16128.0
13,15,368.5014456056924,23808.0
13,20,277.03029118164096,31488.0
13,25,213.48657306835548,39168.0
13,30,168.21084708253372,46848.0
13,35,137.00631301008622,54528.0
13,40,112.93727174036388,62208.0
13,45,93.92069264070696,69888.0
13,50,78.68950433857601,77568.0
13,55,66.22942733078423,85248.0
13,60,56.037885462081,92928.0
13,65,47.88201348152728,100608.0
13,70,40.97179457514618,108288.0
13,75,35.12051476178049,115968.0
13,80,30.04546970465161,123648.0
14,5,912.7870214221956,8448.0
14,10,523.8034772604249,16128.0
14,15,360.6254436124165,23808.0
14,20,268.9889592056681,31488.0
14,25,205.89978511127788,39168.0
14,30,161.2113781761963,46848.0
14,35,129.48932637358226,54528.0
14,40,106.81597843148442,62208.0
14,45,89.21316971317005,69888.0
14,50,74.90238603171959,77568.0
14,55,63.27324868574576,85248.0
14,60,53.55897090101765,92928.0
14,65,45.52304555049509,100608.0
14,70,38.90113112216512,108288.0
14,75,33.27226686825882,115968.0
14,80,28.467030244088715,123648.0
15,5,919.1611907715992,8448.0
15,10,535.5075826974673,16128.0
15,15,369.0635178478424,23808.0
15,20,274.68308093490964,31488.0
15,25,212.35779200029185,39168.0
15,30,167.9498100489308,46848.0
15,35,136.1843887286993,54528.0
15,40,111.72966984226883,62208.0
15,45,92.68340337324632,69888.0
15,50,77.72468466343047,77568.0
15,55,65.39994193141861,85248.0
15,60,55.59777128573463,92928.0
15,65,47.35484299789008,100608.0
15,70,40.4065544784938,108288.0
15,75,34.48045453992421,115968.0
15,80,29.43113551788533,123648.0
16,5,915.1843935416248,8448.0
16,10,529.9055850694649,16128.0
16,15,368.4155388750399,23808.0
16,20,273.1666324728997,31488.0
16,25,211.394684873274,39168.0
16,30,167.44653192976065,46848.0
16,35,134.9329212857293,54528.0
16,40,110.11041206471263,62208.0
16,45,90.60838725424668,69888.0
16,50,75.37027670859158,77568.0
16,55,63.16572655762074,85248.0
16,60,53.36672047496427,92928.0
16,65,45.36844898242719,100608.0
16,70,38.88252170687457,108288.0
16,75,33.21772106789928,115968.0
16,80,28.404643398766684,123648.0
17,5,916.2063753464485,8448.0
17,10,540.4295667149393,16128.0
17,15,379.5721887487031,23808.0
17,20,281.39082448974665,31488.0
17,25,218.78398093860287,39168.0
17,30,174.2369374109552,46848.0
17,35,141.37360422424962,54528.0
17,40,116.15916851917632,62208.0
17,45,95.815435065746,69888.0
17,50,79.82955629851561,77568.0
17,55,66.70838287230197,85248.0
17,60,56.55466524240419,92928.0
17,65,48.24733552314956,100608.0
17,70,41.19868536099577,108288.0
17,75,35.15567785290263,115968.0
17,80,30.09034315817082,123648.0
18,5,892.097147107459,8448.0
18,10,549.2686607536945,16128.0
18,15,382.8812160765741,23808.0
18,20,283.416823132874,31488.0
18,25,218.8316996745632,39168.0
18,30,173.0197579218218,46848.0
18,35,140.17431450246298,54528.0
18,40,114.56436536037454,62208.0
18,45,94.88331795723091,69888.0
18,50,79.15639494176975,77568.0
18,55,66.1577667834457,85248.0
18,60,55.651885789601,92928.0
18,65,46.9824327305584,100608.0
18,70,39.8543623435172,108288.0
18,75,33.861613650628136,115968.0
18,80,28.86246430907501,123648.0
19,5,899.9612412084289,8448.0
19,10,563.1757213319682,16128.0
19,15,397.7381900421781,23808.0
19,20,292.784070854103,31488.0
19,25,227.01237793958185,39168.0
19,30,180.9129817044769,46848.0
19,35,145.4797311419364,54528.0
19,40,119.53968364944924,62208.0
19,45,98.72635401626968,69888.0
19,50,82.32655195623408,77568.0
19,55,69.17413205980746,85248.0
19,60,58.15326203350417,92928.0
19,65,49.13620908678155,100608.0
19,70,41.78750472221329,108288.0
19,75,35.66108018274454,115968.0
19,80,30.450631987177783,123648.0
20,5,908.7952487083452,8448.0
20,10,567.6640698175464,16128.0
20,15,396.02137054835504,23808.0
20,20,292.581044603228,31488.0
20,25,227.2117718544741,39168.0
20,30,180.15588985184192,46848.0
20,35,144.71505414436854,54528.0
20,40,118.28601407974826,62208.0
20,45,97.82351234070528,69888.0
20,50,81.83357179916175,77568.0
20,55,68.59458462681029,85248.0
20,60,57.799293145466926,92928.0
20,65,49.04884469020333,100608.0
20,70,41.66185513192113,108288.0
20,75,35.418478517151065,115968.0
20,80,30.07144659068297,123648.0
21,5,906.9442507084688,8448.0
21,10,569.8555618096846,16128.0
21,15,402.78061751105537,23808.0
21,20,297.6955326554741,31488.0
21,25,232.36687557270488,39168.0
21,30,185.6216057205409,46848.0
21,35,150.2643581989834,54528.0
21,40,123.2054803946034,62208.0
21,45,102.645456996012,69888.0
21,50,86.11654278397265,77568.0
21,55,72.80014073291728,85248.0
21,60,61.53750728046666,92928.0
21,65,52.31002914090514,100608.0
21,70,44.44227230703337,108288.0
21,75,37.70253441878604,115968.0
21,80,32.038587303276934,123648.0
22,5,901.1475845001214,8448.0
22,10,558.0405497798905,16128.0
22,15,393.7201670370084,23808.0
22,20,293.09335547724146,31488.0
22,25,226.61287107367173,39168.0
22,30,180.756168278583,46848.0
22,35,145.79995392294657,54528.0
22,40,119.12541367807874,62208.0
22,45,98.84792774183806,69888.0
22,50,82.35387213326291,77568.0
22,55,69.014168683704,85248.0
22,60,58.05639485913542,92928.0
22,65,49.12363850439027,100608.0
22,70,41.68967956762896,108288.0
22,75,35.32448670157216,115968.0
22,80,30.127700697655268,123648.0
23,5,910.9833835336192,8448.0
23,10,559.758628497776,16128.0
23,15,396.8324990416581,23808.0
23,20,297.58322379078817,31488.0
23,25,230.2671918065724,39168.0
23,30,183.9940566401082,46848.0
23,35,148.55814350127932,54528.0
23,40,121.786816125442,62208.0
23,45,101.45052160964644,69888.0
23,50,84.94681712724805,77568.0
23,55,71.5961117733418,85248.0
23,60,60.80385833348157,92928.0
23,65,51.667155317832645,100608.0
23,70,44.00201252265972,108288.0
23,75,37.60343947558632,115968.0
23,80,32.18903583619371,123648.0
24,5,926.5258190279006,8448.0
24,10,565.7384569745449,16128.0
24,15,397.6847185552797,23808.0
24,20,295.6443132123531,31488.0
24,25,230.43913899058984,39168.0
24,30,184.83384616045385,46848.0
