frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms
1,50,69.0611,96208,0.033627991,0.038000000,4.372009,1,69.061108,5.000000
2,50,66.817107,96208,0.047975662,0.052500000,4.524338,1,66.817107,5.000000
3,50,67.322824,96208,0.061841695,0.067000000,5.158305,0,846.769921,5.000000
4,50,66.174213,96208,0.078736729,0.083500000,4.763271,1,66.174213,5.000000
5,50,68.110049,96208,0.092405963,0.098500000,6.094037,0,846.769921,5.000000
6,50,64.756541,96208,0.105090714,0.112500000,7.409286,0,846.769921,5.000000
7,50,63.991238,96208,0.118298421,0.124500000,6.201579,0,846.769921,5.000000
8,50,61.939895,96208,0.131266099,0.137000000,5.733901,0,846.769921,5.000000
9,50,61.788129,96208,0.144553969,0.152000000,7.446031,0,846.769921,5.000000
10,50,59.864000,96208,0.159507500,0.166000000,6.492500,0,846.769921,5.000000
11,50,61.458537,96208,0.172217915,0.176500000,4.282085,1,61.458537,5.000000
12,50,61.272919,96208,0.187408307,0.192000000,4.591693,1,61.272919,5.000000
13,50,63.443413,96208,0.200195751,0.207000000,6.804249,0,846.769921,5.000000
14,50,60.390049,96208,0.214296729,0.220500000,6.203271,0,846.769921,5.000000
15,50,62.665527,96208,0.228072379,0.233500000,5.427621,0,846.769921,5.000000
16,50,60.767286,96208,0.245394301,0.252000000,6.605699,0,846.769921,5.000000
17,50,64.362580,96208,0.261470370,0.268000000,6.529630,0,846.769921,5.000000
18,50,63.819843,96208,0.275699784,0.283000000,7.300216,0,846.769921,5.000000
19,50,66.375783,96208,0.289039699,0.296500000,7.460301,0,846.769921,5.000000
20,50,65.978317,96208,0.303581111,0.314500000,10.918889,0,846.769921,5.000000
21,50,69.431463,96208,0.316727755,0.325000000,8.272245,0,846.769921,5.000000
22,50,66.397809,96208,0.331226314,0.341000000,9.773686,0,846.769921,5.000000
23,50,68.488371,96208,0.344505845,0.353500000,8.994155,0,846.769921,5.000000
24,50,69.450214,96208,0.359133534,0.368000000,8.866466,0,846.769921,5.000000
25,50,71.065677,96208,0.371890280,0.379500000,7.609720,0,846.769921,5.000000
26,50,67.551374,96208,0.385791964,0.394000000,8.208036,0,846.769921,5.000000
27,50,68.242445,96208,0.399759303,0.413000000,13.240697,0,846.769921,5.000000
28,50,68.030633,96208,0.413525092,0.423500000,9.974908,0,846.769921,5.000000
29,50,73.021275,96208,0.427266861,0.436500000,9.233139,0,846.769921,5.000000
30,50,71.436357,96208,0.441134173,0.448500000,7.365827,0,846.769921,5.000000
31,50,71.767075,96208,0.455157061,0.460500000,5.342939,0,846.769921,5.000000
32,50,69.926374,96208,0.468346647,0.478500000,10.153353,0,846.769921,5.000000
33,50,72.317352,96208,0.482448553,0.490000000,7.551447,0,846.769921,5.000000
34,50,67.505201,96208,0.497976444,0.506500000,8.523556,0,846.769921,5.000000
