frame,components,mse,size_bytes
1,5,683.3247259077202,12442.790697674418
1,10,389.5220262254161,23754.41860465116
1,15,270.230524273609,35066.04651162791
1,20,199.1938230324342,46377.67441860465
1,25,153.1515372714893,57689.3023255814
1,30,122.09278828258097,69000.93023255814
1,35,99.4165594275455,80312.55813953489
1,40,82.66707503872806,91624.18604651162
1,45,69.18270354363712,102935.81395348837
1,50,58.15672289682903,114247.44186046511
1,55,49.21935062050714,125559.06976744186
1,60,41.839847188409486,136870.6976744186
1,65,35.73403259143916,148182.32558139536
1,70,30.58379461357015,159493.9534883721
1,75,26.1880991124564,170805.58139534883
1,80,22.434262626688227,182117.2093023256
2,5,673.7654866291133,12442.790697674418
2,10,384.8445867100214,23754.41860465116
2,15,265.74562797895544,35066.04651162791
2,20,195.73726259830008,46377.67441860465
2,25,150.7200790153138,57689.3023255814
2,30,120.02719623831904,69000.93023255814
2,35,97.82271502372048,80312.55813953489
2,40,80.81370857743634,91624.18604651162
2,45,67.22623538877075,102935.81395348837
2,50,56.267037521115306,114247.44186046511
2,55,47.5312013517077,125559.06976744186
2,60,40.39901612464624,136870.6976744186
2,65,34.46294824143161,148182.32558139536
2,70,29.501893269756778,159493.9534883721
2,75,25.290712292135755,170805.58139534883
2,80,21.671866512839774,182117.2093023256
3,5,662.3272352387827,12442.790697674418
3,10,381.66875409199434,23754.41860465116
3,15,266.9845542756453,35066.04651162791
3,20,196.93847583648272,46377.67441860465
3,25,151.07172793187743,57689.3023255814
3,30,119.83056301016518,69000.93023255814
3,35,97.97299584979973,80312.55813953489
3,40,81.03481019256024,91624.18604651162
3,45,67.46675367009726,102935.81395348837
3,50,56.69290413380195,114247.44186046511
3,55,47.799423661464594,125559.06976744186
3,60,40.532811343614654,136870.6976744186
3,65,34.498637866416516,148182.32558139536
3,70,29.504473620180416,159493.9534883721
3,75,25.233728691853777,170805.58139534883
3,80,21.560737756505837,182117.2093023256
4,5,652.3933828478446,12442.790697674418
4,10,378.4610627557422,23754.41860465116
4,15,262.888161792115,35066.04651162791
4,20,194.64651567607783,46377.67441860465
4,25,150.85591040927085,57689.3023255814
4,30,120.0105459202787,69000.93023255814
4,35,97.0493638834267,80312.55813953489
4,40,80.14662768372328,91624.18604651162
4,45,66.69690985284421,102935.81395348837
4,50,55.72565343914392,114247.44186046511
4,55,46.85205588501094,125559.06976744186
4,60,39.74889040182082,136870.6976744186
4,65,33.75495602530717,148182.32558139536
4,70,28.70514435825303,159493.9534883721
4,75,24.597366961244767,170805.58139534883
4,80,21.021379223896226,182117.2093023256
5,5,647.1109003008889,12442.790697674418
5,10,379.1773772726637,23754.41860465116
5,15,265.9004281444346,35066.04651162791
5,20,199.05424185789997,46377.67441860465
5,25,154.7179599239848,57689.3023255814
5,30,123.29096768302824,69000.93023255814
5,35,100.27553217283076,80312.55813953489
5,40,82.31823428304294,91624.18604651162
5,45,68.47382826026077,102935.81395348837
5,50,57.3558307434169,114247.44186046511
5,55,48.34771250997647,125559.06976744186
5,60,40.91299601123006,136870.6976744186
5,65,34.73294939519435,148182.32558139536
5,70,29.607563825273647,159493.9534883721
5,75,25.295145119827286,170805.58139534883
5,80,21.6125198866151,182117.2093023256
6,5,635.8131223666575,12442.790697674418
6,10,363.89194309711235,23754.41860465116
6,15,254.38317642651268,35066.04651162791
6,20,189.43759886934237,46377.67441860465
6,25,146.60784491376552,57689.3023255814
6,30,116.3559001431693,69000.93023255814
6,35,94.42126852371852,80312.55813953489
6,40,77.78607989173936,91624.18604651162
6,45,64.86324388033019,102935.81395348837
6,50,54.53182394818583,114247.44186046511
6,55,46.19338001581708,125559.06976744186
6,60,39.10371410620344,136870.6976744186
6,65,33.09247388065303,148182.32558139536
6,70,28.022145201022997,159493.9534883721
6,75,23.797591725782137,170805.58139534883
6,80,20.33539198400086,182117.2093023256
7,5,625.5030217495789,12442.790697674418
7,10,361.22645360593384,23754.41860465116
7,15,252.98460544928918,35066.04651162791
7,20,187.78200315082444,46377.67441860465
7,25,144.6793536019548,57689.3023255814
7,30,115.24516940631466,69000.93023255814
7,35,93.43953816055544,80312.55813953489
7,40,77.02177421975902,91624.18604651162
7,45,64.33598812040042,102935.81395348837
7,50,53.88735843668987,114247.44186046511
7,55,45.35664086286769,125559.06976744186
7,60,38.45350049709036,136870.6976744186
7,65,32.67068377747929,148182.32558139536
7,70,27.789861932033148,159493.9534883721
7,75,23.67240833779678,170805.58139534883
7,80,20.233097639282597,182117.2093023256
8,5,622.1904486371802,12442.790697674418
8,10,360.79153071417187,23754.41860465116
8,15,250.74199399242116,35066.04651162791
8,20,184.2193278745067,46377.67441860465
8,25,141.86365156955603,57689.3023255814
8,30,112.72896243743806,69000.93023255814
8,35,91.74200439972124,80312.55813953489
8,40,75.33063594296328,91624.18604651162
8,45,62.55807881250371,102935.81395348837
8,50,52.1599118694855,114247.44186046511
8,55,43.89128925978681,125559.06976744186
8,60,37.26887027664602,136870.6976744186
8,65,31.622974169196212,148182.32558139536
8,70,26.869334893296827,159493.9534883721
8,75,22.994719206102154,170805.58139534883
8,80,19.638907334245303,182117.2093023256
9,5,629.2754783969799,12442.790697674418
9,10,367.629679327883,23754.41860465116
9,15,252.33751277518678,35066.04651162791
9,20,185.32980305799066,46377.67441860465
