frame,components,mse,size_bytes
1,5,811.4481120154178,10478.139534883721
1,10,462.5574061426816,20003.720930232557
1,15,320.89874757491066,29529.302325581393
1,20,236.54266485101564,39054.88372093023
1,25,181.86745050989356,48580.46511627907
1,30,144.9851860855649,58106.04651162791
1,35,118.05716432021028,67631.62790697675
1,40,98.16715160848956,77157.20930232559
1,45,82.15446045806908,86682.79069767441
1,50,69.06110843998448,96208.37209302325
1,55,58.447978861852235,105733.95348837209
1,60,49.684818536236264,115259.53488372093
1,65,42.434163702334004,124785.11627906977
1,70,36.31825610361455,134310.6976744186
1,75,31.098367696041972,143836.27906976745
1,80,26.640686869192272,153361.86046511628
2,5,800.0965153720721,10478.139534883721
2,10,457.00294671815044,20003.720930232557
2,15,315.5729332250096,29529.302325581393
2,20,232.43799933548135,39054.88372093023
2,25,178.98009383068515,48580.46511627907
2,30,142.53229553300386,58106.04651162791
2,35,116.16447409066807,67631.62790697675
2,40,95.96627893570566,77157.20930232559
2,45,79.83115452416526,86682.79069767441
2,50,66.81710705632443,96208.37209302325
2,55,56.44330160515289,105733.95348837209
2,60,47.97383164801741,115259.53488372093
2,65,40.924751036700044,124785.11627906977
2,70,35.03349825783617,134310.6976744186
2,75,30.03272084691121,143836.27906976745
2,80,25.73534148399723,153361.86046511628
3,5,786.5135918460544,10478.139534883721
3,10,453.2316454842433,20003.720930232557
3,15,317.0441582023288,29529.302325581393
3,20,233.86444005582325,39054.88372093023
3,25,179.39767691910444,48580.46511627907
3,30,142.29879357457116,58106.04651162791
3,35,116.34293257163719,67631.62790697675
3,40,96.2288371036653,77157.20930232559
3,45,80.1167699832405,86682.79069767441
3,50,67.32282365888982,96208.37209302325
3,55,56.76181559798921,105733.95348837209
3,60,48.1327134705424,115259.53488372093
3,65,40.96713246636961,124785.11627906977
3,70,35.03656242396424,134310.6976744186
3,75,29.96505282157636,143836.27906976745
3,80,25.60337608585068,153361.86046511628
4,5,774.7171421318154,10478.139534883721
4,10,449.42251202244387,20003.720930232557
4,15,312.1796921281366,29529.302325581393
4,20,231.14273736534244,39054.88372093023
