frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,400,0.0134202873690305,31375,335,150528,I,0.9991888471560938
0,375,0.0136499303274345,29418,335,150528,I,0.9990670818908058
0,350,0.0226433656987006,27462,335,150528,I,0.9989185281775458
0,325,0.0242265911641946,25506,335,150528,I,0.998739578294096
0,300,0.025305035503726,23549,335,150528,I,0.998520872701858
0,275,0.0484924373831195,21593,335,150528,I,0.9982487660877828
0,250,0.052827327251887,19637,335,150528,I,0.9978987091320068
0,225,0.0540327485693662,17681,335,150528,I,0.997456462177244
0,200,0.117420653485255,15724,335,150528,I,0.9968437991141186
0,175,0.1544306946182963,13768,335,150528,I,0.9959873160924456
0,150,0.2012545253783714,11812,335,150528,I,0.994873995731457
0,125,0.2537098795990086,9855,335,150528,I,0.9934819738069894
0,100,0.7682921400781736,7899,335,150528,I,0.9916185308505936
0,75,0.8561312410984585,5943,335,150528,I,0.9890839418207804
0,50,0.9393308356517508,3986,335,150528,I,0.9855205506688024
0,25,1.2879436970013705,2030,335,150528,I,0.9796684722318894
0,0,0.0,150528,335,150528,I,
1,400,0.0134202873690305,31375,795,150528,P,0.9991888471560938
1,375,0.0136499303274345,29418,795,150528,P,0.9990670818908058
1,350,0.0226433656987006,27462,795,150528,P,0.9989185281775458
1,325,0.0242265911641946,25506,795,150528,P,0.998739578294096
1,300,0.025305035503726,23549,795,150528,P,0.998520872701858
1,275,0.0484924373831195,21593,795,150528,P,0.9982487660877828
1,250,0.052827327251887,19637,795,150528,P,0.9978987091320068
1,225,0.0540327485693662,17681,795,150528,P,0.997456462177244
1,200,0.117420653485255,15724,795,150528,P,0.9968437991141186
1,175,0.1544306946182963,13768,795,150528,P,0.9959873160924456
1,150,0.2012545253783714,11812,795,150528,P,0.994873995731457
1,125,0.2537098795990086,9855,795,150528,P,0.9934819738069894
1,100,0.7682921400781736,7899,795,150528,P,0.9916185308505936
1,75,0.8561312410984585,5943,795,150528,P,0.9890839418207804
1,50,0.9393308356517508,3986,795,150528,P,0.9855205506688024
1,25,1.2879436970013705,2030,795,150528,P,0.9796684722318894
1,0,0.0,150528,795,150528,P,
2,400,0.0134202873690305,31375,5,150528,P,0.9991888471560938
2,375,0.0136499303274345,29418,5,150528,P,0.9990670818908058
2,350,0.0226433656987006,27462,5,150528,P,0.9989185281775458
2,325,0.0242265911641946,25506,5,150528,P,0.998739578294096
2,300,0.025305035503726,23549,5,150528,P,0.998520872701858
2,275,0.0484924373831195,21593,5,150528,P,0.9982487660877828
2,250,0.052827327251887,19637,5,150528,P,0.9978987091320068
2,225,0.0540327485693662,17681,5,150528,P,0.997456462177244
2,200,0.117420653485255,15724,5,150528,P,0.9968437991141186
2,175,0.1544306946182963,13768,5,150528,P,0.9959873160924456
2,150,0.2012545253783714,11812,5,150528,P,0.994873995731457
2,125,0.2537098795990086,9855,5,150528,P,0.9934819738069894
2,100,0.7682921400781736,7899,5,150528,P,0.9916185308505936
2,75,0.8561312410984585,5943,5,150528,P,0.9890839418207804
2,50,0.9393308356517508,3986,5,150528,P,0.9855205506688024
2,25,1.2879436970013705,2030,5,150528,P,0.9796684722318894
2,0,0.0,150528,5,150528,P,
3,400,0.0134202873690305,31375,115,150528,P,0.9991888471560938
3,375,0.0136499303274345,29418,115,150528,P,0.9990670818908058
3,350,0.0226433656987006,27462,115,150528,P,0.9989185281775458
3,325,0.0242265911641946,25506,115,150528,P,0.998739578294096
3,300,0.025305035503726,23549,115,150528,P,0.998520872701858
3,275,0.0484924373831195,21593,115,150528,P,0.9982487660877828
3,250,0.052827327251887,19637,115,150528,P,0.9978987091320068
3,225,0.0540327485693662,17681,115,150528,P,0.997456462177244
3,200,0.117420653485255,15724,115,150528,P,0.9968437991141186
3,175,0.1544306946182963,13768,115,150528,P,0.9959873160924456
3,150,0.2012545253783714,11812,115,150528,P,0.994873995731457
3,125,0.2537098795990086,9855,115,150528,P,0.9934819738069894
3,100,0.7682921400781736,7899,115,150528,P,0.9916185308505936
3,75,0.8561312410984585,5943,115,150528,P,0.9890839418207804
3,50,0.9393308356517508,3986,115,150528,P,0.9855205506688024
3,25,1.2879436970013705,2030,115,150528,P,0.9796684722318894
3,0,0.0,150528,115,150528,P,
4,400,0.0134202873690305,31375,5,150528,P,0.9991888471560938
4,375,0.0136499303274345,29418,5,150528,P,0.9990670818908058
4,350,0.0226433656987006,27462,5,150528,P,0.9989185281775458
4,325,0.0242265911641946,25506,5,150528,P,0.998739578294096
4,300,0.025305035503726,23549,5,150528,P,0.998520872701858
4,275,0.0484924373831195,21593,5,150528,P,0.9982487660877828
4,250,0.052827327251887,19637,5,150528,P,0.9978987091320068
4,225,0.0540327485693662,17681,5,150528,P,0.997456462177244
4,200,0.117420653485255,15724,5,150528,P,0.9968437991141186
4,175,0.1544306946182963,13768,5,150528,P,0.9959873160924456
4,150,0.2012545253783714,11812,5,150528,P,0.994873995731457
4,125,0.2537098795990086,9855,5,150528,P,0.9934819738069894
4,100,0.7682921400781736,7899,5,150528,P,0.9916185308505936
4,75,0.8561312410984585,5943,5,150528,P,0.9890839418207804
4,50,0.9393308356517508,3986,5,150528,P,0.9855205506688024
4,25,1.2879436970013705,2030,5,150528,P,0.9796684722318894
4,0,0.0,150528,5,150528,P,
5,400,0.0134202873690305,31375,206,150528,P,0.9991888471560938
5,375,0.0136499303274345,29418,206,150528,P,0.9990670818908058
5,350,0.0226433656987006,27462,206,150528,P,0.9989185281775458
5,325,0.0242265911641946,25506,206,150528,P,0.998739578294096
5,300,0.025305035503726,23549,206,150528,P,0.998520872701858
5,275,0.0484924373831195,21593,206,150528,P,0.9982487660877828
5,250,0.052827327251887,19637,206,150528,P,0.9978987091320068
5,225,0.0540327485693662,17681,206,150528,P,0.997456462177244
5,200,0.117420653485255,15724,206,150528,P,0.9968437991141186
5,175,0.1544306946182963,13768,206,150528,P,0.9959873160924456
5,150,0.2012545253783714,11812,206,150528,P,0.994873995731457
5,125,0.2537098795990086,9855,206,150528,P,0.9934819738069894
5,100,0.7682921400781736,7899,206,150528,P,0.9916185308505936
5,75,0.8561312410984585,5943,206,150528,P,0.9890839418207804
5,50,0.9393308356517508,3986,206,150528,P,0.9855205506688024
5,25,1.2879436970013705,2030,206,150528,P,0.9796684722318894
5,0,0.0,150528,206,150528,P,
6,400,0.0134202873690305,31375,5,150528,P,0.9991888471560938
6,375,0.0136499303274345,29418,5,150528,P,0.9990670818908058
6,350,0.0226433656987006,27462,5,150528,P,0.9989185281775458
6,325,0.0242265911641946,25506,5,150528,P,0.998739578294096
6,300,0.025305035503726,23549,5,150528,P,0.998520872701858
6,275,0.0484924373831195,21593,5,150528,P,0.9982487660877828
6,250,0.052827327251887,19637,5,150528,P,0.9978987091320068
6,225,0.0540327485693662,17681,5,150528,P,0.997456462177244
6,200,0.117420653485255,15724,5,150528,P,0.9968437991141186
6,175,0.1544306946182963,13768,5,150528,P,0.9959873160924456
6,150,0.2012545253783714,11812,5,150528,P,0.994873995731457
6,125,0.2537098795990086,9855,5,150528,P,0.9934819738069894
6,100,0.7682921400781736,7899,5,150528,P,0.9916185308505936
6,75,0.8561312410984585,5943,5,150528,P,0.9890839418207804
6,50,0.9393308356517508,3986,5,150528,P,0.9855205506688024
6,25,1.2879436970013705,2030,5,150528,P,0.9796684722318894
6,0,0.0,150528,5,150528,P,
7,400,0.0134202873690305,31375,83,150528,P,0.9991888471560938
7,375,0.0136499303274345,29418,83,150528,P,0.9990670818908058
7,350,0.0226433656987006,27462,83,150528,P,0.9989185281775458
7,325,0.0242265911641946,25506,83,150528,P,0.998739578294096
7,300,0.025305035503726,23549,83,150528,P,0.998520872701858
7,275,0.0484924373831195,21593,83,150528,P,0.9982487660877828
7,250,0.052827327251887,19637,83,150528,P,0.9978987091320068
7,225,0.0540327485693662,17681,83,150528,P,0.997456462177244
7,200,0.117420653485255,15724,83,150528,P,0.9968437991141186
7,175,0.1544306946182963,13768,83,150528,P,0.9959873160924456
7,150,0.2012545253783714,11812,83,150528,P,0.994873995731457
7,125,0.2537098795990086,9855,83,150528,P,0.9934819738069894
7,100,0.7682921400781736,7899,83,150528,P,0.9916185308505936
7,75,0.8561312410984585,5943,83,150528,P,0.9890839418207804
7,50,0.9393308356517508,3986,83,150528,P,0.9855205506688024
7,25,1.2879436970013705,2030,83,150528,P,0.9796684722318894
7,0,0.0,150528,83,150528,P,
8,400,0.0134202873690305,31375,5,150528,P,0.9991888471560938
8,375,0.0136499303274345,29418,5,150528,P,0.9990670818908058
8,350,0.0226433656987006,27462,5,150528,P,0.9989185281775458
8,325,0.0242265911641946,25506,5,150528,P,0.998739578294096
8,300,0.025305035503726,23549,5,150528,P,0.998520872701858
8,275,0.0484924373831195,21593,5,150528,P,0.9982487660877828
8,250,0.052827327251887,19637,5,150528,P,0.9978987091320068
8,225,0.0540327485693662,17681,5,150528,P,0.997456462177244
8,200,0.117420653485255,15724,5,150528,P,0.9968437991141186
8,175,0.1544306946182963,13768,5,150528,P,0.9959873160924456
8,150,0.2012545253783714,11812,5,150528,P,0.994873995731457
8,125,0.2537098795990086,9855,5,150528,P,0.9934819738069894
8,100,0.7682921400781736,7899,5,150528,P,0.9916185308505936
8,75,0.8561312410984585,5943,5,150528,P,0.9890839418207804
8,50,0.9393308356517508,3986,5,150528,P,0.9855205506688024
8,25,1.2879436970013705,2030,5,150528,P,0.9796684722318894
8,0,0.0,150528,5,150528,P,
9,400,0.0134202873690305,31375,245,150528,P,0.9991888471560938
9,375,0.0136499303274345,29418,245,150528,P,0.9990670818908058
9,350,0.0226433656987006,27462,245,150528,P,0.9989185281775458
9,325,0.0242265911641946,25506,245,150528,P,0.998739578294096
9,300,0.025305035503726,23549,245,150528,P,0.998520872701858
9,275,0.0484924373831195,21593,245,150528,P,0.9982487660877828
9,250,0.052827327251887,19637,245,150528,P,0.9978987091320068
9,225,0.0540327485693662,17681,245,150528,P,0.997456462177244
9,200,0.117420653485255,15724,245,150528,P,0.9968437991141186
9,175,0.1544306946182963,13768,245,150528,P,0.9959873160924456
9,150,0.2012545253783714,11812,245,150528,P,0.994873995731457
