frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
1,400,0.010084652775652,75144,68,150528,B,0.9998795507688396
1,375,0.0302857673529011,70459,68,150528,B,0.999728481876772
1,350,0.0399117569888062,65774,68,150528,B,0.999496255728275
1,325,0.257363173625332,61089,68,150528,B,0.9991324482340918
1,300,1.8647554647783091,56404,68,150528,B,0.9986309713923562
1,275,1.972185697623993,51719,68,150528,B,0.997961444477454
1,250,3.06725976732823,47034,68,150528,B,0.9971056866282758
1,225,3.123408988106716,42349,68,150528,B,0.9959083732188536
1,200,3.1625273376824885,37664,68,150528,B,0.9943859834684412
1,175,3.1927879767496883,32978,68,150528,B,0.992456163470366
1,150,3.263661618452752,28293,68,150528,B,0.989904055899205
1,125,3.3565096857493724,23608,68,150528,B,0.9865242410778294
1,100,3.973729957490478,18923,68,150528,B,0.9820861335079244
1,75,12.386374055608153,14238,68,150528,B,0.9755870915393542
1,50,12.928335413961106,9553,68,150528,B,0.9652441284525256
1,25,15.52568649235736,4868,68,150528,B,0.9423847991476088
1,0,0.0,150528,68,150528,B,
2,400,0.010084652775652,75144,68,150528,B,0.9998795507688396
2,375,0.0302857673529011,70459,68,150528,B,0.999728481876772
2,350,0.0399117569888062,65774,68,150528,B,0.999496255728275
2,325,0.257363173625332,61089,68,150528,B,0.9991324482340918
2,300,1.8647554647783091,56404,68,150528,B,0.9986309713923562
2,275,1.972185697623993,51719,68,150528,B,0.997961444477454
2,250,3.06725976732823,47034,68,150528,B,0.9971056866282758
2,225,3.123408988106716,42349,68,150528,B,0.9959083732188536
2,200,3.1625273376824885,37664,68,150528,B,0.9943859834684412
2,175,3.1927879767496883,32978,68,150528,B,0.992456163470366
2,150,3.263661618452752,28293,68,150528,B,0.989904055899205
2,125,3.3565096857493724,23608,68,150528,B,0.9865242410778294
2,100,3.973729957490478,18923,68,150528,B,0.9820861335079244
2,75,12.386374055608153,14238,68,150528,B,0.9755870915393542
2,50,12.928335413961106,9553,68,150528,B,0.9652441284525256
2,25,15.52568649235736,4868,68,150528,B,0.9423847991476088
2,0,0.0,150528,68,150528,B,
3,400,1.2327609101806327,75144,156,150528,P,0.9998795507688396
3,375,1.2522771951132885,70459,156,150528,P,0.999728481876772
3,350,1.2627803207648118,65774,156,150528,P,0.999496255728275
3,325,1.462698724361056,61089,156,150528,P,0.9991324482340918
3,300,2.676829236891887,56404,156,150528,P,0.9986309713923562
3,275,2.885580337565196,51719,156,150528,P,0.997961444477454
3,250,3.880026510809246,47034,156,150528,P,0.9971056866282758
3,225,3.9118598349031575,42349,156,150528,P,0.9959083732188536
