frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type
0,0,0.0,150528,13244,150528,I
0,4,431.8601871142164,4217,13244,150528,I
0,20,416.40867604874074,7962,13244,150528,I
0,36,387.045100342948,11706,13244,150528,I
0,52,350.7693826337345,15451,13244,150528,I
0,68,332.84769002348185,19196,13244,150528,I
0,84,305.6812342023477,22940,13244,150528,I
0,100,284.6747442148626,26685,13244,150528,I
0,116,280.45655018649995,30429,13244,150528,I
0,132,232.1699043852277,34174,13244,150528,I
0,148,209.46389473392628,37918,13244,150528,I
0,164,191.62654601968825,41663,13244,150528,I
0,180,186.57867512083612,45408,13244,150528,I
0,196,169.35456451610662,49152,13244,150528,I
0,212,165.69922330090776,52897,13244,150528,I
0,228,155.50115150981583,56641,13244,150528,I
0,244,151.42295532859862,60386,13244,150528,I
0,260,143.336463480955,64130,13244,150528,I
0,276,138.6852253926918,67875,13244,150528,I
0,292,131.77046420169063,71620,13244,150528,I
0,308,126.43839631055016,75364,13244,150528,I
0,324,129.84763230197132,79109,13244,150528,I
0,340,126.45075039763469,82853,13244,150528,I
0,356,118.88204014103394,86598,13244,150528,I
0,372,113.8189461606089,90342,13244,150528,I
1,0,0.0,150528,67,150528,B
1,4,431.8601871142164,4217,67,150528,B
1,20,416.40867604874074,7962,67,150528,B
1,36,387.045100342948,11706,67,150528,B
1,52,350.7694129133597,15451,67,150528,B
1,68,332.84769002348185,19196,67,150528,B
1,84,305.6812342023477,22940,67,150528,B
1,100,284.6747442148626,26685,67,150528,B
1,116,280.45655018649995,30429,67,150528,B
1,132,232.1699043852277,34174,67,150528,B
1,148,209.46389473392628,37918,67,150528,B
1,164,191.62654601968825,41663,67,150528,B
1,180,186.57867512083612,45408,67,150528,B
1,196,169.35456451610662,49152,67,150528,B
1,212,165.69922330090776,52897,67,150528,B
1,228,155.50115150981583,56641,67,150528,B
1,244,151.42295532859862,60386,67,150528,B
1,260,143.336463480955,64130,67,150528,B
1,276,138.6852253926918,67875,67,150528,B
1,292,131.77046420169063,71620,67,150528,B
1,308,126.43838117073756,75364,67,150528,B
1,324,129.84763230197132,79109,67,150528,B
1,340,126.45075039763469,82853,67,150528,B
1,356,118.88204014103394,86598,67,150528,B
1,372,113.8189461606089,90342,67,150528,B
2,0,0.0,150528,68,150528,B
2,4,431.8601871142164,4217,68,150528,B
2,20,416.40867604874074,7962,68,150528,B
2,36,387.045100342948,11706,68,150528,B
2,52,350.7693826337345,15451,68,150528,B
2,68,332.84769002348185,19196,68,150528,B
2,84,305.6812342023477,22940,68,150528,B
2,100,284.6747442148626,26685,68,150528,B
2,116,280.45655018649995,30429,68,150528,B
2,132,232.1699043852277,34174,68,150528,B
2,148,209.46389473392628,37918,68,150528,B
2,164,191.62654601968825,41663,68,150528,B
2,180,186.57867512083612,45408,68,150528,B
2,196,169.35456451610662,49152,68,150528,B
2,212,165.69922330090776,52897,68,150528,B
2,228,155.50115150981583,56641,68,150528,B
2,244,151.42295532859862,60386,68,150528,B
2,260,143.336463480955,64130,68,150528,B
2,276,138.6852253926918,67875,68,150528,B
2,292,131.77046420169063,71620,68,150528,B
2,308,126.43839631055016,75364,68,150528,B
2,324,129.84764744178392,79109,68,150528,B
2,340,126.45075039763469,82853,68,150528,B
2,356,118.88204014103394,86598,68,150528,B
2,372,113.8189461606089,90342,68,150528,B
3,0,0.0,150528,68,150528,B
3,4,431.8601871142164,4217,68,150528,B
3,20,416.40867604874074,7962,68,150528,B
3,36,387.045100342948,11706,68,150528,B
3,52,350.7693826337345,15451,68,150528,B
3,68,332.84769002348185,19196,68,150528,B
3,84,305.6812342023477,22940,68,150528,B
3,100,284.6747442148626,26685,68,150528,B
3,116,280.45658046612516,30429,68,150528,B
3,132,232.1699043852277,34174,68,150528,B
3,148,209.46389473392628,37918,68,150528,B
3,164,191.62654601968825,41663,68,150528,B
3,180,186.57867512083612,45408,68,150528,B
3,196,169.35456451610662,49152,68,150528,B
3,212,165.69922330090776,52897,68,150528,B
3,228,155.50115150981583,56641,68,150528,B
3,244,151.42295532859862,60386,68,150528,B
3,260,143.336463480955,64130,68,150528,B
3,276,138.6852253926918,67875,68,150528,B
3,292,131.77046420169063,71620,68,150528,B
3,308,126.43838117073756,75364,68,150528,B
3,324,129.84764744178392,79109,68,150528,B
3,340,126.45075039763469,82853,68,150528,B
3,356,118.88204014103394,86598,68,150528,B
3,372,113.8189461606089,90342,68,150528,B
4,0,0.0,150528,86,150528,P
4,4,431.8601871142164,4217,86,150528,P
4,20,416.40867604874074,7962,86,150528,P
4,36,387.045100342948,11706,86,150528,P
4,52,350.7693826337345,15451,86,150528,P
4,68,332.84772030310705,19196,86,150528,P
4,84,305.6812342023477,22940,86,150528,P
4,100,284.6747442148626,26685,86,150528,P
4,116,280.45655018649995,30429,86,150528,P
4,132,232.1699043852277,34174,86,150528,P
4,148,209.46389473392628,37918,86,150528,P
4,164,191.62654601968825,41663,86,150528,P
4,180,186.57867512083612,45408,86,150528,P
4,196,169.35456451610662,49152,86,150528,P
4,212,165.69922330090776,52897,86,150528,P
4,228,155.50115150981583,56641,86,150528,P
4,244,151.42295532859862,60386,86,150528,P
4,260,143.336463480955,64130,86,150528,P
4,276,138.6852253926918,67875,86,150528,P
4,292,131.77046420169063,71620,86,150528,P
4,308,126.43839631055016,75364,86,150528,P
4,324,129.84763230197132,79109,86,150528,P
4,340,126.45075039763469,82853,86,150528,P
4,356,118.88204014103394,86598,86,150528,P
4,372,113.8189461606089,90342,86,150528,P
5,0,0.0,150528,67,150528,B
5,4,431.8601871142164,4217,67,150528,B
5,20,416.40867604874074,7962,67,150528,B
5,36,387.045100342948,11706,67,150528,B
5,52,350.7693826337345,15451,67,150528,B
5,68,332.84769002348185,19196,67,150528,B
5,84,305.6812342023477,22940,67,150528,B
5,100,284.6747442148626,26685,67,150528,B
5,116,280.45655018649995,30429,67,150528,B
5,132,232.1699043852277,34174,67,150528,B
5,148,209.46389473392628,37918,67,150528,B
5,164,191.62654601968825,41663,67,150528,B
5,180,186.57867512083612,45408,67,150528,B
5,196,169.35456451610662,49152,67,150528,B
5,212,165.69922330090776,52897,67,150528,B
5,228,155.50115150981583,56641,67,150528,B
5,244,151.42295532859862,60386,67,150528,B
5,260,143.336463480955,64130,67,150528,B
5,276,138.6852253926918,67875,67,150528,B
5,292,131.77046420169063,71620,67,150528,B
5,308,126.43839631055016,75364,67,150528,B
