frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type
0,0,0.0,150528,13289,150528,I
0,4,405.8398453867994,3589,13289,150528,I
0,20,405.4773982730694,6783,13289,150528,I
0,36,403.9051590138115,9976,13289,150528,I
0,52,388.34875932661816,13170,13289,150528,I
0,68,398.8880673539825,16364,13289,150528,I
0,84,369.0637568710372,19558,13289,150528,I
0,100,355.872771225404,22752,13289,150528,I
0,116,394.3360404577106,25946,13289,150528,I
0,132,295.0666813063435,29140,13289,150528,I
0,148,192.57051333552224,32334,13289,150528,I
0,164,271.4048801455647,35528,13289,150528,I
0,180,231.4127320772968,38722,13289,150528,I
0,196,197.26482419064268,41916,13289,150528,I
0,212,262.4651841586456,45110,13289,150528,I
0,228,199.13969316403384,48304,13289,150528,I
0,244,160.966427042149,51497,13289,150528,I
0,260,156.1014904989861,54691,13289,150528,I
0,276,197.1920016920194,57885,13289,150528,I
0,292,181.5408721973654,61079,13289,150528,I
0,308,188.15968033159152,64273,13289,150528,I
0,324,175.650788663188,67467,13289,150528,I
0,340,153.06598835159093,70661,13289,150528,I
0,356,134.54616716480814,73855,13289,150528,I
0,372,140.2334831887856,77049,13289,150528,I
1,0,0.0,150528,69,150528,B
1,4,405.837150500156,3589,69,150528,B
1,20,405.4746125475504,6783,69,150528,B
1,36,403.9030091604218,9976,69,150528,B
1,52,388.3476389804855,13170,69,150528,B
1,68,398.8843126804568,16364,69,150528,B
1,84,369.0570953534916,19558,69,150528,B
1,100,355.8690165518783,22752,69,150528,B
1,116,394.3348292727024,25946,69,150528,B
1,132,295.05363078787923,29140,69,150528,B
1,148,192.56282231071964,32334,69,150528,B
1,164,271.3978249928914,35528,69,150528,B
1,180,231.4067972707562,38722,69,150528,B
1,196,197.260191407986,41916,69,150528,B
1,212,262.46173228137195,45110,69,150528,B
1,228,199.1370588366408,48304,69,150528,B
1,244,160.96335366019048,51497,69,150528,B
1,260,156.10173273598775,54691,69,150528,B
1,276,197.18456804403104,57885,69,150528,B
1,292,181.535043369513,61079,69,150528,B
1,308,188.16066441941075,64273,69,150528,B
1,324,175.64857825054787,67467,69,150528,B
1,340,153.06320262607187,70661,69,150528,B
1,356,134.54338143928908,73855,69,150528,B
1,372,140.228350792313,77049,69,150528,B
2,0,0.0,150528,69,150528,B
2,4,405.837150500156,3589,69,150528,B
2,20,405.4746125475504,6783,69,150528,B
2,36,403.9030091604218,9976,69,150528,B
2,52,388.3476389804855,13170,69,150528,B
2,68,398.8843126804568,16364,69,150528,B
2,84,369.0570953534916,19558,69,150528,B
2,100,355.8690165518783,22752,69,150528,B
2,116,394.3348292727024,25946,69,150528,B
2,132,295.05363078787923,29140,69,150528,B
2,148,192.56282231071964,32334,69,150528,B
2,164,271.3978249928914,35528,69,150528,B
2,180,231.4067972707562,38722,69,150528,B
2,196,197.260191407986,41916,69,150528,B
2,212,262.46173228137195,45110,69,150528,B
2,228,199.1370588366408,48304,69,150528,B
2,244,160.96335366019048,51497,69,150528,B
2,260,156.10173273598775,54691,69,150528,B
2,276,197.18456804403104,57885,69,150528,B
2,292,181.5350282297004,61079,69,150528,B
2,308,188.16066441941075,64273,69,150528,B
2,324,175.64857825054787,67467,69,150528,B
2,340,153.06320262607187,70661,69,150528,B
