frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,5,1006.4472707167972,16974,124228,150528,I,90.0
0,10,573.7146122699927,32406,124228,150528,I,90.0
0,15,398.0139504805093,47838,124228,150528,I,90.0
0,20,293.3862509780039,63270,124228,150528,I,90.0
0,25,225.57203164017804,78702,124228,150528,I,90.0
0,30,179.8265873929487,94134,124228,150528,I,90.0
0,35,146.42749062971816,109566,124228,150528,I,90.0
0,40,121.7577074213824,125000,124228,150528,I,90.0
0,45,101.89700521931049,140432,124228,150528,I,90.0
0,50,85.65718876277144,155864,124228,150528,I,90.0
0,55,72.49361719299502,171296,124228,150528,I,90.0
0,60,61.62458113021552,186728,124228,150528,I,90.0
0,65,52.631520871111945,202160,124228,150528,I,90.0
0,70,45.045899043242855,217592,124228,150528,I,90.0
0,75,38.571618847804,233024,124228,150528,I,90.0
0,80,33.04271239589739,248456,124228,150528,I,90.0
1,5,992.3677710041204,16974,124228,150528,I,90.0
1,10,566.8253602705742,32406,124228,150528,I,90.0
1,15,391.4082892713297,47838,124228,150528,I,90.0
1,20,288.2951929742404,63270,124228,150528,I,90.0
1,25,221.99081405356296,78702,124228,150528,I,90.0
1,30,176.78424252155517,94134,124228,150528,I,90.0
1,35,144.0799678643945,109566,124228,150528,I,90.0
1,40,119.0279428659915,125000,124228,150528,I,90.0
1,45,99.015385456329,140432,124228,150528,I,90.0
1,50,82.87393123265045,155864,124228,150528,I,90.0
1,55,70.00719578933692,171296,124228,150528,I,90.0
1,60,59.50242685025415,186728,124228,150528,I,90.0
1,65,50.75938113079075,202160,124228,150528,I,90.0
1,70,43.45240093995184,217592,124228,150528,I,90.0
1,75,37.24988632175034,233024,124228,150528,I,90.0
1,80,31.91980339100432,248456,124228,150528,I,90.0
2,5,975.5207340726256,16974,124228,150528,I,90.0
2,10,562.1477773447979,32406,124228,150528,I,90.0
2,15,393.2330644369969,47838,124228,150528,I,90.0
2,20,290.0644217746645,63270,124228,150528,I,90.0
2,25,222.5087465663311,78702,124228,150528,I,90.0
2,30,176.49462768939057,94134,124228,150528,I,90.0
2,35,144.3013117167593,109566,124228,150528,I,90.0
2,40,119.35359640764688,125000,124228,150528,I,90.0
2,45,99.36963718851536,140432,124228,150528,I,90.0
2,50,83.50117663118117,155864,124228,150528,I,90.0
2,55,70.40225190448274,171296,124228,150528,I,90.0
2,60,59.699489575866544,186728,124228,150528,I,90.0
2,65,50.81194724510959,202160,124228,150528,I,90.0
2,70,43.45620145607968,217592,124228,150528,I,90.0
2,75,37.16595698800169,233024,124228,150528,I,90.0
2,80,31.756125377799293,248456,124228,150528,I,90.0
3,5,960.8894786131044,16974,124228,150528,I,90.0
3,10,557.4232707255118,32406,124228,150528,I,90.0
3,15,387.1996181434252,47838,124228,150528,I,90.0
3,20,286.6886664996495,63270,124228,150528,I,90.0
3,25,222.1908757966005,78702,124228,150528,I,90.0
3,30,176.75971879730972,94134,124228,150528,I,90.0
3,35,142.9409235492331,109566,124228,150528,I,90.0
3,40,118.0454206194374,125000,124228,150528,I,90.0
3,45,98.2357586979876,140432,124228,150528,I,90.0
3,50,82.0765438250957,155864,124228,150528,I,90.0
3,55,69.00690401668278,171296,124228,150528,I,90.0
3,60,58.54487733601516,186728,124228,150528,I,90.0
3,65,49.716601897739245,202160,124228,150528,I,90.0
3,70,42.27889479122539,217592,124228,150528,I,90.0
3,75,36.22868002043803,233024,124228,150528,I,90.0
3,80,30.96172133752157,248456,124228,150528,I,90.0
4,5,953.1090779625496,16974,124228,150528,I,90.0
4,10,558.4783076109001,32406,124228,150528,I,90.0
4,15,391.6362895150587,47838,124228,150528,I,90.0
4,20,293.1806663023333,63270,124228,150528,I,90.0
4,25,227.8791657795125,78702,124228,150528,I,90.0
4,30,181.59134775019663,94134,124228,150528,I,90.0
4,35,147.69264428556468,109566,124228,150528,I,90.0
4,40,121.24391095952062,125000,124228,150528,I,90.0
4,45,100.85292534457012,140432,124228,150528,I,90.0
4,50,84.47758016472257,155864,124228,150528,I,90.0
4,55,71.20980912322115,171296,124228,150528,I,90.0
4,60,60.25945148940861,186728,124228,150528,I,90.0
4,65,51.15705724873587,202160,124228,150528,I,90.0
4,70,43.60803974265111,217592,124228,150528,I,90.0
4,75,37.25641529276887,233024,124228,150528,I,90.0
4,80,31.8323936314486,248456,124228,150528,I,90.0
5,5,936.4689399198832,16974,124228,150528,I,90.0
5,10,535.9648774298554,32406,124228,150528,I,90.0
5,15,374.6728955119179,47838,124228,150528,I,90.0
5,20,279.01661848972907,63270,124228,150528,I,90.0
5,25,215.9340351443058,78702,124228,150528,I,90.0
5,30,171.37690718761368,94134,124228,150528,I,90.0
5,35,139.07008542253115,109566,124228,150528,I,90.0
5,40,114.56864480178666,125000,124228,150528,I,90.0
5,45,95.5350103663778,140432,124228,150528,I,90.0
5,50,80.31819031128146,155864,124228,150528,I,90.0
5,55,68.03676126360655,171296,124228,150528,I,90.0
5,60,57.59461767580351,186728,124228,150528,I,90.0
5,65,48.74085300251222,202160,124228,150528,I,90.0
5,70,41.27292704026643,217592,124228,150528,I,90.0
5,75,35.05071649533803,233024,124228,150528,I,90.0
5,80,29.95135253457491,248456,124228,150528,I,90.0
6,5,921.2835204063566,16974,124228,150528,I,90.0
6,10,532.0389626754064,32406,124228,150528,I,90.0
6,15,372.6129847702709,47838,124228,150528,I,90.0
