frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,200,19.462542375043675,59778,13289,150528,I,0.9938281413697392
0,195,26.84755225044565,58291,13289,150528,I,0.9934476220087324
0,190,29.19315622441883,56804,13289,150528,I,0.9930415353466432
0,185,45.08815452755544,55317,13289,150528,I,0.9926026894140652
0,180,50.25929505547632,53830,13289,150528,I,0.9921309509096432
0,175,55.02637501333636,52343,13289,150528,I,0.9916309510370376
0,170,57.51546230071287,50856,13289,150528,I,0.9911059250408234
0,165,64.90624487280724,49368,13289,150528,I,0.9905546630370774
0,160,69.69657809761506,47881,13289,150528,I,0.989977784190792
0,155,80.84720772614288,46394,13289,150528,I,0.9893788369782748
0,150,88.97326433509811,44907,13289,150528,I,0.9887502321401024
0,145,91.35025852666772,43420,13289,150528,I,0.9880721578437448
0,140,91.96873425693506,41933,13289,150528,I,0.9873628776809787
0,135,94.073441051596,40446,13289,150528,I,0.986613680253654
0,130,95.05128736005928,38958,13289,150528,I,0.9858176327547954
0,125,95.26339808667927,37471,13289,150528,I,0.9849762865033432
0,120,95.41402143162163,35984,13289,150528,I,0.9840924220174776
0,115,97.08410240192369,34497,13289,150528,I,0.9831537557590904
0,110,97.97084573012177,33010,13289,150528,I,0.9821712056914328
0,105,98.610574415705,31523,13289,150528,I,0.9811104596589496
0,100,99.81763301146948,30036,13289,150528,I,0.979971976161266
0,95,102.93994755803608,28548,13289,150528,I,0.9787555464464184
0,90,103.62653193575962,27061,13289,150528,I,0.9774397500420692
0,85,112.77565775042432,25574,13289,150528,I,0.9760230713806196
0,80,115.2558970456004,24087,13289,150528,I,0.9745097229276242
0,75,116.80059681738014,22600,13289,150528,I,0.9728835927777671
0,70,135.40310356615396,21113,13289,150528,I,0.9711158861372976
0,65,153.81453206210148,19626,13289,150528,I,0.9691184099932738
0,60,187.8117705809544,18139,13289,150528,I,0.966906671756507
0,55,202.52296243925932,16651,13289,150528,I,0.9644217199557188
0,50,205.024331743925,15164,13289,150528,I,0.9615986158575528
0,45,213.4658501504782,13677,13289,150528,I,0.9584367530226524
0,40,224.99645949288737,12190,13289,150528,I,0.9548109439773508
0,35,230.75541402213145,10703,13289,150528,I,0.950617264140918
0,30,280.0828806476065,9216,13289,150528,I,0.9455229585196504
0,25,388.8700222614254,7729,13289,150528,I,0.9390004308740472
0,20,442.5709119887597,6241,13289,150528,I,0.930584443212602
0,15,520.1408435875225,4754,13289,150528,I,0.9182021811390236
0,10,635.7795525971204,3267,13289,150528,I,0.8976222520797585
0,5,694.4385684695918,1780,13289,150528,I,0.8527519448835841
0,0,0.0,150528,13289,150528,I,
1,200,19.461209282628083,59778,69,150528,B,0.9938281413697392
1,195,26.84522330870196,58291,69,150528,B,0.9934476220087324
1,190,29.19106862386348,56804,69,150528,B,0.9930415353466432
1,185,45.08639572641005,55317,69,150528,B,0.9926026894140652
1,180,50.25662250213103,53830,69,150528,B,0.9921309509096432
1,175,55.02414012293468,52343,69,150528,B,0.9916309510370376
1,170,57.51289400682409,50856,69,150528,B,0.9911059250408234
1,165,64.90388694575486,49368,69,150528,B,0.9905546630370774
1,160,69.69565313321687,47881,69,150528,B,0.989977784190792
1,155,80.84585636396206,46394,69,150528,B,0.9893788369782748
1,150,88.97080059679031,44907,69,150528,B,0.9887502321401024
1,145,91.34762298805144,43420,69,150528,B,0.9880721578437448
1,140,91.96611047062515,41933,69,150528,B,0.9873628776809787
1,135,94.07078985662211,40446,69,150528,B,0.986613680253654
1,130,95.0485542596847,38958,69,150528,B,0.9858176327547954
1,125,95.2607010367344,37471,69,150528,B,0.9849762865033432
1,120,95.41113659602652,35984,69,150528,B,0.9840924220174776
1,115,97.0812280539554,34497,69,150528,B,0.9831537557590904
1,110,97.9685090419461,33010,69,150528,B,0.9821712056914328
1,105,98.60826545848305,31523,69,150528,B,0.9811104596589496
1,100,99.81517486332208,30036,69,150528,B,0.979971976161266
1,95,102.93709649727424,28548,69,150528,B,0.9787555464464184
1,90,103.6233838081337,27061,69,150528,B,0.9774397500420692
1,85,112.77151240322448,25574,69,150528,B,0.9760230713806196
1,80,115.2519123618434,24087,69,150528,B,0.9745097229276242
1,75,116.79647159220887,22600,69,150528,B,0.9728835927777671
1,70,135.39894653056825,21113,69,150528,B,0.9711158861372976
1,65,153.80927310981738,19626,69,150528,B,0.9691184099932738
1,60,187.8064649692193,18139,69,150528,B,0.966906671756507
1,55,202.51888322050849,16651,69,150528,B,0.9644217199557188
1,50,205.019915333037,15164,69,150528,B,0.9615986158575528
1,45,213.46124655287244,13677,69,150528,B,0.9584367530226524
1,40,224.99215233867469,12190,69,150528,B,0.9548109439773508
1,35,230.75143202009,10703,69,150528,B,0.950617264140918
1,30,280.0780626774064,9216,69,150528,B,0.9455229585196504
1,25,388.8656874658989,7729,69,150528,B,0.9390004308740472
1,20,442.5668434532228,6241,69,150528,B,0.930584443212602
1,15,520.1375982901162,4754,69,150528,B,0.9182021811390236
1,10,635.7754491389217,3267,69,150528,B,0.8976222520797585
1,5,694.4350433926838,1780,69,150528,B,0.8527519448835841
1,0,0.0,150528,69,150528,B,
2,200,19.461209282628083,59778,69,150528,B,0.9938281413697392
2,195,26.84522330870196,58291,69,150528,B,0.9934476220087324
