user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,651.493,0.5,2.32843,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,768.898,0.351,9.03528,1000,498,147,502,0.498,0.502,502,0,summary
2,billiardstest,model,adaptive,741.492,0.366,5.91367,1000,497,131,503,0.497,0.503,503,0,summary
3,billiardstest,model,adaptive,672.536,0.461,4.85801,1000,498,37,502,0.498,0.502,502,0,summary
4,billiardstest,model,adaptive,750.301,0.37,4.08132,1000,500,130,500,0.5,0.5,500,0,summary
5,billiardstest,model,adaptive,758.606,0.351,5.82771,1000,481,130,519,0.481,0.519,519,0,summary
0,billiardstest,static,5,891.19,0.5,2.25517,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,915.506,0.404,2.94128,1000,500,96,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,913.462,0.418,2.85939,1000,500,82,500,0.5,0.5,500,0,summary
3,billiardstest,static,5,894.285,0.489,2.32097,1000,500,11,500,0.5,0.5,500,0,summary
4,billiardstest,static,5,906.447,0.435,2.69232,1000,500,65,500,0.5,0.5,500,0,summary
5,billiardstest,static,5,908.119,0.427,2.75949,1000,500,73,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,750.325,0.5,2.26923,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,813.644,0.382,3.14928,1000,500,118,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,798.72,0.411,2.92139,1000,500,89,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,764.629,0.473,2.44997,1000,500,27,500,0.5,0.5,500,0,summary
4,billiardstest,static,10,796.203,0.412,2.91932,1000,500,88,500,0.5,0.5,500,0,summary
5,billiardstest,static,10,803.605,0.401,2.93049,1000,500,99,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,684.155,0.5,2.27745,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,772.032,0.367,3.20628,1000,500,133,500,0.5,0.5,500,0,summary
2,billiardstest,static,15,773.479,0.368,3.75628,1000,499,131,501,0.499,0.501,501,0,summary
3,billiardstest,static,15,699.979,0.476,2.40797,1000,500,24,500,0.5,0.5,500,0,summary
4,billiardstest,static,15,760.476,0.385,3.15332,1000,500,115,500,0.5,0.5,500,0,summary
5,billiardstest,static,15,769.286,0.369,12.737,1000,495,126,505,0.495,0.505,505,0,summary
0,billiardstest,static,20,644.082,0.5,2.27544,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,757.565,0.348,3.42828,1000,500,152,500,0.5,0.5,500,0,summary
2,billiardstest,static,20,760.175,0.345,3.53439,1000,500,155,500,0.5,0.5,500,0,summary
3,billiardstest,static,20,672.635,0.462,2.55797,1000,500,38,500,0.5,0.5,500,0,summary
4,billiardstest,static,20,727.259,0.388,3.05732,1000,500,112,500,0.5,0.5,500,0,summary
5,billiardstest,static,20,723.614,0.394,5.77268,1000,495,101,505,0.495,0.505,505,0,summary
0,billiardstest,static,25,616.448,0.5,2.29649,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,730.928,0.357,4.46673,1000,499,142,501,0.499,0.501,501,0,summary
2,billiardstest,static,25,746.473,0.339,4.17334,1000,498,159,502,0.498,0.502,502,0,summary
3,billiardstest,static,25,642.885,0.467,2.53897,1000,500,33,500,0.5,0.5,500,0,summary
4,billiardstest,static,25,723.224,0.366,4.42326,1000,498,132,502,0.498,0.502,502,0,summary
5,billiardstest,static,25,711.896,0.38,3.97123,1000,497,117,503,0.497,0.503,503,0,summary
0,billiardstest,static,30,596.182,0.5,2.3077,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,30,733.569,0.336,5.22898,1000,498,162,502,0.498,0.502,502,0,summary
2,billiardstest,static,30,702.577,0.374,3.34239,1000,500,126,500,0.5,0.5,500,0,summary
3,billiardstest,static,30,619.43,0.472,2.52297,1000,500,28,500,0.5,0.5,500,0,summary
4,billiardstest,static,30,759.66,0.306,7.16883,1000,493,187,507,0.493,0.507,507,0,summary
5,billiardstest,static,30,739.704,0.329,5.61839,1000,481,152,519,0.481,0.519,519,0,summary
0,billiardstest,static,35,580.8,0.5,2.31755,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,35,722.201,0.338,5.74724,1000,498,160,502,0.498,0.502,502,0,summary
2,billiardstest,static,35,707.503,0.354,4.46938,1000,496,142,504,0.496,0.504,504,0,summary
3,billiardstest,static,35,635.921,0.437,2.81297,1000,500,63,500,0.5,0.5,500,0,summary
4,billiardstest,static,35,764.094,0.289,9.97587,1000,490,201,510,0.49,0.51,510,0,summary
5,billiardstest,static,35,757.089,0.297,8.14983,1000,484,187,516,0.484,0.516,516,0,summary
0,billiardstest,static,40,569.696,0.499,2.33632,1000,500,1,500,0.5,0.5,500,0,summary
1,billiardstest,static,40,727.67,0.322,6.64185,1000,498,176,502,0.498,0.502,502,0,summary
2,billiardstest,static,40,764.925,0.281,7.76288,1000,481,200,519,0.481,0.519,519,0,summary
3,billiardstest,static,40,605.495,0.459,2.69597,1000,500,41,500,0.5,0.5,500,0,summary
4,billiardstest,static,40,760.618,0.286,10.9649,1000,488,202,512,0.488,0.512,512,0,summary
5,billiardstest,static,40,725.329,0.325,6.98825,1000,485,160,515,0.485,0.515,515,0,summary
0,billiardstest,static,45,559.25,0.5,2.36755,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,45,748.787,0.293,8.46829,1000,494,201,506,0.494,0.506,506,0,summary
2,billiardstest,static,45,811.833,0.225,7.65399,1000,483,258,517,0.483,0.517,517,0,summary
3,billiardstest,static,45,583.909,0.473,2.59097,1000,500,27,500,0.5,0.5,500,0,summary
4,billiardstest,static,45,782.209,0.256,9.39805,1000,488,232,512,0.488,0.512,512,0,summary
5,billiardstest,static,45,764.647,0.276,13.6422,1000,477,201,523,0.477,0.523,523,0,summary
0,billiardstest,static,50,551.503,0.5,2.35395,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,50,720.735,0.318,10.308,1000,494,176,506,0.494,0.506,506,0,summary
2,billiardstest,static,50,731.208,0.307,5.75632,1000,482,175,518,0.482,0.518,518,0,summary
3,billiardstest,static,50,625.824,0.42,5.86568,1000,494,74,506,0.494,0.506,506,0,summary
4,billiardstest,static,50,812.714,0.219,12.6811,1000,483,264,517,0.483,0.517,517,0,summary
5,billiardstest,static,50,806.121,0.226,20.3465,1000,459,233,541,0.459,0.541,541,0,summary
0,billiardstest,static,55,545.149,0.5,2.80569,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,55,773.108,0.258,11.9884,1000,492,234,508,0.492,0.508,508,0,summary
2,billiardstest,static,55,809.218,0.22,8.46632,1000,469,249,531,0.469,0.531,531,0,summary
3,billiardstest,static,55,599.969,0.442,4.37076,1000,497,55,503,0.497,0.503,503,0,summary
4,billiardstest,static,55,782.722,0.248,11.9963,1000,484,236,516,0.484,0.516,516,0,summary
5,billiardstest,static,55,821.453,0.207,19.3083,1000,434,227,566,0.434,0.566,566,0,summary
0,billiardstest,static,60,539.873,0.5,2.81461,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,60,754.5,0.275,11.8685,1000,491,216,509,0.491,0.509,509,0,summary
2,billiardstest,static,60,798.66,0.229,8.1265,1000,405,176,595,0.405,0.595,595,0,summary
3,billiardstest,static,60,647.604,0.387,5.5973,1000,494,107,506,0.494,0.506,506,0,summary
4,billiardstest,static,60,807.588,0.219,10.6567,1000,487,268,513,0.487,0.513,513,0,summary
5,billiardstest,static,60,789.374,0.238,9.34712,1000,466,228,534,0.466,0.534,534,0,summary
0,billiardstest,static,65,535.445,0.5,2.84231,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,65,728.973,0.299,8.43546,1000,495,196,505,0.495,0.505,505,0,summary
2,billiardstest,static,65,788.781,0.237,6.61215,1000,481,244,519,0.481,0.519,519,0,summary
3,billiardstest,static,65,614.205,0.418,4.73007,1000,496,78,504,0.496,0.504,504,0,summary
4,billiardstest,static,65,858.946,0.164,15.1321,1000,453,289,547,0.453,0.547,547,0,summary
5,billiardstest,static,65,778.747,0.247,17.9949,1000,452,205,548,0.452,0.548,548,0,summary
0,billiardstest,static,70,532.688,0.499,2.8696,1000,500,1,500,0.5,0.5,500,0,summary
1,billiardstest,static,70,750.801,0.274,8.79938,1000,491,217,509,0.491,0.509,509,0,summary
2,billiardstest,static,70,801.836,0.222,6.53322,1000,471,249,529,0.471,0.529,529,0,summary
3,billiardstest,static,70,641.277,0.387,5.85229,1000,492,105,508,0.492,0.508,508,0,summary
4,billiardstest,static,70,851.87,0.17,13.3029,1000,446,276,554,0.446,0.554,554,0,summary
5,billiardstest,static,70,794.307,0.229,7.98074,1000,474,245,526,0.474,0.526,526,0,summary
0,billiardstest,static,75,528.517,0.5,2.90249,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,75,764.658,0.258,10.8517,1000,492,234,508,0.492,0.508,508,0,summary
2,billiardstest,static,75,730.715,0.293,5.79406,1000,486,193,514,0.486,0.514,514,0,summary
3,billiardstest,static,75,655.739,0.37,7.07258,1000,488,118,512,0.488,0.512,512,0,summary
4,billiardstest,static,75,809.579,0.212,9.36748,1000,476,264,524,0.476,0.524,524,0,summary
5,billiardstest,static,75,779.308,0.243,8.30116,1000,468,225,532,0.468,0.532,532,0,summary
0,billiardstest,static,80,525.787,0.5,2.91243,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,80,747.627,0.274,10.2163,1000,491,217,509,0.491,0.509,501,8,summary
2,billiardstest,static,80,873.549,0.146,16.6658,1000,426,280,574,0.426,0.574,545,29,summary
3,billiardstest,static,80,609.433,0.415,4.6434,1000,496,81,504,0.496,0.504,501,3,summary
4,billiardstest,static,80,856.463,0.163,11.6751,1000,474,311,526,0.474,0.526,512,14,summary
5,billiardstest,static,80,850.81,0.169,11.0425,1000,448,279,552,0.448,0.552,518,34,summary
