user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,646.673,0.492,2.32451,1000,500,8,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,753.711,0.351,6.83919,1000,499,148,501,0.499,0.501,501,0,summary
2,billiardstest,model,adaptive,755.727,0.349,3.82403,1000,491,142,509,0.491,0.509,509,0,summary
3,billiardstest,model,adaptive,665.061,0.467,2.49197,1000,500,33,500,0.5,0.5,500,0,summary
4,billiardstest,model,adaptive,700.191,0.422,2.85732,1000,500,78,500,0.5,0.5,500,0,summary
0,billiardstest,static,5,891.983,0.498,2.27207,1000,500,2,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,917.04,0.402,2.93528,1000,500,98,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,924.862,0.392,7.20751,1000,490,98,510,0.49,0.51,510,0,summary
3,billiardstest,static,5,899.231,0.474,2.42297,1000,500,26,500,0.5,0.5,500,0,summary
4,billiardstest,static,5,909.122,0.426,2.80032,1000,500,74,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,750.903,0.499,2.26378,1000,500,1,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,840.632,0.333,11.2018,1000,494,161,506,0.494,0.506,506,0,summary
2,billiardstest,static,10,806.995,0.398,3.00839,1000,500,102,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,767.105,0.469,2.45597,1000,500,31,500,0.5,0.5,500,0,summary
4,billiardstest,static,10,791.936,0.422,2.83532,1000,500,78,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,686.076,0.497,2.28722,1000,500,3,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,775.252,0.362,3.24028,1000,500,138,500,0.5,0.5,500,0,summary
2,billiardstest,static,15,760.667,0.389,4.80514,1000,492,103,508,0.492,0.508,508,0,summary
3,billiardstest,static,15,718.408,0.449,2.62297,1000,500,51,500,0.5,0.5,500,0,summary
4,billiardstest,static,15,764.434,0.379,3.84641,1000,499,120,501,0.499,0.501,501,0,summary
0,billiardstest,static,20,650.813,0.491,2.35373,1000,500,9,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,752.113,0.355,3.38828,1000,500,145,500,0.5,0.5,500,0,summary
2,billiardstest,static,20,744.278,0.366,7.3555,1000,490,124,510,0.49,0.51,510,0,summary
3,billiardstest,static,20,668.487,0.467,2.48597,1000,500,33,500,0.5,0.5,500,0,summary
4,billiardstest,static,20,765.119,0.337,3.52832,1000,500,163,500,0.5,0.5,500,0,summary
0,billiardstest,static,25,622.927,0.492,2.35108,1000,500,8,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,792.766,0.28,17.4233,1000,485,205,515,0.485,0.515,515,0,summary
2,billiardstest,static,25,730.013,0.358,3.62228,1000,498,140,502,0.498,0.502,502,0,summary
3,billiardstest,static,25,632.144,0.48,2.42197,1000,500,20,500,0.5,0.5,500,0,summary
4,billiardstest,static,25,730.128,0.357,4.02328,1000,499,142,501,0.499,0.501,501,0,summary
0,billiardstest,static,30,599.623,0.496,2.33422,1000,500,4,500,0.5,0.5,500,0,summary
1,billiardstest,static,30,763.185,0.303,8.44012,1000,490,187,510,0.49,0.51,510,0,summary
2,billiardstest,static,30,707.21,0.368,3.9645,1000,498,130,502,0.498,0.502,502,0,summary
3,billiardstest,static,30,641.209,0.446,2.74497,1000,500,54,500,0.5,0.5,500,0,summary
4,billiardstest,static,30,700.707,0.375,4.06636,1000,498,123,502,0.498,0.502,502,0,summary
0,billiardstest,static,35,584.354,0.496,2.34576,1000,500,4,500,0.5,0.5,500,0,summary
1,billiardstest,static,35,749.199,0.307,9.38058,1000,495,188,505,0.495,0.505,505,0,summary
2,billiardstest,static,35,736.945,0.321,4.91328,1000,496,175,504,0.496,0.504,504,0,summary
3,billiardstest,static,35,624.136,0.45,2.66197,1000,500,50,500,0.5,0.5,500,0,summary
4,billiardstest,static,35,740.472,0.318,7.97011,1000,493,175,507,0.493,0.507,507,0,summary
0,billiardstest,static,40,576.936,0.491,2.39126,1000,500,9,500,0.5,0.5,500,0,summary
1,billiardstest,static,40,800.563,0.242,11.2214,1000,489,247,511,0.489,0.511,511,0,summary
2,billiardstest,static,40,718.446,0.332,5.4077,1000,494,162,506,0.494,0.506,506,0,summary
3,billiardstest,static,40,604.567,0.46,2.64197,1000,500,40,500,0.5,0.5,500,0,summary
4,billiardstest,static,40,763.534,0.283,9.05611,1000,491,208,509,0.491,0.509,509,0,summary
