frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,122.994,70652,0.015776430,0.018500000,2.723570,1,122.994389,5.000000,14,0,18,0.003,1
2,40,148.675,62888,0.029137628,0.032000000,2.862372,1,148.675290,5.000000,14,0,18,1.000,6
3,40,150.036,62888,0.042456584,0.045000000,2.543416,1,150.036343,5.000000,14,0,18,0.934,4
4,35,177.421,55124,0.059912277,0.063000000,3.087723,1,177.420670,5.000000,14,0,18,0.780,5
5,35,177.493,55124,0.073681594,0.076500000,2.818406,1,177.492856,5.000000,14,0,18,0.021,4
6,35,173.037,55124,0.087953604,0.091000000,3.046396,1,173.036658,5.000000,14,0,18,0.901,6
7,35,173.507,55124,0.104124817,0.111500000,7.375183,0,1016.684637,5.000000,14,0,18,0.999,8
8,35,169.543,55124,0.122033781,0.127500000,5.466219,0,1016.684637,5.000000,14,0,18,0.985,5
9,30,210.806,47360,0.137006278,0.140500000,3.493722,1,210.806029,5.000000,14,0,18,0.985,6
10,35,173.690,55124,0.150710170,0.154000000,3.289830,1,173.690157,5.000000,14,0,18,0.875,5
11,35,178.721,55124,0.164612425,0.167500000,2.887575,1,178.721295,5.000000,14,0,18,0.003,5
12,35,175.360,55124,0.178256874,0.182500000,4.243126,1,175.360471,5.000000,14,0,18,0.993,6
13,35,177.343,55124,0.191092027,0.196500000,5.407973,0,1016.684637,5.000000,14,0,18,0.996,5
14,35,172.896,55124,0.206100493,0.213500000,7.399507,0,1016.684637,5.000000,14,0,18,0.875,8
15,35,175.206,55124,0.221407554,0.224000000,2.592446,1,175.205600,5.000000,14,0,18,0.956,6
16,35,173.216,55124,0.234318042,0.237500000,3.181958,1,173.216341,5.000000,14,0,18,0.824,6
17,35,175.135,55124,0.247427994,0.250500000,3.072006,1,175.135331,5.000000,14,0,18,0.822,4
18,35,170.552,55124,0.260759088,0.264500000,3.740912,1,170.552319,5.000000,14,0,18,0.996,6
19,35,168.304,55124,0.273656106,0.278000000,4.343894,1,168.303936,5.000000,14,0,18,0.923,6
20,35,163.484,55124,0.287009272,0.292500000,5.490728,0,1016.684637,5.000000,14,0,18,0.996,7
21,35,161.099,55124,0.299840547,0.303000000,3.159453,1,161.098947,5.000000,14,0,18,1.003,6
22,35,164.397,55124,0.313091546,0.316000000,2.908454,1,164.396789,5.000000,14,0,18,0.985,7
23,35,172.088,55124,0.328402853,0.331500000,3.097147,1,172.087816,5.000000,14,0,18,0.963,7
24,35,170.267,55124,0.341616378,0.345000000,3.383622,1,170.266717,5.000000,14,0,18,0.952,5
25,35,170.079,55124,0.355835205,0.358500000,2.664795,1,170.078738,5.000000,14,0,18,0.692,6
26,35,173.301,55124,0.370916561,0.374000000,3.083439,1,173.301413,5.000000,14,0,18,1.004,6
