frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,10,573.715,16304,0.012733677,0.015000000,2.266323,1,573.714612,4.000000,14
2,15,391.408289,24067,0.020462400,0.022500000,2.037600,1,391.408289,4.000000,14
3,10,562.147777,16304,0.028416417,0.030500000,2.083583,1,562.147777,4.000000,14
4,40,118.045421,62888,0.037079238,0.040500000,3.420762,1,118.045421,4.000000,14
5,10,558.478308,16304,0.045668446,0.049500000,3.831554,1,558.478308,4.000000,14
6,10,535.964877,16304,0.053819877,0.056000000,2.180123,1,535.964877,4.000000,14
7,20,276.578144,31832,0.061518727,0.064000000,2.481273,1,276.578144,4.000000,14
8,15,369.309914,24067,0.069854224,0.072000000,2.145776,1,369.309914,4.000000,14
9,10,541.470070,16304,0.079844366,0.082000000,2.155634,1,541.470070,4.000000,14
10,20,267.007254,31832,0.087723693,0.091000000,3.276307,1,267.007254,4.000000,14
11,15,361.437299,24067,0.097625131,0.100000000,2.374869,1,361.437299,4.000000,14
12,10,524.444016,16304,0.104756396,0.111000000,6.243604,0,1050.257266,4.000000,14
13,15,368.501446,24067,0.113959794,0.116000000,2.040206,1,368.501446,4.000000,14
14,40,106.815978,62888,0.121197642,0.124000000,2.802358,1,106.815978,4.000000,14
15,10,535.507583,16304,0.128699897,0.131000000,2.300103,1,535.507583,4.000000,14
16,20,273.166632,31832,0.138454264,0.140500000,2.045736,1,273.166632,4.000000,14
17,5,916.206375,8540,0.145837977,0.148500000,2.662023,1,916.206375,4.000000,14
18,15,382.881216,24067,0.153849405,0.157000000,3.150595,1,382.881216,4.000000,14
19,15,397.738190,24067,0.162828902,0.166500000,3.671098,1,397.738190,4.000000,14
20,10,567.664070,16304,0.171163543,0.173500000,2.336457,1,567.664070,4.000000,14
21,20,297.695533,31832,0.179035922,0.181500000,2.464078,1,297.695533,4.000000,14
22,40,119.125414,62888,0.187471112,0.191500000,4.028888,0,1050.257266,4.000000,14
23,10,559.758628,16304,0.196390982,0.198500000,2.109018,1,559.758628,4.000000,14
24,20,295.644313,31832,0.206395560,0.212000000,5.604440,0,1050.257266,4.000000,14
25,10,577.694625,16304,0.214785716,0.217500000,2.714284,1,577.694625,4.000000,14
26,20,294.375781,31832,0.222366387,0.224500000,2.133613,1,294.375781,4.000000,14
27,40,121.913408,62888,0.229724242,0.232500000,2.775758,1,121.913408,4.000000,14
28,40,122.012282,62888,0.237229392,0.240000000,2.770608,1,122.012282,4.000000,14
29,10,595.478294,16304,0.246548570,0.249000000,2.451430,1,595.478294,4.000000,14
30,10,583.213355,16304,0.254409783,0.256500000,2.090217,1,583.213355,4.000000,14
31,45,106.375840,70652,0.264368518,0.269000000,4.631482,0,1050.257266,4.000000,14
32,20,311.525665,31832,0.274025635,0.277000000,2.974365,1,311.525665,4.000000,14
33,15,417.925738,24067,0.281507927,0.284000000,2.492073,1,417.925738,4.000000,14
34,10,584.129738,16304,0.288940233,0.291000000,2.059767,1,584.129738,4.000000,14
35,40,127.889025,62888,0.298015180,0.301000000,2.984820,1,127.889025,4.000000,14
36,5,909.479360,8540,0.306753648,0.312000000,5.246352,0,1050.257266,4.000000,14
37,5,937.797212,8540,0.315894776,0.318000000,2.105224,1,937.797212,4.000000,14
38,20,306.800307,31832,0.323677659,0.326000000,2.322341,1,306.800307,4.000000,14
39,20,308.811866,31832,0.331551550,0.334000000,2.448450,1,308.811866,4.000000,14
40,20,297.522992,31832,0.340430833,0.343000000,2.569167,1,297.522992,4.000000,14
41,20,301.651868,31832,0.349414358,0.352000000,2.585642,1,301.651868,4.000000,14
42,10,555.010162,16304,0.356546966,0.359000000,2.453034,1,555.010162,4.000000,14
43,15,388.704824,24067,0.367522887,0.370000000,2.477113,1,388.704824,4.000000,14
44,10,539.408506,16304,0.375704403,0.378500000,2.795597,1,539.408506,4.000000,14
45,20,296.141609,31832,0.387612847,0.390000000,2.387153,1,296.141609,4.000000,14
46,10,516.783915,16304,0.394736341,0.397000000,2.263659,1,516.783915,4.000000,14
47,5,872.433036,8540,0.404466717,0.409500000,5.033283,0,1050.257266,4.000000,14
48,15,378.688566,24067,0.412337982,0.414500000,2.162018,1,378.688566,4.000000,14
49,20,294.481130,31832,0.420845594,0.423000000,2.154406,1,294.481130,4.000000,14
50,10,553.235751,16304,0.429426237,0.432000000,2.573763,1,553.235751,4.000000,14
51,10,561.961901,16304,0.437462075,0.439500000,2.037925,1,561.961901,4.000000,14
52,10,568.228286,16304,0.446294761,0.450000000,3.705239,1,568.228286,4.000000,14
53,10,565.043945,16304,0.455154908,0.457500000,2.345092,1,565.043945,4.000000,14
54,10,559.271925,16304,0.464437209,0.466500000,2.062791,1,559.271925,4.000000,14
55,20,296.647966,31832,0.472885568,0.476000000,3.114432,1,296.647966,4.000000,14
56,20,296.738187,31832,0.483093007,0.486500000,3.406993,1,296.738187,4.000000,14
57,10,562.820675,16304,0.490976292,0.493500000,2.523708,1,562.820675,4.000000,14
58,10,570.738543,16304,0.500915696,0.506000000,5.084304,0,1050.257266,4.000000,14
59,10,572.672188,16304,0.509346757,0.514500000,5.153243,0,1050.257266,4.000000,14
60,10,560.519987,16304,0.519039526,0.522000000,2.960474,1,560.519987,4.000000,14
61,10,568.590792,16304,0.527389327,0.529500000,2.110673,1,568.590792,4.000000,14
62,20,309.422379,31832,0.535954354,0.538500000,2.545646,1,309.422379,4.000000,14
63,10,554.492921,16304,0.544414694,0.546500000,2.085306,1,554.492921,4.000000,14
64,10,528.254824,16304,0.552070961,0.556000000,3.929039,1,528.254824,4.000000,14
65,10,527.207488,16304,0.561807019,0.564500000,2.692981,1,527.207488,4.000000,14
66,10,512.407278,16304,0.571087278,0.573500000,2.412722,1,512.407278,4.000000,14
67,10,513.590111,16304,0.581231112,0.583500000,2.268888,1,513.590111,4.000000,14
68,5,817.533909,8540,0.588511325,0.591000000,2.488675,1,817.533909,4.000000,14
69,5,814.784789,8540,0.598979840,0.601000000,2.020160,1,814.784789,4.000000,14
70,10,493.195604,16304,0.608904279,0.614500000,5.595721,0,1050.257266,4.000000,14
71,15,363.899589,24067,0.618328544,0.621000000,2.671456,1,363.899589,4.000000,14
72,10,505.815386,16304,0.625877080,0.628000000,2.122920,1,505.815386,4.000000,14
73,20,267.569209,31832,0.635725194,0.638500000,2.774806,1,267.569209,4.000000,14
74,10,496.203361,16304,0.643698734,0.646500000,2.801266,1,496.203361,4.000000,14
75,20,271.882929,31832,0.651183869,0.653500000,2.316131,1,271.882929,4.000000,14
76,20,271.359974,31832,0.659716587,0.662500000,2.783413,1,271.359974,4.000000,14
77,10,500.479870,16304,0.667353684,0.669500000,2.146316,1,500.479870,4.000000,14
78,10,488.524741,16304,0.676851977,0.679500000,2.648023,1,488.524741,4.000000,14
79,20,274.472791,31832,0.684667404,0.687500000,2.832596,1,274.472791,4.000000,14
80,10,505.575095,16304,0.692496537,0.695000000,2.503463,1,505.575095,4.000000,14
81,5,821.114033,8540,0.700101542,0.702500000,2.398458,1,821.114033,4.000000,14
82,40,117.192052,62888,0.708048352,0.716000000,7.951648,0,1050.257266,4.000000,14
83,20,278.029645,31832,0.716143027,0.719000000,2.856973,1,278.029645,4.000000,14
84,10,516.613432,16304,0.724699120,0.727000000,2.300880,1,516.613432,4.000000,14
85,10,522.640830,16304,0.733785980,0.737000000,3.214020,1,522.640830,4.000000,14
86,15,359.778376,24067,0.744608341,0.747000000,2.391659,1,359.778376,4.000000,14
87,10,506.761369,16304,0.752347998,0.754500000,2.152002,1,506.761369,4.000000,14
88,10,526.011767,16304,0.761740463,0.764000000,2.259537,1,526.011767,4.000000,14
89,20,282.179937,31832,0.770873309,0.773000000,2.126691,1,282.179937,4.000000,14
90,10,548.920572,16304,0.779601298,0.782000000,2.398702,1,548.920572,4.000000,14
91,5,896.403959,8540,0.788538645,0.791000000,2.461355,1,896.403959,4.000000,14
92,15,374.204505,24067,0.798751208,0.801500000,2.748792,1,374.204505,4.000000,14
93,10,541.190965,16304,0.807522212,0.814500000,6.977788,0,1050.257266,4.000000,14
94,65,52.451118,101708,0.814796179,0.820500000,5.703821,0,1050.257266,4.000000,14
