frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,30,217.017,23680,0.025801051,0.028000000,2.198949,1,217.016599,5.000000,15,0,18,0.604,2
2,30,219.142,23680,0.035769557,0.038000000,2.230443,1,219.142012,5.000000,15,0,18,0.001,2
3,30,220.701,23680,0.046197888,0.048500000,2.302112,1,220.700784,5.000000,15,0,18,0.000,1
4,30,215.393,23680,0.056727412,0.059000000,2.272588,1,215.392593,5.000000,15,0,18,0.003,2
5,30,215.623,23680,0.069527133,0.072000000,2.472867,1,215.622607,5.000000,15,0,18,0.001,2
6,30,210.960,23680,0.079641589,0.082000000,2.358411,1,210.959836,5.000000,15,0,18,0.000,1
7,30,211.224,23680,0.094088577,0.096500000,2.411423,1,211.224439,5.000000,15,0,18,0.002,2
8,30,206.776,23680,0.104907055,0.107500000,2.592945,1,206.776247,5.000000,15,0,18,0.001,4
9,30,210.806,23680,0.115426734,0.117500000,2.073266,1,210.806029,5.000000,15,0,18,0.824,2
10,30,210.414,23680,0.127708473,0.130000000,2.291527,1,210.413990,5.000000,15,0,18,0.711,4
11,30,217.204,23680,0.139529716,0.142000000,2.470284,1,217.204258,5.000000,15,0,18,0.000,1
12,30,214.980,23680,0.150366632,0.152500000,2.133368,1,214.979912,5.000000,15,0,18,0.945,3
13,30,215.368,23680,0.162344573,0.164500000,2.155427,1,215.368149,5.000000,15,0,18,1.002,5
14,30,209.814,23680,0.172785411,0.175000000,2.214589,1,209.813551,5.000000,15,0,18,0.000,1
15,30,212.960,23680,0.183309487,0.185500000,2.190513,1,212.960015,5.000000,15,0,18,0.003,3
16,30,211.042,23680,0.193340050,0.195500000,2.159950,1,211.042464,5.000000,15,0,18,0.002,3
17,30,214.080,23680,0.203841533,0.206000000,2.158467,1,214.079917,5.000000,15,0,18,0.001,3
18,30,208.316,23680,0.219301958,0.221500000,2.198042,1,208.316401,5.000000,15,0,18,0.000,3
19,30,205.669,23680,0.231111607,0.233500000,2.388393,1,205.669197,5.000000,15,0,18,0.641,5
20,30,200.372,23680,0.242419842,0.244500000,2.080158,1,200.371693,5.000000,15,0,18,0.718,5
21,30,197.211,23680,0.252325819,0.254500000,2.174181,1,197.211213,5.000000,15,0,18,0.002,4
22,30,201.312,23680,0.262457105,0.264500000,2.042895,1,201.311518,5.000000,15,0,18,0.002,3
23,30,209.725,23680,0.272483546,0.275000000,2.516454,1,209.724955,5.000000,15,0,18,0.003,3
24,30,205.820,23680,0.283059586,0.285500000,2.440414,1,205.819755,5.000000,15,0,18,0.742,3
25,30,206.785,23680,0.294348959,0.297000000,2.651041,1,206.784612,5.000000,15,0,18,0.001,3
26,30,210.804,23680,0.307839696,0.310000000,2.160304,1,210.803850,5.000000,15,0,18,0.789,4
27,30,215.250,23680,0.320308979,0.322500000,2.191021,1,215.249954,5.000000,15,0,18,0.002,3
28,30,217.331,23680,0.331772456,0.334000000,2.227544,1,217.330706,5.000000,15,0,18,0.000,2
29,30,219.912,23680,0.343555604,0.346000000,2.444396,1,219.911956,5.000000,15,0,18,0.604,4
30,30,219.885,23680,0.353708576,0.356000000,2.291424,1,219.884952,5.000000,15,0,18,0.607,3
31,30,221.862,23680,0.363737037,0.366000000,2.262963,1,221.861558,5.000000,15,0,18,0.604,4
32,30,219.946,23680,0.374937488,0.377000000,2.062512,1,219.946404,5.000000,15,0,18,0.002,2
33,30,230.107,23680,0.385275333,0.387500000,2.224667,1,230.106782,5.000000,15,0,18,0.000,3
34,30,229.328,23680,0.396599574,0.399000000,2.400426,1,229.328384,5.000000,15,0,18,0.000,2
35,30,225.452,23680,0.409429176,0.412000000,2.570824,1,225.452373,5.000000,15,0,18,0.003,5
36,30,220.403,23680,0.419852363,0.422000000,2.147637,1,220.403429,5.000000,15,0,18,0.000,2
37,30,219.226,23680,0.431113432,0.433500000,2.386568,1,219.225756,5.000000,15,0,18,0.000,2
38,30,216.305,23680,0.443511185,0.446000000,2.488815,1,216.304636,5.000000,15,0,18,0.135,2
39,30,214.701,23680,0.453600083,0.456000000,2.399917,1,214.701086,5.000000,15,0,18,0.000,3
40,30,218.061,23680,0.463588021,0.466000000,2.411979,1,218.061488,5.000000,15,0,18,0.604,3
41,30,219.676,23680,0.474942072,0.477000000,2.057928,1,219.676384,5.000000,15,0,18,0.002,4
42,30,209.494,23680,0.486871589,0.489000000,2.128411,1,209.494199,5.000000,15,0,18,0.000,4
43,30,210.339,23680,0.501041917,0.503500000,2.458083,1,210.338932,5.000000,15,0,18,0.604,3
44,30,209.798,23680,0.514224816,0.516500000,2.275184,1,209.797914,5.000000,15,0,18,0.179,3
45,30,209.846,23680,0.524908397,0.527000000,2.091603,1,209.846269,5.000000,15,0,18,0.001,5
46,30,200.588,23680,0.536691195,0.539000000,2.308805,1,200.587952,5.000000,15,0,18,0.002,4
47,30,206.733,23680,0.547088234,0.549500000,2.411766,1,206.733061,5.000000,15,0,18,0.002,4
48,30,196.858,23680,0.557258853,0.559500000,2.241147,1,196.858336,5.000000,15,0,18,0.623,2
