frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,70,45.0459,109472,0.011507892,0.015500000,3.992108,1,45.045899,4.000000,14
2,70,43.452401,109472,0.019461733,0.023000000,3.538267,1,43.452401,4.000000,14
3,70,43.456201,109472,0.029863034,0.038000000,8.136966,0,1050.257266,4.000000,14
4,70,42.278895,109472,0.037252266,0.042000000,4.747734,0,1050.257266,4.000000,14
5,70,43.608040,109472,0.044543991,0.053000000,8.456009,0,1050.257266,4.000000,14
6,70,41.272927,109472,0.052586391,0.060500000,7.913609,0,1050.257266,4.000000,14
7,70,40.930804,109472,0.061613919,0.071500000,9.886081,0,1050.257266,4.000000,14
8,70,39.574989,109472,0.073340383,0.078500000,5.159617,0,1050.257266,4.000000,14
9,70,39.740914,109472,0.081376255,0.088000000,6.623745,0,1050.257266,4.000000,14
10,70,38.279780,109472,0.088902836,0.099500000,10.597164,0,1050.257266,4.000000,14
11,70,39.405526,109472,0.098769584,0.105000000,6.230416,0,1050.257266,4.000000,14
12,70,39.257057,109472,0.108452118,0.117500000,9.047882,0,1050.257266,4.000000,14
13,70,40.971795,109472,0.118056493,0.132000000,13.943507,0,1050.257266,4.000000,14
14,70,38.901131,109472,0.125588240,0.138500000,12.911760,0,1050.257266,4.000000,14
15,70,40.406554,109472,0.135458161,0.140500000,5.041839,0,1050.257266,4.000000,14
16,70,38.882522,109472,0.145630385,0.152500000,6.869615,0,1050.257266,4.000000,14
17,70,41.198685,109472,0.153539765,0.158500000,4.960235,0,1050.257266,4.000000,14
18,70,39.854362,109472,0.161592373,0.169000000,7.407627,0,1050.257266,4.000000,14
19,70,41.787505,109472,0.170489758,0.177000000,6.510242,0,1050.257266,4.000000,14
20,70,41.661855,109472,0.179169670,0.185500000,6.330330,0,1050.257266,4.000000,14
21,70,44.442272,109472,0.188215537,0.195500000,7.284463,0,1050.257266,4.000000,14
22,70,41.689680,109472,0.199038403,0.202500000,3.461597,1,41.689680,4.000000,14
23,70,44.002013,109472,0.207926849,0.214500000,6.573151,0,1050.257266,4.000000,14
24,70,44.651460,109472,0.217586514,0.226500000,8.913486,0,1050.257266,4.000000,14
25,70,45.627630,109472,0.224912889,0.232000000,7.087111,0,1050.257266,4.000000,14
26,70,42.660440,109472,0.233396917,0.243500000,10.103083,0,1050.257266,4.000000,14
27,70,44.009007,109472,0.243076834,0.269500000,26.423166,0,1050.257266,4.000000,14
28,70,43.800260,109472,0.252190820,0.287500000,35.309180,0,1050.257266,4.000000,14
29,70,47.631788,109472,0.259797558,0.307000000,47.202442,0,1050.257266,4.000000,14
30,70,45.013449,109472,0.267243290,0.325000000,57.756710,0,1050.257266,4.000000,14
31,70,45.409588,109472,0.278456466,0.337500000,59.043534,0,1050.257266,4.000000,14
32,70,44.402091,109472,0.287133857,0.348000000,60.866143,0,1050.257266,4.000000,14
33,70,47.056237,109472,0.294468919,0.352000000,57.531081,0,1050.257266,4.000000,14
34,70,42.531811,109472,0.302696359,0.359000000,56.303641,0,1050.257266,4.000000,14
35,70,43.983723,109472,0.309820085,0.371500000,61.679915,0,1050.257266,4.000000,14
36,70,44.421644,109472,0.316940917,0.393500000,76.559083,0,1050.257266,4.000000,14
37,70,47.239913,109472,0.325677625,0.398000000,72.322375,0,1050.257266,4.000000,14
38,70,46.431405,109472,0.335554825,0.411000000,75.445175,0,1050.257266,4.000000,14
39,70,47.201055,109472,0.344272895,0.414000000,69.727105,0,1050.257266,4.000000,14
40,70,45.265599,109472,0.354340233,0.419000000,64.659767,0,1050.257266,4.000000,14
41,70,46.947297,109472,0.364388455,0.429000000,64.611545,0,1050.257266,4.000000,14
42,70,44.814300,109472,0.375933004,0.440000000,64.066996,0,1050.257266,4.000000,14
43,70,45.971447,109472,0.383840057,0.447500000,63.659943,0,1050.257266,4.000000,14
44,70,46.331407,109472,0.393827606,0.456000000,62.172394,0,1050.257266,4.000000,14
45,70,46.749240,109472,0.401532659,0.462000000,60.467341,0,1050.257266,4.000000,14
46,70,44.135136,109472,0.409795528,0.466000000,56.204472,0,1050.257266,4.000000,14
