user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,533.219,0.5,2.82028,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,647.158,0.38,8.29882,1000,457,77,543,0.457,0.543,538,5,summary
2,billiardstest,model,adaptive,585.089,0.447,6.18575,1000,492,45,508,0.492,0.508,508,0,summary
0,billiardstest,static,5,891.19,0.5,2.26813,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,891.19,0.5,2.68167,1000,500,0,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,891.19,0.5,2.50311,1000,500,0,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,750.325,0.5,2.27128,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,750.791,0.499,2.90067,1000,500,1,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,750.325,0.5,2.70511,1000,500,0,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,684.155,0.5,2.27758,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,684.155,0.5,2.93967,1000,500,0,500,0.5,0.5,500,0,summary
2,billiardstest,static,15,684.155,0.5,2.94011,1000,500,0,500,0.5,0.5,500,0,summary
0,billiardstest,static,20,644.082,0.5,2.28069,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,644.82,0.499,3.55067,1000,500,1,500,0.5,0.5,500,0,summary
2,billiardstest,static,20,650.391,0.491,3.36226,1000,499,8,501,0.499,0.501,501,0,summary
0,billiardstest,static,25,616.448,0.5,2.29806,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,643.186,0.467,5.30824,1000,496,29,504,0.496,0.504,504,0,summary
2,billiardstest,static,25,616.448,0.5,3.28011,1000,500,0,500,0.5,0.5,500,0,summary
0,billiardstest,static,30,596.182,0.5,2.32452,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,30,618.344,0.473,4.98122,1000,496,23,504,0.496,0.504,504,0,summary
2,billiardstest,static,30,609.186,0.485,3.96748,1000,498,13,502,0.498,0.502,502,0,summary
0,billiardstest,static,35,580.8,0.5,2.33918,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,35,614.637,0.461,5.47985,1000,494,33,506,0.494,0.506,506,0,summary
2,billiardstest,static,35,608.932,0.468,5.07198,1000,496,28,504,0.496,0.504,504,0,summary
0,billiardstest,static,40,568.81,0.5,2.3256,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,40,634.636,0.427,5.48843,1000,462,35,538,0.462,0.538,538,0,summary
2,billiardstest,static,40,619.522,0.443,6.23039,1000,490,47,510,0.49,0.51,510,0,summary
0,billiardstest,static,45,559.25,0.5,2.37544,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,45,592.158,0.464,6.09908,1000,495,31,505,0.495,0.505,505,0,summary
2,billiardstest,static,45,609.083,0.445,6.13141,1000,489,44,511,0.489,0.511,511,0,summary
0,billiardstest,static,50,557.951,0.493,2.75314,1000,499,6,501,0.499,0.501,501,0,summary
1,billiardstest,static,50,606.996,0.44,6.64117,1000,491,51,509,0.491,0.509,509,0,summary
2,billiardstest,static,50,613.427,0.433,6.74534,1000,483,50,517,0.483,0.517,517,0,summary
0,billiardstest,static,55,545.149,0.5,2.78411,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,55,615.087,0.426,7.22657,1000,488,62,512,0.488,0.512,512,0,summary
2,billiardstest,static,55,665.923,0.372,7.7593,1000,428,56,572,0.428,0.572,572,0,summary
0,billiardstest,static,60,539.873,0.5,2.84623,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,60,604.428,0.432,6.78983,1000,488,56,512,0.488,0.512,512,0,summary
2,billiardstest,static,60,592.228,0.445,6.1056,1000,491,46,509,0.491,0.509,509,0,summary
0,billiardstest,static,65,535.445,0.5,2.85995,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,65,658.221,0.372,8.12352,1000,447,75,553,0.447,0.553,553,0,summary
2,billiardstest,static,65,576.76,0.457,5.85631,1000,494,37,506,0.494,0.506,506,0,summary
0,billiardstest,static,70,531.702,0.5,2.88238,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,70,612.975,0.416,9.2624,1000,481,65,519,0.481,0.519,519,0,summary
2,billiardstest,static,70,650.751,0.377,8.15781,1000,454,77,546,0.454,0.546,546,0,summary
0,billiardstest,static,75,528.517,0.5,2.86829,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,75,620.471,0.406,9.70523,1000,469,63,531,0.469,0.531,531,0,summary
2,billiardstest,static,75,714.061,0.31,8.61095,1000,385,75,615,0.385,0.615,615,0,summary
0,billiardstest,static,80,525.787,0.5,2.92354,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,80,714.034,0.308,8.79428,1000,390,82,610,0.39,0.61,575,35,summary
2,billiardstest,static,80,603.207,0.421,6.53023,1000,475,54,525,0.475,0.525,513,12,summary
