frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,122.994,35326,0.020145038,0.024500000,4.354962,1,122.994389,10.000000,13,0,18,0.978,5
2,30,219.142,23680,0.028178239,0.030500000,2.321761,1,219.142012,10.000000,13,0,18,0.872,5
3,40,150.036,31444,0.039636877,0.049000000,9.363123,1,150.036343,10.000000,13,0,18,0.087,2
4,40,147.018,31444,0.048574894,0.051500000,2.925106,1,147.017645,10.000000,13,0,18,0.002,3
5,40,147.194,31444,0.057944290,0.063500000,5.555710,1,147.194133,10.000000,13,0,18,0.996,6
6,45,119.404,35326,0.065142801,0.075000000,9.857199,1,119.404323,10.000000,13,0,18,0.989,6
7,40,143.666,31444,0.074176672,0.080000000,5.823328,1,143.665957,10.000000,13,0,18,0.003,3
8,40,140.227,31444,0.082255006,0.089000000,6.744994,1,140.226664,10.000000,13,0,18,0.993,4
9,40,144.206,31444,0.092578544,0.101000000,8.421456,1,144.206212,10.000000,13,0,18,0.538,3
10,35,173.690,27562,0.099972894,0.106000000,6.027106,1,173.690157,10.000000,13,0,18,1.003,6
11,40,148.370,31444,0.108991847,0.116000000,7.008153,1,148.370098,10.000000,14,0,18,0.000,4
12,40,144.997,31444,0.118931145,0.121500000,2.568855,1,144.996650,10.000000,14,0,18,0.949,6
13,35,177.343,27562,0.127212012,0.129500000,2.287988,1,177.342813,10.000000,14,0,18,0.744,4
14,40,143.378,31444,0.135751352,0.139000000,3.248648,1,143.378032,10.000000,14,0,18,0.978,6
15,40,145.000,31444,0.143934209,0.148500000,4.565791,1,145.000483,10.000000,14,0,18,0.001,5
16,55,86.741,43090,0.152981393,0.156000000,3.018607,1,86.740753,10.000000,14,0,18,0.745,4
17,40,144.464,31444,0.160832196,0.163500000,2.667804,1,144.464045,10.000000,14,0,18,1.004,5
18,40,140.087,31444,0.167949186,0.170500000,2.550814,1,140.086717,10.000000,14,0,18,0.744,4
19,35,168.304,27562,0.177527605,0.180500000,2.972395,1,168.303936,10.000000,14,0,18,1.000,6
20,35,163.484,27562,0.185129940,0.187500000,2.370060,1,163.484264,10.000000,14,0,18,0.703,5
21,40,133.103,31444,0.194106885,0.200500000,6.393115,1,133.103314,10.000000,14,0,18,1.000,5
22,40,136.093,31444,0.205182433,0.213500000,8.317567,1,136.093107,10.000000,14,0,18,1.000,9
23,40,141.997,31444,0.213257008,0.216500000,3.242992,1,141.997419,10.000000,14,0,18,1.000,8
24,55,85.311,43090,0.221868302,0.224500000,2.631698,1,85.310751,10.000000,14,0,18,0.296,4
25,40,141.007,31444,0.232224756,0.234500000,2.275244,1,141.006836,10.000000,14,0,18,0.842,4
26,35,173.301,27562,0.241742516,0.244000000,2.257484,1,173.301413,10.000000,14,0,18,0.684,3
27,45,123.008,35326,0.249560349,0.252500000,2.939651,1,123.008058,10.000000,14,0,18,0.915,4
28,40,148.354,31444,0.258826878,0.261000000,2.173122,1,148.354011,10.000000,14,0,18,0.864,5
29,35,181.060,27562,0.268540312,0.271000000,2.459688,1,181.060250,10.000000,14,0,18,0.725,3
30,45,126.309,35326,0.279579154,0.282500000,2.920846,1,126.308792,10.000000,14,0,18,0.861,6
31,45,127.869,35326,0.290870025,0.293500000,2.629975,1,127.868612,10.000000,14,0,18,0.838,4
32,45,125.517,35326,0.299434551,0.305500000,6.065449,1,125.517316,10.000000,14,0,18,0.929,6
34,45,129.392,35326,0.317704667,0.383500000,65.795333,0,1016.684637,10.000000,14,0,18,0.070,5
35,40,155.654,31444,0.325755776,0.383500000,57.744224,0,1016.684637,10.000000,14,0,18,0.070,5
36,45,125.444,35326,0.333767490,0.383500000,49.732510,0,1016.684637,10.000000,14,0,18,0.070,5
37,40,149.308,31444,0.340979096,0.383500000,42.520904,0,1016.684637,10.000000,14,0,18,0.070,5
38,45,123.682,35326,0.348555821,0.383500000,34.944179,0,1016.684637,10.000000,14,0,18,0.070,5
39,45,122.461,35326,0.358378180,0.383500000,25.121820,0,1016.684637,10.000000,14,0,18,0.070,5
40,45,125.189,35326,0.369411172,0.383500000,14.088828,0,1016.684637,10.000000,14,0,18,0.070,5
41,45,126.404,35326,0.380763230,0.384500000,3.736770,1,126.404111,10.000000,14,0,18,0.733,6
42,55,84.888,43090,0.389978820,0.393000000,3.021180,1,84.887526,10.000000,14,0,18,0.001,3
43,40,144.893,31444,0.398853786,0.404000000,5.146214,1,144.893105,10.000000,14,0,18,0.949,6
45,45,119.055,35326,0.415957907,0.478500000,62.542093,0,1016.684637,10.000000,14,0,18,0.722,5
46,65,60.000,50854,0.425602244,0.478500000,52.897756,0,1016.684637,10.000000,14,0,18,0.722,5
47,40,139.209,31444,0.434140212,0.478500000,44.359788,0,1016.684637,10.000000,14,0,18,0.722,5
48,40,133.088,31444,0.442763534,0.478500000,35.736466,0,1016.684637,10.000000,14,0,18,0.722,5
49,55,82.598,43090,0.450734449,0.478500000,27.765551,0,1016.684637,10.000000,14,0,18,0.722,5
50,40,133.220,31444,0.459011168,0.478500000,19.488832,0,1016.684637,10.000000,14,0,18,0.722,5
51,40,130.761,31444,0.467305560,0.478500000,11.194440,0,1016.684637,10.000000,14,0,18,0.722,5
52,40,127.863,31444,0.476443348,0.478500000,2.056652,1,127.863452,10.000000,14,0,18,0.722,5
53,40,130.261,31444,0.485851531,0.488500000,2.648469,1,130.261057,10.000000,14,0,18,0.681,6
54,45,102.018,35326,0.494551261,0.498000000,3.448739,1,102.017652,10.000000,14,0,18,0.446,5
55,40,126.258,31444,0.501865608,0.507000000,5.134392,1,126.258225,10.000000,14,0,18,1.001,6
57,60,68.493,46972,0.518145095,0.586000000,67.854905,0,1016.684637,10.000000,14,0,18,0.989,6
58,55,78.479,43090,0.526649131,0.586000000,59.350869,0,1016.684637,10.000000,14,0,18,0.989,6
59,45,111.024,35326,0.534502863,0.586000000,51.497137,0,1016.684637,10.000000,14,0,18,0.989,6
60,40,127.302,31444,0.542271995,0.586000000,43.728005,0,1016.684637,10.000000,14,0,18,0.989,6
61,45,109.148,35326,0.551786969,0.586000000,34.213031,0,1016.684637,10.000000,14,0,18,0.989,6
62,40,130.497,31444,0.559522789,0.586000000,26.477211,0,1016.684637,10.000000,14,0,18,0.989,6
63,45,109.390,35326,0.567426038,0.586000000,18.573962,0,1016.684637,10.000000,14,0,18,0.989,6
64,40,136.683,31444,0.574993653,0.586000000,11.006347,0,1016.684637,10.000000,14,0,18,0.989,6
65,45,111.168,35326,0.583654940,0.587000000,3.345060,1,111.168329,10.000000,14,0,18,0.989,6
66,45,109.933,35326,0.591184025,0.594000000,2.815975,1,109.933326,10.000000,14,0,18,0.927,4
67,45,109.018,35326,0.599814903,0.605000000,5.185097,1,109.017932,10.000000,14,0,18,0.850,5
68,55,76.293,43090,0.607835924,0.612500000,4.664076,1,76.293292,10.000000,14,0,18,0.875,8
69,40,127.003,31444,0.615948950,0.618000000,2.051050,1,127.003272,10.000000,14,0,18,0.004,7
70,40,126.546,31444,0.623570240,0.626000000,2.429760,1,126.546419,10.000000,14,0,18,0.171,4
71,45,107.574,35326,0.631418222,0.634000000,2.581778,1,107.573861,10.000000,14,0,18,0.330,2
72,40,124.824,31444,0.638697420,0.641500000,2.802580,1,124.823568,10.000000,14,0,18,0.967,6
73,45,105.859,35326,0.647651153,0.650500000,2.848847,1,105.859367,10.000000,14,0,18,0.000,3
74,55,76.836,43090,0.658729255,0.662500000,3.770745,1,76.836277,10.000000,14,0,18,0.982,7
75,40,131.423,31444,0.667939125,0.670000000,2.060875,1,131.422739,10.000000,14,0,18,0.826,5
76,45,104.342,35326,0.677035998,0.680000000,2.964002,1,104.341653,10.000000,14,0,18,0.978,6
77,40,122.020,31444,0.687917665,0.690000000,2.082335,1,122.019618,10.000000,14,0,18,0.827,6
78,40,119.969,31444,0.695453127,0.697500000,2.046873,1,119.969213,10.000000,14,0,18,0.001,4
79,45,105.043,35326,0.704489368,0.711500000,7.010632,1,105.042504,10.000000,13,0,18,0.985,6
80,40,120.169,31444,0.713170601,0.719500000,6.329399,1,120.169406,10.000000,13,0,18,0.824,4
81,55,69.221,43090,0.723071995,0.726000000,2.928005,1,69.220646,10.000000,13,0,18,0.839,4
82,45,95.756,35326,0.730810801,0.733500000,2.689199,1,95.755663,10.000000,13,0,18,0.996,5
83,40,122.738,31444,0.738474857,0.741000000,2.525143,1,122.737642,10.000000,13,0,18,0.714,3
84,40,118.014,31444,0.746458642,0.749000000,2.541358,1,118.014303,10.000000,13,0,18,0.974,6
85,35,144.228,27562,0.754515041,0.760500000,5.984959,1,144.228312,10.000000,13,0,18,0.000,1
86,40,115.700,31444,0.762342074,0.765500000,3.157926,1,115.700186,10.000000,13,0,18,0.685,5
87,35,146.729,27562,0.773753907,0.779000000,5.246093,1,146.728610,10.000000,13,0,18,0.982,5
88,40,118.235,31444,0.784956398,0.787500000,2.543602,1,118.234953,10.000000,13,0,18,0.831,4
89,35,143.658,27562,0.792525080,0.795500000,2.974920,1,143.658186,10.000000,13,0,18,0.977,6
90,40,120.066,31444,0.802152114,0.811500000,9.347886,1,120.065762,10.000000,13,0,18,0.840,6
91,35,147.572,27562,0.810932618,0.817500000,6.567382,1,147.571799,10.000000,13,0,18,0.927,7
92,40,116.095,31444,0.819869712,0.823000000,3.130288,1,116.095358,10.000000,13,0,18,0.849,3
93,40,114.197,31444,0.827872108,0.833500000,5.627892,1,114.197108,10.000000,13,0,18,0.912,8
94,60,54.792,46972,0.835599345,0.841500000,5.900655,1,54.791727,10.000000,13,0,18,0.000,4
95,35,135.658,27562,0.845076990,0.850500000,5.423010,1,135.657717,10.000000,13,0,18,0.886,6
96,35,128.892,27562,0.853305840,0.856000000,2.694160,1,128.891678,10.000000,13,0,18,0.590,5
97,40,107.898,31444,0.860923751,0.863500000,2.576249,1,107.897746,10.000000,13,0,18,0.000,2
98,55,61.902,43090,0.868914954,0.874500000,5.585046,1,61.902183,10.000000,13,0,18,0.992,7
99,30,157.769,23680,0.876471958,0.885000000,8.528042,1,157.768858,10.000000,13,0,18,0.901,6
100,60,55.206,46972,0.883602303,0.886500000,2.897697,1,55.205913,10.000000,13,0,18,0.835,3
101,40,110.380,31444,0.893352904,0.899000000,5.647096,1,110.380484,10.000000,13,0,18,0.849,4
102,40,109.745,31444,0.902849459,0.911000000,8.150541,1,109.744634,10.000000,13,0,18,0.971,8
103,45,93.338,35326,0.910601334,0.915000000,4.398666,1,93.338242,10.000000,13,0,18,0.960,7
104,45,89.854,35326,0.919987422,0.928000000,8.012578,1,89.854378,10.000000,13,0,18,0.802,4
105,40,106.554,31444,0.927612032,0.930500000,2.887968,1,106.554072,10.000000,13,0,18,0.791,5
106,40,104.618,31444,0.934755111,0.943000000,8.244889,1,104.617882,10.000000,13,0,18,0.769,4
107,40,103.247,31444,0.941903507,0.945000000,3.096493,1,103.246961,10.000000,13,0,18,0.765,5
108,55,58.161,43090,0.952240567,0.957500000,5.259433,1,58.160608,10.000000,13,0,18,0.978,5
109,30,143.603,23680,0.960294988,0.963000000,2.705012,1,143.602959,10.000000,13,0,18,0.830,5
110,60,46.702,46972,0.970280945,0.976000000,5.719055,1,46.702454,10.000000,13,0,18,0.926,5
111,30,136.115,23680,0.977745983,0.980000000,2.254017,1,136.115166,10.000000,13,0,18,0.000,3
112,35,109.525,27562,0.986582682,0.992000000,5.417318,1,109.525423,10.000000,13,0,18,0.967,7
113,55,53.017,43090,0.997650942,1.004000000,6.349058,1,53.017297,10.000000,13,0,18,0.003,6
