frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,80,40.6061,62500,0.022940134,0.026000000,3.059866,1,40.606100,10.000000,13,0,18,0.780,4
2,80,40.681,62500,0.029114019,0.043000000,13.885981,0,1016.684637,10.000000,13,0,18,0.861,7
3,80,40.549,62500,0.035822199,0.047000000,11.177801,0,1016.684637,10.000000,13,47770,18,0.996,6
4,80,39.953,62500,0.043323646,0.056500000,13.176354,0,1016.684637,10.000000,13,67058,18,0.864,6
5,80,41.645,62500,0.047718847,0.062500000,14.781153,0,1016.684637,10.000000,13,21368,18,0.993,6
6,80,40.264,62500,0.053768417,0.066500000,12.731583,0,1016.684637,10.000000,13,32857,18,0.996,7
7,80,41.319,62500,0.058834284,0.074000000,15.165716,0,1016.684637,10.000000,13,0,18,0.941,5
8,80,39.226,62500,0.065169049,0.076000000,10.830951,0,1016.684637,10.000000,13,0,18,0.996,8
9,80,41.175,62500,0.071223608,0.081000000,9.776392,1,41.174822,10.000000,13,5093,18,0.861,8
10,80,40.811,62500,0.076470398,0.083000000,6.529602,1,40.810903,10.000000,13,0,18,0.989,5
11,80,41.990,62500,0.082429674,0.091500000,9.070326,1,41.990258,10.000000,13,0,18,0.864,5
12,80,40.881,62500,0.089849505,0.093500000,3.650495,1,40.880990,10.000000,13,0,18,1.003,5
13,80,41.402,62500,0.095132373,0.102000000,6.867627,1,41.401629,10.000000,13,0,18,0.974,7
14,80,41.170,62500,0.101612505,0.117500000,15.887495,0,1016.684637,10.000000,13,95909,18,0.857,6
15,80,41.573,62500,0.106082488,0.127000000,20.917512,0,1016.684637,10.000000,13,158251,18,0.996,5
16,80,41.415,62500,0.110637939,0.130500000,19.862061,0,1016.684637,10.000000,13,101118,18,0.857,7
17,80,41.715,62500,0.118037542,0.135500000,17.462458,0,1016.684637,10.000000,13,68831,18,0.977,7
18,80,40.775,62500,0.123413862,0.141000000,17.586138,0,1016.684637,10.000000,13,68831,18,0.857,6
19,80,41.002,62500,0.128736103,0.144000000,15.263897,0,1016.684637,10.000000,13,89053,18,0.982,7
20,80,38.884,62500,0.135238018,0.157500000,22.261982,0,1016.684637,10.000000,13,150207,18,1.000,7
21,80,38.853,62500,0.141309234,0.162000000,20.690766,0,1016.684637,10.000000,13,150207,18,0.930,8
22,80,39.637,62500,0.147365433,0.165500000,18.134567,0,1016.684637,10.000000,13,130585,18,0.993,7
23,80,40.900,62500,0.152794695,0.175000000,22.205305,0,1016.684637,10.000000,13,47749,18,0.981,7
24,80,40.893,62500,0.157341795,0.175000000,17.658205,0,1016.684637,10.000000,13,47749,18,0.981,7
25,80,41.107,62500,0.162538341,0.181500000,18.961659,0,1016.684637,10.000000,13,88927,18,0.996,8
26,80,40.799,62500,0.170399971,0.185000000,14.600029,0,1016.684637,10.000000,13,88927,18,0.988,6
27,80,41.830,62500,0.175882955,0.190500000,14.617045,0,1016.684637,10.000000,13,94020,18,0.864,7
28,80,42.245,62500,0.180385900,0.202000000,21.614100,0,1016.684637,10.000000,13,126969,18,0.989,6
29,80,43.554,62500,0.186243568,0.209500000,23.256432,0,1016.684637,10.000000,10,110791,18,1.004,8
30,80,42.762,62500,0.191624158,0.234000000,42.375842,0,1016.684637,10.000000,11,320266,18,0.860,4
31,80,43.930,62500,0.196367682,0.250500000,54.132318,0,1016.684637,10.000000,11,431500,18,0.710,4
32,80,42.567,62500,0.203678195,0.254500000,50.821805,0,1016.684637,10.000000,11,427044,18,1.003,7
33,80,44.733,62500,0.213442560,0.262500000,49.057440,0,1016.684637,10.000000,11,411983,18,0.861,7
34,80,44.227,62500,0.218277684,0.270500000,52.222316,0,1016.684637,10.000000,11,474878,18,0.871,7
35,80,44.183,62500,0.226514427,0.279500000,52.985573,0,1016.684637,10.000000,11,504338,18,0.912,6
36,80,43.212,62500,0.231805581,0.298000000,66.194419,0,1016.684637,10.000000,11,615786,18,0.941,8
37,80,43.310,62500,0.236640518,0.329000000,92.359482,0,1016.684637,10.000000,11,846855,18,0.915,9
38,80,42.558,62500,0.241549370,0.336000000,94.450630,0,1016.684637,10.000000,11,852293,18,0.713,4
39,80,41.736,62500,0.248793337,0.352500000,103.706663,0,1016.684637,10.000000,11,957689,18,1.004,4
40,80,42.811,62500,0.254230454,0.368000000,113.769546,0,1016.684637,10.000000,11,1060649,18,0.941,6
41,80,42.753,62500,0.260175830,0.385500000,125.324170,0,1016.684637,10.000000,11,1183502,18,0.967,7
42,80,40.676,62500,0.265150333,0.396500000,131.349667,0,1016.684637,10.000000,11,1212461,18,1.004,6
43,80,41.384,62500,0.271047858,0.405000000,133.952142,0,1016.684637,10.000000,11,1319776,18,1.004,8
46,80,38.828,62500,0.288785846,0.434500000,145.714154,0,1016.684637,10.000000,14,1236118,18,0.989,7
47,80,40.516,62500,0.295708786,0.434500000,138.791214,0,1016.684637,10.000000,14,1236118,18,0.989,7
48,80,38.234,62500,0.301932246,0.434500000,132.567754,0,1016.684637,10.000000,14,1236118,18,0.989,7
49,80,40.629,62500,0.309055566,0.434500000,125.444434,0,1016.684637,10.000000,14,1236118,18,0.989,7
50,80,39.529,62500,0.317200537,0.437000000,119.799463,0,1016.684637,10.000000,14,1167061,18,0.889,6
51,80,38.808,62500,0.322251848,0.438000000,115.748152,0,1016.684637,10.000000,14,1167061,18,0.945,8
52,80,38.626,62500,0.327984438,0.442500000,114.515562,0,1016.684637,10.000000,14,1111967,18,0.915,8
53,80,38.661,62500,0.335061257,0.446500000,111.438743,0,1016.684637,10.000000,14,1111967,18,0.945,6
54,80,36.067,62500,0.342362777,0.448000000,105.637223,0,1016.684637,10.000000,14,1030220,18,0.993,6
