user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,370.79,0.966,2.27747,500,500,17,0,1.0,0.0,0,0,summary
1,billiardstest,model,adaptive,571.798,0.678,3.26328,500,500,161,0,1.0,0.0,0,0,summary
0,billiardstest,static,5,770.275,0.978,2.26923,500,500,11,0,1.0,0.0,0,0,summary
1,billiardstest,static,5,819.339,0.776,2.94128,500,500,112,0,1.0,0.0,0,0,summary
0,billiardstest,static,10,510.525,0.948,2.26759,500,500,26,0,1.0,0.0,0,0,summary
1,billiardstest,static,10,630.15,0.726,3.14228,500,500,137,0,1.0,0.0,0,0,summary
0,billiardstest,static,15,379.11,0.958,2.26825,500,500,21,0,1.0,0.0,0,0,summary
1,billiardstest,static,15,576.118,0.662,3.32528,500,500,169,0,1.0,0.0,0,0,summary
0,billiardstest,static,20,314.39,0.942,2.28543,500,500,29,0,1.0,0.0,0,0,summary
1,billiardstest,static,20,557.632,0.612,6.14051,500,498,192,2,0.996,0.004,2,0,summary
0,billiardstest,static,25,254.22,0.952,2.27927,500,500,24,0,1.0,0.0,0,0,summary
1,billiardstest,static,25,556.392,0.576,4.84154,500,499,211,1,0.998,0.002,1,0,summary
0,billiardstest,static,30,237.56,0.926,2.29193,500,500,37,0,1.0,0.0,0,0,summary
1,billiardstest,static,30,565.787,0.534,7.13049,500,497,230,3,0.994,0.006,3,0,summary
0,billiardstest,static,35,205.522,0.93,2.29034,500,500,35,0,1.0,0.0,0,0,summary
1,billiardstest,static,35,562.793,0.522,8.96149,500,496,235,4,0.992,0.008,4,0,summary
0,billiardstest,static,40,199.504,0.912,2.29879,500,500,44,0,1.0,0.0,0,0,summary
1,billiardstest,static,40,714.641,0.336,10.864,500,494,326,6,0.988,0.012,6,0,summary
0,billiardstest,static,45,182.37,0.912,2.29843,500,500,44,0,1.0,0.0,0,0,summary
1,billiardstest,static,45,864.122,0.166,11.3553,500,495,412,5,0.99,0.01,5,0,summary
0,billiardstest,static,50,177.127,0.902,2.30297,500,500,49,0,1.0,0.0,0,0,summary
1,billiardstest,static,50,1016.68,0.0,16.2932,500,491,491,9,0.982,0.018,9,0,summary
0,billiardstest,static,55,1016.68,0.0,2.76653,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,55,1016.68,0.0,14.1225,500,491,491,9,0.982,0.018,9,0,summary
0,billiardstest,static,60,1016.68,0.0,2.76864,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,60,1016.68,0.0,13.501,500,490,490,10,0.98,0.02,10,0,summary
0,billiardstest,static,65,1016.68,0.0,2.78243,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,65,1016.68,0.0,13.6802,500,492,492,8,0.984,0.016,8,0,summary
0,billiardstest,static,70,1016.68,0.0,2.79774,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,70,1016.68,0.0,12.4509,500,491,491,9,0.982,0.018,9,0,summary
0,billiardstest,static,75,1016.68,0.0,2.80668,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,75,1016.68,0.0,13.9813,500,482,482,18,0.964,0.036,18,0,summary
0,billiardstest,static,80,1016.68,0.0,2.82995,500,500,500,0,1.0,0.0,0,0,summary
1,billiardstest,static,80,1016.68,0.0,14.7355,500,485,485,15,0.97,0.03,8,7,summary
