frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,122.994,35326,0.017133605,0.019500000,2.366395,1,122.994389,2.500000,14,0,18,0.000,1
2,15,440.267,12033,0.030423848,0.032500000,2.076152,1,440.266607,2.500000,14,0,18,0.322,5
3,15,441.749,12033,0.041432956,0.043500000,2.067044,1,441.748864,2.500000,14,0,18,0.001,3
4,20,333.590,15916,0.051335897,0.053500000,2.164103,1,333.590347,2.500000,14,0,18,0.418,2
5,20,334.907,15916,0.063480216,0.066000000,2.519784,0,1016.684637,2.500000,14,0,18,0.927,4
6,20,328.690,15916,0.076494075,0.079000000,2.505925,0,1016.684637,2.500000,14,0,18,0.000,2
7,20,326.475,15916,0.091949898,0.094000000,2.050102,1,326.475048,2.500000,14,0,18,0.003,3
8,20,321.937,15916,0.103508527,0.109000000,5.491473,0,1016.684637,2.500000,14,0,18,0.741,5
9,20,328.625,15916,0.115825813,0.118000000,2.174187,1,328.624969,2.500000,14,0,18,0.000,3
10,20,325.916,15916,0.126795979,0.129000000,2.204021,1,325.915734,2.500000,14,0,18,0.000,3
11,20,333.733,15916,0.137794199,0.140000000,2.205801,1,333.732805,2.500000,14,0,18,0.419,3
12,20,336.685,15916,0.149571834,0.152000000,2.428166,1,336.685163,2.500000,14,0,18,0.002,2
13,20,337.191,15916,0.162844049,0.165000000,2.155951,1,337.190705,2.500000,14,0,18,0.000,4
14,20,326.762,15916,0.174039180,0.176500000,2.460820,1,326.761695,2.500000,14,0,18,0.000,1
15,20,326.890,15916,0.184171731,0.186500000,2.328269,1,326.890442,2.500000,14,0,18,0.002,2
16,20,328.347,15916,0.195851851,0.201000000,5.148149,0,1016.684637,2.500000,14,0,18,0.418,3
17,20,333.159,15916,0.208198142,0.217000000,8.801858,0,1016.684637,2.500000,13,0,18,0.480,4
18,20,324.896,15916,0.220793702,0.223000000,2.206298,1,324.895803,2.500000,13,0,18,0.672,5
19,20,320.167,15916,0.231855508,0.234000000,2.144492,1,320.167069,2.500000,13,0,18,0.003,5
20,20,311.364,15916,0.242607123,0.245000000,2.392877,1,311.363627,2.500000,13,0,18,0.481,4
21,20,307.494,15916,0.252878167,0.255000000,2.121833,1,307.493749,2.500000,13,0,18,0.000,3
22,20,312.601,15916,0.265418374,0.270500000,5.081626,0,1016.684637,2.500000,13,0,18,0.000,2
23,20,325.753,15916,0.278608712,0.281000000,2.391288,1,325.752553,2.500000,13,0,18,0.002,2
24,20,321.709,15916,0.289390619,0.291500000,2.109381,1,321.708976,2.500000,13,0,18,0.000,4
25,20,325.783,15916,0.303097167,0.308500000,5.402833,0,1016.684637,2.500000,13,0,18,0.219,4
26,20,328.795,15916,0.314429490,0.316500000,2.070510,1,328.795168,2.500000,13,0,18,0.418,3
27,20,332.085,15916,0.325635688,0.328000000,2.364312,1,332.084667,2.500000,13,0,18,0.000,5
28,20,334.202,15916,0.337197567,0.339500000,2.302433,1,334.202292,2.500000,13,0,18,0.000,2
29,20,339.529,15916,0.347880064,0.350000000,2.119936,1,339.528669,2.500000,13,0,18,0.670,3
30,20,339.403,15916,0.361304818,0.364000000,2.695182,0,1016.684637,2.500000,13,0,18,0.000,3
31,20,341.508,15916,0.377964474,0.380000000,2.035526,1,341.508355,2.500000,13,0,18,0.480,3
32,20,338.656,15916,0.388525352,0.391000000,2.474648,1,338.655843,2.500000,13,0,18,0.002,4
33,20,352.897,15916,0.399715944,0.405000000,5.284056,0,1016.684637,2.500000,13,0,18,0.418,4
34,20,353.812,15916,0.410978095,0.413500000,2.521905,0,1016.684637,2.500000,14,0,18,0.002,6
35,20,346.574,15916,0.423999813,0.426500000,2.500187,0,1016.684637,2.500000,14,0,18,0.582,3
36,20,337.196,15916,0.435804785,0.438000000,2.195215,1,337.196386,2.500000,14,0,18,0.002,4
37,20,338.310,15916,0.446906383,0.449000000,2.093617,1,338.309730,2.500000,14,0,18,0.481,4
38,20,335.134,15916,0.459564763,0.462000000,2.435237,1,335.133744,2.500000,14,0,18,0.584,3
39,20,333.370,15916,0.472484763,0.475000000,2.515237,0,1016.684637,2.500000,14,0,18,0.722,2
40,20,338.217,15916,0.483765235,0.486000000,2.234765,1,338.217230,2.500000,14,0,18,0.000,4
41,20,343.401,15916,0.495756771,0.498000000,2.243229,1,343.400979,2.500000,14,0,18,0.000,3
