frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,40,147.791,31444,0.026011600,0.028500000,2.488400,1,147.791086,2.500000,14,0,18,0.001,4
2,40,148.675,31444,0.039185762,0.041500000,2.314238,1,148.675290,2.500000,14,0,18,0.001,2
3,40,150.036,31444,0.052181235,0.055500000,3.318765,0,1016.684637,2.500000,14,0,18,0.344,5
4,40,147.018,31444,0.065745799,0.068000000,2.254201,1,147.017645,2.500000,14,0,18,0.780,4
5,40,147.194,31444,0.078461139,0.081000000,2.538861,0,1016.684637,2.500000,14,0,18,0.002,5
6,40,142.724,31444,0.091772969,0.094500000,2.727031,0,1016.684637,2.500000,14,0,18,0.674,4
7,40,143.666,31444,0.104659719,0.113500000,8.840281,0,1016.684637,2.500000,14,0,18,0.959,7
8,40,140.227,31444,0.117621054,0.120500000,2.878946,0,1016.684637,2.500000,14,0,18,1.000,4
9,40,144.206,31444,0.130550590,0.136000000,5.449410,0,1016.684637,2.500000,14,0,18,0.974,5
10,40,144.806,31444,0.143546299,0.146000000,2.453701,1,144.806092,2.500000,14,0,18,0.211,6
11,40,148.370,31444,0.157562935,0.160000000,2.437065,1,148.370098,2.500000,14,0,18,0.003,2
12,40,144.997,31444,0.170568071,0.173000000,2.431929,1,144.996650,2.500000,14,0,18,1.003,5
13,40,146.822,31444,0.188918039,0.194500000,5.581961,0,1016.684637,2.500000,14,0,18,0.002,3
14,40,143.378,31444,0.202168122,0.207500000,5.331878,0,1016.684637,2.500000,14,0,18,0.696,5
15,40,145.000,31444,0.216900223,0.219500000,2.599777,0,1016.684637,2.500000,14,0,18,0.826,4
16,40,144.269,31444,0.233268950,0.239000000,5.731050,0,1016.684637,2.500000,14,0,18,0.945,4
17,40,144.464,31444,0.246292493,0.248500000,2.207507,1,144.464045,2.500000,14,0,18,0.827,2
18,40,140.087,31444,0.260560154,0.263500000,2.939846,0,1016.684637,2.500000,14,0,18,0.000,4
19,40,139.112,31444,0.274484891,0.277000000,2.515109,0,1016.684637,2.500000,14,0,18,0.002,4
20,40,134.938,31444,0.287630196,0.290000000,2.369804,1,134.938080,2.500000,14,0,18,0.976,6
22,40,136.093,31444,0.315390745,0.389000000,73.609255,0,1016.684637,2.500000,13,0,18,0.835,4
23,40,141.997,31444,0.328196591,0.389000000,60.803409,0,1016.684637,2.500000,13,0,18,0.835,4
24,40,141.835,31444,0.341677851,0.389000000,47.322149,0,1016.684637,2.500000,13,0,18,0.835,4
25,40,141.007,31444,0.358137769,0.389000000,30.862231,0,1016.684637,2.500000,13,0,18,0.835,4
26,40,143.627,31444,0.370851378,0.389000000,18.148622,0,1016.684637,2.500000,13,0,18,0.835,4
27,40,147.305,31444,0.386262760,0.389000000,2.737240,0,1016.684637,2.500000,13,0,18,0.835,4
28,40,148.354,31444,0.400344816,0.407500000,7.155184,0,1016.684637,2.500000,13,0,18,0.776,7
29,40,150.406,31444,0.413705593,0.416500000,2.794407,0,1016.684637,2.500000,13,0,18,0.822,4
30,40,150.841,31444,0.426445267,0.434500000,8.054733,0,1016.684637,2.500000,13,0,18,0.000,3
31,40,151.982,31444,0.441212935,0.444000000,2.787065,0,1016.684637,2.500000,13,0,18,0.768,3
32,40,150.048,31444,0.455755067,0.459000000,3.244933,0,1016.684637,2.500000,13,0,18,0.766,2
33,40,156.758,31444,0.469918515,0.475000000,5.081485,0,1016.684637,2.500000,13,0,18,0.992,5
34,40,155.754,31444,0.483359049,0.487000000,3.640951,0,1016.684637,2.500000,13,0,18,0.808,4
35,40,155.654,31444,0.498318734,0.505500000,7.181266,0,1016.684637,2.500000,13,0,18,0.955,4
36,40,150.499,31444,0.511426960,0.517500000,6.073040,0,1016.684637,2.500000,13,0,18,0.121,5
37,40,149.308,31444,0.525270543,0.528000000,2.729457,0,1016.684637,2.500000,13,0,18,0.724,5
38,40,147.500,31444,0.538274004,0.544000000,5.725996,0,1016.684637,2.500000,13,0,18,0.001,3
39,40,146.111,31444,0.552295238,0.556000000,3.704762,0,1016.684637,2.500000,13,0,18,0.831,7
40,40,149.302,31444,0.568333220,0.571000000,2.666780,0,1016.684637,2.500000,13,0,18,0.934,5
41,40,150.757,31444,0.583847943,0.587500000,3.652057,0,1016.684637,2.500000,13,0,18,0.890,6
42,40,142.659,31444,0.598030177,0.605500000,7.469823,0,1016.684637,2.500000,14,0,18,0.878,6
43,40,144.893,31444,0.612744753,0.616500000,3.755247,0,1016.684637,2.500000,14,0,18,0.722,4
44,40,142.466,31444,0.625780744,0.628500000,2.719256,0,1016.684637,2.500000,14,0,18,0.003,5
45,40,142.901,31444,0.639239081,0.641500000,2.260919,1,142.900786,2.500000,14,0,18,0.970,3
46,40,134.633,31444,0.654322025,0.657000000,2.677975,0,1016.684637,2.500000,14,0,18,0.923,7
47,40,139.209,31444,0.669407234,0.672000000,2.592766,0,1016.684637,2.500000,14,0,18,0.856,6
48,40,133.088,31444,0.684877325,0.687000000,2.122675,1,133.087564,2.500000,14,0,18,0.431,5
49,40,136.973,31444,0.699532936,0.705500000,5.967064,0,1016.684637,2.500000,14,0,18,0.963,4
50,40,133.220,31444,0.713638534,0.717000000,3.361466,0,1016.684637,2.500000,14,0,18,0.960,7
51,40,130.761,31444,0.727369316,0.729500000,2.130684,1,130.760732,2.500000,14,0,18,0.003,3
52,40,127.863,31444,0.740639787,0.743000000,2.360213,1,127.863452,2.500000,14,0,18,0.289,2
53,40,130.261,31444,0.755134668,0.757500000,2.365332,1,130.261057,2.500000,14,0,18,0.850,3
54,40,121.812,31444,0.771151272,0.773500000,2.348728,1,121.811564,2.500000,14,0,18,0.985,7
55,40,126.258,31444,0.786086410,0.788500000,2.413590,1,126.258225,2.500000,14,0,18,0.765,3
56,40,127.523,31444,0.801131398,0.811500000,10.368602,0,1016.684637,2.500000,14,0,18,0.950,6
57,40,133.657,31444,0.816618681,0.819500000,2.881319,0,1016.684637,2.500000,14,0,18,0.978,8
58,40,130.746,31444,0.829513739,0.832500000,2.986261,0,1016.684637,2.500000,14,0,18,0.956,6
59,40,132.645,31444,0.842624665,0.846500000,3.875335,0,1016.684637,2.500000,14,0,18,0.857,7
60,40,127.302,31444,0.857288997,0.859500000,2.211003,1,127.302038,2.500000,14,0,18,0.000,2
61,40,130.073,31444,0.872118219,0.874500000,2.381781,1,130.072688,2.500000,14,0,18,0.000,5
62,40,130.497,31444,0.887685881,0.890500000,2.814119,0,1016.684637,2.500000,14,0,18,1.003,5
63,40,131.255,31444,0.901560801,0.907000000,5.439199,0,1016.684637,2.500000,14,0,18,0.996,5
64,40,136.683,31444,0.914845824,0.917000000,2.154176,1,136.683028,2.500000,14,0,18,0.974,4
65,40,132.729,31444,0.930893602,0.933000000,2.106398,1,132.729098,2.500000,14,0,18,0.963,4
66,40,130.800,31444,0.944433412,0.946500000,2.066588,1,130.799982,2.500000,14,0,18,0.681,3
67,40,129.695,31444,0.959248307,0.961500000,2.251693,1,129.694903,2.500000,14,0,18,0.883,4
68,40,125.587,31444,0.974908417,0.977000000,2.091583,1,125.586699,2.500000,14,0,18,0.000,4
69,40,127.003,31444,0.987728510,0.990500000,2.771490,0,1016.684637,2.500000,14,0,18,0.000,4
70,40,126.546,31444,1.001403098,1.010000000,8.596902,0,1016.684637,2.500000,14,0,18,1.002,6
71,40,128.106,31444,1.014599607,1.017000000,2.400393,1,128.105857,2.500000,14,0,18,0.700,5
72,40,124.824,31444,1.029567469,1.032000000,2.432531,1,124.823568,2.500000,14,0,18,0.824,3
73,40,126.193,31444,1.043930068,1.046000000,2.069932,1,126.192527,2.500000,14,0,18,0.798,2
74,40,126.090,31444,1.060502644,1.063000000,2.497356,1,126.089590,2.500000,14,0,18,0.069,3
75,40,131.423,31444,1.075228421,1.080500000,5.271579,0,1016.684637,2.500000,14,0,18,1.004,3
76,40,123.998,31444,1.090619977,1.093000000,2.380023,1,123.998033,2.500000,14,0,18,0.802,4
77,40,122.020,31444,1.105704644,1.111000000,5.295356,0,1016.684637,2.500000,14,0,18,0.956,6
78,40,119.969,31444,1.120281908,1.122500000,2.218092,1,119.969213,2.500000,14,0,18,0.003,3
79,40,125.516,31444,1.133830951,1.136000000,2.169049,1,125.516436,2.500000,14,0,18,0.930,6
80,40,120.169,31444,1.148858360,1.152000000,3.141640,0,1016.684637,2.500000,14,0,18,0.721,5
81,40,117.219,31444,1.162680601,1.165500000,2.819399,0,1016.684637,2.500000,14,0,18,0.608,2
82,40,114.688,31444,1.175769512,1.178000000,2.230488,1,114.688267,2.500000,14,0,18,0.760,4
