user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,212.7592981751752,0.944944944944945,6.784011323323322
1,billiards,model,adaptive,338.51421893184244,0.7252396166134185,21.27415022257721
2,billiards,model,adaptive,463.78258120306134,0.6632653061224489,10.368033998979591
0,billiards,static,5,827.3754655509999,1.0,2.444260318
1,billiards,static,5,827.7795457629999,0.999,3.1965524450000005
2,billiards,static,5,827.3754655509999,1.0,2.87141381
0,billiards,static,10,510.42108793400007,1.0,2.43359471
1,billiards,static,10,515.212864988,0.991,3.6350524450000004
2,billiards,static,10,511.562074929,0.998,3.01141381
0,billiards,static,15,364.280268911,1.0,2.447709628
1,billiards,static,15,384.783495156,0.969,5.2332697900000005
2,billiards,static,15,372.346451963,0.988,3.433609832
0,billiards,static,20,277.660480065,1.0,2.517204411
1,billiards,static,20,374.313878075,0.878,11.377648643999999
2,billiards,static,20,357.668269026,0.895,4.141324137000001
0,billiards,static,25,252.73465767099998,0.96,4.560707579999999
1,billiards,static,25,361.663225876,0.829,14.745507491
2,billiards,static,25,442.66154075300005,0.727,7.210751484
0,billiards,static,30,270.15601447700004,0.895,7.100531645000001
1,billiards,static,30,289.347138525,0.872,11.131929924999998
2,billiards,static,30,280.222383517,0.881,6.120373476
0,billiards,static,35,193.09566780300003,0.948,4.8287449350000005
1,billiards,static,35,323.112667741,0.804,13.543240225000002
2,billiards,static,35,265.759946995,0.866,11.142590869
0,billiards,static,40,169.37695303125,0.9485887096774194,5.466137866935484
1,billiards,static,40,271.62340056996936,0.8386108273748724,11.69789819918284
2,billiards,static,40,289.05649264168375,0.8193018480492813,6.306098966119096
0,billiards,static,45,136.25796020561685,0.9638916750250752,4.455751611835506
1,billiards,static,45,247.8998162,0.8461538461538461,9.94628601948718
2,billiards,static,45,416.3629035242826,0.6677704194260485,7.09463328807947
0,billiards,static,50,150.6580020520408,0.9326530612244898,4.559978288775509
1,billiards,static,50,246.98029717730498,0.8328267477203647,9.5779509331307
2,billiards,static,50,558.6932749168468,0.5086393088552916,5.203727762419006
0,billiards,static,55,114.61506628140704,0.9577889447236181,4.473912455276381
1,billiards,static,55,343.08969188984884,0.7224622030237581,11.569127093952483
2,billiards,static,55,567.4662389802701,0.49428868120456904,3.916101764278297
0,billiards,static,60,107.00786507321965,0.954864593781344,4.496356437311935
1,billiards,static,60,238.15108124453695,0.8220603537981269,8.535257840790843
2,billiards,static,60,400.45674094079664,0.6576964477933261,9.321335224973089
0,billiards,static,65,106.87968767706239,0.9466800804828974,4.789388126760564
1,billiards,static,65,736.324878100592,0.3150887573964497,14.10925350295858
2,billiards,static,65,677.3735241401072,0.37433155080213903,2.369500871657754
0,billiards,static,70,86.2815610491968,0.9598393574297188,4.551890057228915
1,billiards,static,70,387.97163826970456,0.6600985221674877,8.939765562807883
2,billiards,static,70,676.7060609470049,0.3721198156682028,3.2566602857142857
0,billiards,static,75,94.82317438574424,0.9454926624737946,4.601312447589098
1,billiards,static,75,259.56161020521176,0.7828447339847991,9.344668232356133
2,billiards,static,75,846.5225657304554,0.20186697782963828,1.12105595915986
0,billiards,static,80,88.67819045962733,0.9461697722567288,5.134114929606626
1,billiards,static,80,496.1011636797067,0.5452322738386308,7.205463123471882
2,billiards,static,80,748.1313518451616,0.2967741935483871,2.592116712258065
