user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,411.79167372800003,0.962,4.058170646
1,billiards,model,adaptive,430.890201498,0.926,8.163414728
2,billiards,model,adaptive,457.605517233,0.972,3.9685848729999997
3,billiards,model,adaptive,272.403371785,1.0,2.7591726669999996
4,billiards,model,adaptive,448.406329980981,0.988988988988989,4.005374586586586
5,billiards,model,adaptive,360.77750846000004,0.84,7.958098962
6,billiards,model,adaptive,261.887493351,0.999,2.7531419550000003
7,billiards,model,adaptive,289.893889417,0.973,4.119689247
0,billiards,static,5,827.3754655509999,1.0,2.345925824
1,billiards,static,5,827.837151502,0.998,3.012052445
2,billiards,static,5,827.638953312,0.999,2.90091381
3,billiards,static,5,827.3754655509999,1.0,2.374172667
4,billiards,static,5,827.4552269589999,0.999,2.904993173
5,billiards,static,5,827.3754655509999,1.0,2.988838372
6,billiards,static,5,827.3754655509999,1.0,2.404141955
7,billiards,static,5,827.6022128129999,0.999,2.3870901190000002
0,billiards,static,10,510.42108793400007,1.0,2.4215137970000002
1,billiards,static,10,512.061781183,0.997,3.278052445
2,billiards,static,10,518.0915506120001,0.984,3.60701859
3,billiards,static,10,510.42108793400007,1.0,2.4561726669999997
4,billiards,static,10,519.650857532,0.983,3.682368603
5,billiards,static,10,512.615452003,0.996,3.136338371
6,billiards,static,10,510.42108793400007,1.0,2.4206419550000002
7,billiards,static,10,510.42108793400007,1.0,2.4655901190000002
0,billiards,static,15,364.941470458,0.999,2.572799786
1,billiards,static,15,370.01787021399997,0.991,3.914414834
2,billiards,static,15,366.382918278,0.997,3.14341381
3,billiards,static,15,364.280268911,1.0,2.515172667
4,billiards,static,15,367.03185588599996,0.996,3.457493173
5,billiards,static,15,386.738545926,0.967,4.2716815210000005
6,billiards,static,15,364.280268911,1.0,2.403141955
7,billiards,static,15,364.280268911,1.0,2.5170901190000006
0,billiards,static,20,277.660480065,1.0,2.515070495
1,billiards,static,20,332.031997336,0.93,7.6754703399999995
2,billiards,static,20,369.133522267,0.88,6.020632853000001
3,billiards,static,20,277.660480065,1.0,2.6356726669999997
4,billiards,static,20,320.49308762,0.945,5.679131262
5,billiards,static,20,346.733569584,0.911,6.271387989999999
6,billiards,static,20,277.660480065,1.0,2.531141955
7,billiards,static,20,277.660480065,1.0,2.550590119
0,billiards,static,25,240.024978778,0.976,3.863266207
1,billiards,static,25,330.548591789,0.867,11.894652982
2,billiards,static,25,385.5511212470001,0.801,7.264348154
3,billiards,static,25,239.77954021200003,0.976,4.427267370000001
4,billiards,static,25,323.243758558,0.876,8.176114597
5,billiards,static,25,381.1314361390001,0.806,8.585486395
6,billiards,static,25,220.331629008,0.999,2.937641955
7,billiards,static,25,242.692228016,0.972,4.475990568
0,billiards,static,30,235.34284411599995,0.934,5.567314015
1,billiards,static,30,351.939140521,0.801,15.799064816
2,billiards,static,30,417.8967362510001,0.725,3.9278034500000003
3,billiards,static,30,201.396869909,0.973,3.9349514099999996
4,billiards,static,30,257.73817055800004,0.908,6.5936631949999995
5,billiards,static,30,618.8286674630002,0.497,8.987668034
6,billiards,static,30,179.14982860499998,0.998,3.136641955
7,billiards,static,30,205.703059132,0.968,4.436948552
0,billiards,static,35,203.57495462100002,0.936,5.849325252000001
1,billiards,static,35,293.348656899,0.838,12.122517895
2,billiards,static,35,386.59561531400004,0.733,5.642563461
3,billiards,static,35,184.08865109,0.957,4.378870957
4,billiards,static,35,336.85128174100004,0.789,7.319583576
5,billiards,static,35,367.86318411200006,0.755,8.225511389
6,billiards,static,35,164.121049441,0.98,4.123571681
7,billiards,static,35,160.24129748399997,0.984,3.7218599770000003
0,billiards,static,40,162.4449485025176,0.9556898288016112,4.872497057401813
1,billiards,static,40,285.94378232822083,0.8220858895705522,13.199712828220859
2,billiards,static,40,781.173312943872,0.28865979381443296,4.008714083619703
3,billiards,static,40,158.52717922334003,0.959758551307847,5.445591939637827
4,billiards,static,40,394.8819344166667,0.7063008130081301,30.80156078963415
5,billiards,static,40,664.3311562939228,0.4143646408839779,11.96673101878453
6,billiards,static,40,137.13560658575724,0.9829488465396189,4.188806060180542
7,billiards,static,40,168.2552144480323,0.9495459132189707,5.394836416750757
0,billiards,static,45,151.57563469090908,0.9474747474747475,5.136180977777777
1,billiards,static,45,287.44531144129553,0.8046558704453441,12.924855754048583
2,billiards,static,45,655.2737464074075,0.4139433551198257,29.74269664379085
3,billiards,static,45,168.79782676923077,0.9291497975708503,5.295977873481781
