frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,45,101.897,70652,0.014285670,0.017000000,2.714330,1,101.897005,10.000000,14
2,45,99.015385,70652,0.025017289,0.029000000,3.982711,1,99.015385,10.000000,14
3,45,99.369637,70652,0.038196367,0.042000000,3.803633,1,99.369637,10.000000,14
4,45,98.235759,70652,0.048363377,0.051000000,2.636623,1,98.235759,10.000000,14
5,45,100.852925,70652,0.058432880,0.061000000,2.567120,1,100.852925,10.000000,14
6,45,95.535010,70652,0.069253058,0.072500000,3.246942,1,95.535010,10.000000,14
7,45,94.758432,70652,0.081058363,0.085500000,4.441637,1,94.758432,10.000000,14
8,45,92.139806,70652,0.095562605,0.099000000,3.437395,1,92.139806,10.000000,14
9,45,91.592916,70652,0.106376255,0.114000000,7.623745,1,91.592916,10.000000,14
10,45,88.453878,70652,0.116680613,0.119500000,2.819387,1,88.453878,10.000000,14
11,45,91.124123,70652,0.129325139,0.132000000,2.674861,1,91.124123,10.000000,14
12,45,91.023745,70652,0.141785451,0.147000000,5.214549,1,91.023745,10.000000,14
13,45,93.920693,70652,0.154167604,0.157000000,2.832396,1,93.920693,10.000000,14
14,45,89.213170,70652,0.164477129,0.168500000,4.022871,1,89.213170,10.000000,14
15,45,92.683403,70652,0.177124827,0.180000000,2.875173,1,92.683403,10.000000,14
16,45,90.608387,70652,0.190074829,0.193000000,2.925171,1,90.608387,10.000000,14
17,45,95.815435,70652,0.200761987,0.210500000,9.738013,1,95.815435,10.000000,14
18,45,94.883318,70652,0.211592373,0.217000000,5.407627,1,94.883318,10.000000,14
19,45,98.726354,70652,0.223267535,0.226000000,2.732465,1,98.726354,10.000000,14
20,45,97.823512,70652,0.234725226,0.238500000,3.774774,1,97.823512,10.000000,14
21,45,102.645457,70652,0.246548871,0.250000000,3.451129,1,102.645457,10.000000,14
22,45,98.847928,70652,0.260149514,0.267000000,6.850486,1,98.847928,10.000000,14
23,45,101.450522,70652,0.271815737,0.274500000,2.684263,1,101.450522,10.000000,14
24,45,103.449572,70652,0.284253180,0.288000000,3.746820,1,103.449572,10.000000,14
25,45,105.313583,70652,0.294357333,0.297000000,2.642667,1,105.313583,10.000000,14
26,45,100.167715,70652,0.305619139,0.312500000,6.880861,1,100.167715,10.000000,14
27,45,101.352145,70652,0.318076834,0.321000000,2.923166,1,101.352145,10.000000,14
28,45,100.690220,70652,0.329968598,0.333500000,3.531402,1,100.690220,10.000000,14
29,45,107.647403,70652,0.340353114,0.343500000,3.146886,1,107.647403,10.000000,14
30,45,106.042015,70652,0.350576623,0.354000000,3.423377,1,106.042015,10.000000,14
31,45,106.375840,70652,0.364567577,0.368000000,3.432423,1,106.375840,10.000000,14
32,45,103.886594,70652,0.376022746,0.379000000,2.977254,1,103.886594,10.000000,14
33,45,106.646392,70652,0.386135586,0.390000000,3.864414,1,106.646392,10.000000,14
34,45,100.793052,70652,0.397140803,0.400000000,2.859197,1,100.793052,10.000000,14
35,45,105.670680,70652,0.407042307,0.416000000,8.957693,1,105.670680,10.000000,14
36,45,103.929236,70652,0.416940917,0.421500000,4.559083,1,103.929236,10.000000,14
37,45,108.558358,70652,0.428455403,0.432500000,4.044597,1,108.558358,10.000000,14
38,45,106.140014,70652,0.441110380,0.444000000,2.889620,1,106.140014,10.000000,14
39,45,107.097180,70652,0.452606229,0.455500000,2.893771,1,107.097180,10.000000,14
40,45,103.494529,70652,0.465451344,0.468500000,3.048656,1,103.494529,10.000000,14
41,45,106.995346,70652,0.478277344,0.483000000,4.722656,1,106.995346,10.000000,14
42,45,102.764222,70652,0.492599671,0.497500000,4.900329,1,102.764222,10.000000,14
43,45,104.577635,70652,0.503284501,0.508500000,5.215499,1,104.577635,10.000000,14
44,45,105.608490,70652,0.516049829,0.519500000,3.450171,1,105.608490,10.000000,14
45,45,105.776608,70652,0.526532659,0.532500000,5.967341,1,105.776608,10.000000,14
46,45,100.134144,70652,0.537573305,0.540500000,2.926695,1,100.134144,10.000000,14
47,45,103.892558,70652,0.548300073,0.553000000,4.699927,1,103.892558,10.000000,14
48,45,101.487725,70652,0.561583932,0.564500000,2.916068,1,101.487725,10.000000,14
49,45,105.137649,70652,0.572479800,0.576000000,3.520200,1,105.137649,10.000000,14
50,45,106.222893,70652,0.585142798,0.589000000,3.857202,1,106.222893,10.000000,14
51,45,108.554162,70652,0.596783023,0.599500000,2.716977,1,108.554162,10.000000,14
52,45,112.116925,70652,0.608826288,0.617500000,8.673712,1,112.116925,10.000000,14
53,45,110.053063,70652,0.622660030,0.628500000,5.839970,1,110.053063,10.000000,14
54,45,109.959032,70652,0.637196778,0.640000000,2.803222,1,109.959032,10.000000,14
55,45,108.431381,70652,0.650813149,0.654500000,3.686851,1,108.431381,10.000000,14
56,45,112.073095,70652,0.663380960,0.666000000,2.619040,1,112.073095,10.000000,14
57,45,112.291609,70652,0.675101501,0.678000000,2.898499,1,112.291609,10.000000,14
58,45,113.277224,70652,0.685270457,0.688000000,2.729543,1,113.277224,10.000000,14
59,45,116.248465,70652,0.695173897,0.699500000,4.326103,1,116.248465,10.000000,14
60,45,110.608100,70652,0.707477578,0.711500000,4.022422,1,110.608100,10.000000,14
61,45,112.603798,70652,0.720299690,0.724500000,4.200310,1,112.603798,10.000000,14
62,45,111.955392,70652,0.733540924,0.737000000,3.459076,1,111.955392,10.000000,14
63,45,113.008543,70652,0.746382789,0.749500000,3.117211,1,113.008543,10.000000,14
64,45,107.288584,70652,0.759110505,0.762000000,2.889495,1,107.288584,10.000000,14
65,45,102.619435,70652,0.770193579,0.774000000,3.806421,1,102.619435,10.000000,14
66,45,99.136697,70652,0.781180817,0.784000000,2.819183,1,99.136697,10.000000,14
67,45,99.745741,70652,0.792155213,0.796000000,3.844787,1,99.745741,10.000000,14
68,45,94.935468,70652,0.805571599,0.812500000,6.928401,1,94.935468,10.000000,14
69,45,95.323777,70652,0.816333372,0.821000000,4.666628,1,95.323777,10.000000,14
70,45,96.273841,70652,0.830342980,0.835000000,4.657020,1,96.273841,10.000000,14
71,45,99.361452,70652,0.840950588,0.845500000,4.549412,1,99.361452,10.000000,14
72,45,94.361613,70652,0.852521496,0.855500000,2.978504,1,94.361613,10.000000,14
73,45,95.639639,70652,0.865094301,0.870500000,5.405699,1,95.639639,10.000000,14
