user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiards,model,adaptive,208.587,0.989,2.81836,1000,1000,11,0,1.0,0.0,0,0,summary
1,billiards,model,adaptive,567.304,0.576,10.2946,1000,989,413,11,0.989,0.011,11,0,summary
2,billiards,model,adaptive,609.949,0.533,6.08695,1000,983,450,17,0.983,0.017,17,0,summary
3,billiards,model,adaptive,319.551,0.891,4.7059,1000,993,102,7,0.993,0.007,7,0,summary
0,billiards,static,5,828.038,0.998,2.27428,1000,1000,2,0,1.0,0.0,0,0,summary
1,billiards,static,5,876.066,0.783,3.05555,1000,1000,217,0,1.0,0.0,0,0,summary
2,billiards,static,5,873.688,0.778,3.11441,1000,1000,222,0,1.0,0.0,0,0,summary
3,billiards,static,5,837.199,0.956,2.41417,1000,1000,44,0,1.0,0.0,0,0,summary
0,billiards,static,10,514.856,0.992,2.30187,1000,1000,8,0,1.0,0.0,0,0,summary
1,billiards,static,10,653.336,0.732,3.22055,1000,1000,268,0,1.0,0.0,0,0,summary
2,billiards,static,10,633.76,0.778,3.17791,1000,1000,222,0,1.0,0.0,0,0,summary
3,billiards,static,10,538.486,0.947,2.45517,1000,1000,53,0,1.0,0.0,0,0,summary
0,billiards,static,15,372.13,0.989,2.33546,1000,1000,11,0,1.0,0.0,0,0,summary
1,billiards,static,15,587.62,0.673,4.95852,1000,998,325,2,0.998,0.002,2,0,summary
2,billiards,static,15,517.059,0.778,3.65958,1000,996,218,4,0.996,0.004,4,0,summary
3,billiards,static,15,418.975,0.92,2.59217,1000,1000,80,0,1.0,0.0,0,0,summary
0,billiards,static,20,283.881,0.992,2.33051,1000,1000,8,0,1.0,0.0,0,0,summary
1,billiards,static,20,546.633,0.653,5.5325,1000,997,344,3,0.997,0.003,3,0,summary
2,billiards,static,20,607.485,0.574,6.18079,1000,985,411,15,0.985,0.015,15,0,summary
3,billiards,static,20,317.793,0.948,2.51917,1000,1000,52,0,1.0,0.0,0,0,summary
0,billiards,static,25,228.847,0.989,3.10541,1000,999,10,1,0.999,0.001,1,0,summary
1,billiards,static,25,557.979,0.594,9.99171,1000,989,395,11,0.989,0.011,11,0,summary
2,billiards,static,25,648.845,0.483,7.06988,1000,970,487,30,0.97,0.03,30,0,summary
3,billiards,static,25,358.67,0.832,6.49617,1000,985,153,15,0.985,0.015,15,0,summary
0,billiards,static,30,187.156,0.989,2.82277,1000,1000,11,0,1.0,0.0,0,0,summary
1,billiards,static,30,528.651,0.598,10.2355,1000,989,391,11,0.989,0.011,11,0,summary
2,billiards,static,30,626.908,0.484,6.32447,1000,971,487,29,0.971,0.029,29,0,summary
3,billiards,static,30,298.344,0.861,5.4685,1000,989,128,11,0.989,0.011,11,0,summary
0,billiards,static,35,151.138,0.994,2.8524,1000,1000,6,0,1.0,0.0,0,0,summary
1,billiards,static,35,557.529,0.544,10.103,1000,985,441,15,0.985,0.015,15,0,summary
2,billiards,static,35,626.687,0.468,6.1757,1000,926,458,74,0.926,0.074,74,0,summary
3,billiards,static,35,269.978,0.862,5.59507,1000,988,126,12,0.988,0.012,12,0,summary
0,billiards,static,40,123.971,0.997,2.88229,1000,1000,3,0,1.0,0.0,0,0,summary
1,billiards,static,40,565.411,0.522,8.81801,1000,978,456,22,0.978,0.022,7,15,summary
2,billiards,static,40,633.767,0.447,6.21442,1000,929,482,71,0.929,0.071,33,38,summary
3,billiards,static,40,282.825,0.826,5.90249,1000,985,159,15,0.985,0.015,1,14,summary
0,billiards,static,45,126.537,0.974,3.16777,1000,999,25,1,0.999,0.001,0,1,summary
1,billiards,static,45,595.201,0.48,9.16365,1000,984,504,16,0.984,0.016,7,9,summary
2,billiards,static,45,740.805,0.327,11.7737,1000,722,395,278,0.722,0.278,191,87,summary
3,billiards,static,45,273.098,0.819,5.6691,1000,984,165,16,0.984,0.016,2,14,summary
0,billiards,static,50,102.418,0.983,2.9957,1000,1000,17,0,1.0,0.0,0,0,summary
1,billiards,static,50,578.958,0.488,8.33894,1000,982,494,18,0.982,0.018,9,9,summary
2,billiards,static,50,867.838,0.189,8.59528,1000,609,420,391,0.609,0.391,319,72,summary
3,billiards,static,50,207.401,0.874,4.55864,1000,989,115,11,0.989,0.011,8,3,summary
0,billiards,static,55,84.904,0.988,3.36013,1000,1000,12,0,1.0,0.0,0,0,summary
1,billiards,static,55,534.202,0.528,7.85519,1000,979,451,21,0.979,0.021,9,12,summary
2,billiards,static,55,894.173,0.16,7.6756,1000,502,342,498,0.502,0.498,415,83,summary
3,billiards,static,55,264.592,0.804,5.30613,1000,982,178,18,0.982,0.018,11,7,summary
0,billiards,static,60,75.2452,0.987,3.41576,1000,1000,13,0,1.0,0.0,0,0,summary
1,billiards,static,60,586.933,0.469,7.45254,1000,983,514,17,0.983,0.017,7,10,summary
2,billiards,static,60,879.657,0.173,8.2162,1000,617,444,383,0.617,0.383,291,92,summary
3,billiards,static,60,308.599,0.751,5.62115,1000,978,227,22,0.978,0.022,13,9,summary
0,billiards,static,65,75.3369,0.978,3.48468,1000,1000,22,0,1.0,0.0,0,0,summary
1,billiards,static,65,690.568,0.361,10.6811,1000,913,552,87,0.913,0.087,27,60,summary
2,billiards,static,65,972.179,0.078,10.3051,1000,440,362,560,0.44,0.56,380,180,summary
3,billiards,static,65,302.781,0.75,5.86573,1000,975,225,25,0.975,0.025,14,11,summary
0,billiards,static,70,75.0593,0.971,3.60446,1000,999,28,1,0.999,0.001,1,0,summary
1,billiards,static,70,689.162,0.36,10.2529,1000,753,393,247,0.753,0.247,93,154,summary
2,billiards,static,70,823.879,0.226,10.5078,1000,706,480,294,0.706,0.294,205,89,summary
3,billiards,static,70,366.261,0.681,5.8725,1000,963,282,37,0.963,0.037,23,14,summary
0,billiards,static,75,72.8909,0.967,3.53744,1000,1000,33,0,1.0,0.0,0,0,summary
1,billiards,static,75,697.553,0.349,9.64834,1000,760,411,240,0.76,0.24,61,179,summary
2,billiards,static,75,980.242,0.069,14.7073,1000,539,470,461,0.539,0.461,366,95,summary
3,billiards,static,75,458.757,0.585,6.63649,1000,936,351,64,0.936,0.064,28,36,summary
0,billiards,static,80,85.9961,0.949,4.04614,1000,998,49,2,0.998,0.002,0,2,summary
1,billiards,static,80,708.902,0.336,12.0869,1000,880,544,120,0.88,0.12,36,84,summary
2,billiards,static,80,984.263,0.065,16.4177,1000,304,239,696,0.304,0.696,508,188,summary
3,billiards,static,80,498.708,0.543,6.42117,1000,936,393,64,0.936,0.064,3,61,summary
