frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,101.897,70652,0.017133605,0.020000000,2.866395,1,101.897005,5.000000,14,0,18,0.000,1
2,45,99.015,70652,0.030423848,0.034000000,3.576152,1,99.015385,5.000000,14,0,18,1.000,6
3,40,119.354,62888,0.041432956,0.044000000,2.567044,1,119.353596,5.000000,14,0,18,0.952,4
4,30,176.760,47360,0.051335897,0.054500000,3.164103,1,176.759719,5.000000,14,0,18,0.989,6
5,30,181.591,47360,0.063480216,0.067500000,4.019784,1,181.591348,5.000000,14,0,18,0.934,5
6,30,171.377,47360,0.076494075,0.080000000,3.505925,1,171.376907,5.000000,14,0,18,0.886,5
7,25,213.094,39596,0.091949898,0.095000000,3.050102,1,213.093622,5.000000,14,0,18,0.981,5
8,25,208.946,39596,0.103508527,0.111500000,7.991473,0,1050.257266,5.000000,14,0,18,0.978,7
9,30,166.681,47360,0.115825813,0.118500000,2.674187,1,166.680931,5.000000,14,0,18,0.857,4
10,25,205.374,39596,0.126795979,0.129500000,2.704021,1,205.374003,5.000000,14,0,18,0.947,4
11,25,206.178,39596,0.137794199,0.140500000,2.705801,1,206.178071,5.000000,14,0,18,0.982,6
12,30,164.707,47360,0.149571834,0.152500000,2.928166,1,164.706900,5.000000,14,0,18,0.066,3
13,30,168.211,47360,0.162844049,0.165500000,2.655951,1,168.210847,5.000000,14,0,18,0.992,7
14,30,161.211,47360,0.174039180,0.177000000,2.960820,1,161.211378,5.000000,14,0,18,0.001,4
15,30,167.950,47360,0.184171731,0.187500000,3.328269,1,167.949810,5.000000,14,0,18,0.919,4
16,30,167.447,47360,0.195851851,0.199000000,3.148149,1,167.446532,5.000000,14,0,18,0.974,3
17,25,218.784,39596,0.208198142,0.215000000,6.801858,0,1050.257266,5.000000,14,0,18,0.963,6
18,25,218.832,39596,0.220793702,0.225000000,4.206298,1,218.831700,5.000000,14,0,18,0.025,4
19,30,180.913,47360,0.231855508,0.235000000,3.144492,1,180.912982,5.000000,14,0,18,0.999,7
20,30,180.156,47360,0.242607123,0.246000000,3.392877,1,180.155890,5.000000,14,0,18,0.992,6
21,30,185.622,47360,0.252878167,0.255500000,2.621833,1,185.621606,5.000000,14,0,18,0.938,4
22,30,180.756,47360,0.265418374,0.268000000,2.581626,1,180.756168,5.000000,14,0,18,1.003,5
23,25,230.267,39596,0.278608712,0.281500000,2.891288,1,230.267192,5.000000,14,0,18,1.004,6
24,30,184.834,47360,0.289390619,0.294000000,4.609381,1,184.833846,5.000000,14,0,18,1.004,7
25,25,234.981,39596,0.303097167,0.310500000,7.402833,0,1050.257266,5.000000,14,0,18,0.879,7
26,25,228.857,39596,0.314429490,0.317500000,3.070510,1,228.857435,5.000000,14,0,18,1.000,8
27,25,232.019,39596,0.325635688,0.329500000,3.864312,1,232.019308,5.000000,14,0,18,0.865,8
28,25,230.843,39596,0.337197567,0.340000000,2.802433,1,230.843076,5.000000,14,0,18,0.443,6
29,25,240.524,39596,0.347880064,0.350500000,2.619936,1,240.523752,5.000000,14,0,18,0.934,7
30,25,239.292,39596,0.361304818,0.364500000,3.195182,1,239.291912,5.000000,14,0,18,0.000,6
31,30,193.204,47360,0.377964474,0.380500000,2.535526,1,193.203811,5.000000,14,0,18,0.765,6
32,30,190.165,47360,0.388525352,0.391500000,2.974648,1,190.165394,5.000000,14,0,18,0.905,7
33,30,191.885,47360,0.399715944,0.409000000,9.284056,0,1050.257266,5.000000,14,0,18,0.850,8
34,30,183.527,47360,0.410978095,0.417000000,6.021905,0,1050.257266,5.000000,14,0,18,0.937,6
35,30,192.469,47360,0.423999813,0.428500000,4.500187,1,192.468543,5.000000,14,0,18,0.879,9
36,30,187.327,47360,0.435804785,0.439000000,3.195215,1,187.326521,5.000000,14,0,18,1.003,7
37,30,195.809,47360,0.446906383,0.451500000,4.593617,1,195.808775,5.000000,14,0,18,0.966,7
38,30,189.464,47360,0.459564763,0.462500000,2.935237,1,189.464151,5.000000,14,0,18,0.003,6
39,30,190.895,47360,0.472484763,0.476500000,4.015237,1,190.895063,5.000000,14,0,18,0.641,7
40,30,184.601,47360,0.483765235,0.487000000,3.234765,1,184.601393,5.000000,14,0,18,0.838,6
41,30,189.608,47360,0.495756771,0.499500000,3.743229,1,189.607979,5.000000,14,0,18,1.000,8
42,30,184.957,47360,0.508098561,0.523000000,14.901439,0,1050.257266,5.000000,12,0,18,0.736,5
43,30,185.763,47360,0.524544874,0.532000000,7.455126,0,1050.257266,5.000000,12,0,18,0.000,4
44,25,236.447,39596,0.537831524,0.542500000,4.668476,1,236.447213,5.000000,12,0,18,0.241,5
45,30,187.024,47360,0.551377671,0.558500000,7.122329,0,1050.257266,5.000000,12,0,18,0.842,6
46,30,179.620,47360,0.563981097,0.567000000,3.018903,1,179.619683,5.000000,12,0,18,0.209,5
47,30,184.846,47360,0.573872906,0.580000000,6.127094,0,1050.257266,5.000000,12,0,18,0.000,4
48,30,181.240,47360,0.584163762,0.592000000,7.836238,0,1050.257266,5.000000,12,0,18,0.992,7
49,30,185.778,47360,0.595926788,0.598500000,2.573212,1,185.778304,5.000000,12,0,18,0.989,7
50,30,188.672,47360,0.608319528,0.624500000,16.180472,0,1050.257266,5.000000,11,31782,18,0.735,5
51,30,191.783,47360,0.620600076,0.636500000,15.899924,0,1050.257266,5.000000,11,13480,18,0.787,7
52,30,196.375,47360,0.631006531,0.640500000,9.493469,0,1050.257266,5.000000,11,13480,18,0.988,7
53,30,191.796,47360,0.641867276,0.648000000,6.132724,0,1050.257266,5.000000,11,0,18,0.651,8
54,30,190.996,47360,0.652662663,0.659500000,6.837337,0,1050.257266,5.000000,11,0,18,0.806,5
55,30,188.203,47360,0.665439912,0.673500000,8.060088,0,1050.257266,5.000000,11,0,18,0.003,6
56,30,190.754,47360,0.675889724,0.680500000,4.610276,1,190.754335,5.000000,11,0,18,0.985,5
57,30,193.045,47360,0.687685968,0.695000000,7.314032,0,1050.257266,5.000000,11,0,18,0.542,8
58,30,193.312,47360,0.697979436,0.701000000,3.020564,1,193.311772,5.000000,11,0,18,0.971,6
59,30,198.590,47360,0.709197021,0.715500000,6.302979,0,1050.257266,5.000000,14,0,18,1.004,8
60,30,193.152,47360,0.719716171,0.723000000,3.283829,1,193.151618,5.000000,14,0,18,0.809,6
61,25,244.847,39596,0.732609803,0.735500000,2.890197,1,244.847446,5.000000,14,0,18,0.992,6
62,25,243.966,39596,0.743812793,0.748000000,4.187207,1,243.966081,5.000000,14,0,18,0.750,6
63,30,196.211,47360,0.759148871,0.762000000,2.851129,1,196.210867,5.000000,14,0,18,0.809,5
64,30,185.491,47360,0.770434268,0.774500000,4.065732,1,185.491171,5.000000,14,0,18,0.809,6
