frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,15,398.014,24067,0.023597393,0.026000000,2.402607,1,398.013950,5.000000,14
2,15,391.408289,24067,0.043224266,0.046000000,2.775734,1,391.408289,5.000000,14
3,15,393.233064,24067,0.063771030,0.066000000,2.228970,1,393.233064,5.000000,14
4,15,387.199618,24067,0.082147163,0.085000000,2.852837,1,387.199618,5.000000,14
5,15,391.636290,24067,0.100542439,0.103000000,2.457561,1,391.636290,5.000000,14
6,30,171.376907,47360,0.120626324,0.127000000,6.373676,0,1050.257266,5.000000,14
7,60,56.636939,93944,0.143218999,0.151000000,7.781001,0,1050.257266,5.000000,14
8,15,369.309914,24067,0.162133727,0.166500000,4.366273,1,369.309914,5.000000,14
9,15,371.659903,24067,0.182702678,0.185500000,2.797322,1,371.659903,5.000000,14
10,30,162.091511,47360,0.202802548,0.215000000,12.197452,0,1050.257266,5.000000,14
11,15,361.437299,24067,0.222326642,0.224500000,2.173358,1,361.437299,5.000000,14
12,15,362.412266,24067,0.243039636,0.248000000,4.960364,1,362.412266,5.000000,14
13,15,368.501446,24067,0.263094649,0.265500000,2.405351,1,368.501446,5.000000,14
14,15,360.625444,24067,0.281742759,0.284500000,2.757241,1,360.625444,5.000000,14
15,15,369.063518,24067,0.302279352,0.311500000,9.220648,0,1050.257266,5.000000,14
16,15,368.415539,24067,0.321269179,0.323500000,2.230821,1,368.415539,5.000000,14
17,15,379.572189,24067,0.342611143,0.347500000,4.888857,1,379.572189,5.000000,14
18,60,55.651886,93944,0.361483514,0.365500000,4.016486,1,55.651886,5.000000,14
19,15,397.738190,24067,0.381402619,0.383500000,2.097381,1,397.738190,5.000000,14
20,15,396.021371,24067,0.399971344,0.405500000,5.528656,0,1050.257266,5.000000,14
21,15,402.780618,24067,0.418495514,0.421500000,3.004486,1,402.780618,5.000000,14
22,15,393.720167,24067,0.438740716,0.442500000,3.759284,1,393.720167,5.000000,14
23,5,910.983384,8540,0.458540907,0.461000000,2.459093,1,910.983384,5.000000,14
24,15,397.684719,24067,0.477337563,0.483000000,5.662437,0,1050.257266,5.000000,14
25,75,38.987509,117236,0.497466273,0.506000000,8.533727,0,1050.257266,5.000000,14
26,75,36.403555,117236,0.515852258,0.528000000,12.147742,0,1050.257266,5.000000,14
27,35,148.909228,55124,0.535045169,0.538500000,3.454831,1,148.909228,5.000000,14
28,5,936.036427,8540,0.556887860,0.559000000,2.112140,1,936.036427,5.000000,14
29,15,418.664047,24067,0.576126663,0.578500000,2.373337,1,418.664047,5.000000,14
30,15,414.254572,24067,0.597288770,0.599500000,2.211230,1,414.254572,5.000000,14
31,15,412.059713,24067,0.616131811,0.624500000,8.368189,0,1050.257266,5.000000,14
32,15,412.960526,24067,0.635945791,0.641000000,5.054209,0,1050.257266,5.000000,14
33,15,417.925738,24067,0.655440590,0.658000000,2.559410,1,417.925738,5.000000,14
34,15,409.713609,24067,0.674203760,0.676500000,2.296240,1,409.713609,5.000000,14
35,15,412.018857,24067,0.693619781,0.696000000,2.380219,1,412.018857,5.000000,14
36,15,406.552568,24067,0.712373683,0.717500000,5.126317,0,1050.257266,5.000000,14
37,30,195.808775,47360,0.733103685,0.736000000,2.896315,1,195.808775,5.000000,14
38,15,411.482445,24067,0.753046645,0.756000000,2.953355,1,411.482445,5.000000,14
39,15,406.465019,24067,0.775387809,0.777500000,2.112191,1,406.465019,5.000000,14
40,30,184.601393,47360,0.795896523,0.798500000,2.603477,1,184.601393,5.000000,14
41,15,397.763893,24067,0.814685496,0.823500000,8.814504,0,1050.257266,5.000000,14
42,15,389.954642,24067,0.833831164,0.837000000,3.168836,1,389.954642,5.000000,14
43,15,388.704824,24067,0.853687715,0.857000000,3.312285,1,388.704824,5.000000,14
44,15,390.878518,24067,0.872864580,0.879000000,6.135420,0,1050.257266,5.000000,14
45,75,40.004278,117236,0.893657779,0.899500000,5.842221,0,1050.257266,5.000000,14
46,15,370.175216,24067,0.914509912,0.921000000,6.490088,0,1050.257266,5.000000,14
47,15,377.444659,24067,0.934349947,0.936500000,2.150053,1,377.444659,5.000000,14
48,15,378.688566,24067,0.953582395,0.956500000,2.917605,1,378.688566,5.000000,14
49,30,185.778304,47360,0.972525671,0.978500000,5.974329,0,1050.257266,5.000000,14
50,15,391.732705,24067,0.993027584,0.995500000,2.472416,1,391.732705,5.000000,14
51,15,401.077353,24067,1.012001826,1.015500000,3.498174,1,401.077353,5.000000,14
52,35,161.324596,55124,1.032185311,1.035000000,2.814689,1,161.324596,5.000000,14
53,5,932.658897,8540,1.050664863,1.053000000,2.335137,1,932.658897,5.000000,14
54,10,559.271925,16304,1.069217111,1.071500000,2.282889,1,559.271925,5.000000,14
55,15,393.406565,24067,1.087971024,1.090500000,2.528976,1,393.406565,5.000000,14
56,15,395.497968,24067,1.107771445,1.110000000,2.228555,1,395.497968,5.000000,14
57,30,193.044541,47360,1.129452958,1.132500000,3.047042,1,193.044541,5.000000,14
58,30,193.311772,47360,1.148400062,1.155000000,6.599938,0,1050.257266,5.000000,14
59,15,405.710092,24067,1.168796477,1.171000000,2.203523,1,405.710092,5.000000,14
60,15,398.103342,24067,1.187935363,1.192000000,4.064637,1,398.103342,5.000000,14
61,15,408.751051,24067,1.207567091,1.213500000,5.932909,0,1050.257266,5.000000,14
62,15,407.554719,24067,1.227189437,1.231000000,3.810563,1,407.554719,5.000000,14
63,15,401.042637,24067,1.246299576,1.248500000,2.200424,1,401.042637,5.000000,14
64,30,185.491171,47360,1.264926881,1.271000000,6.073119,0,1050.257266,5.000000,14
65,10,527.207488,16304,1.284228523,1.288500000,4.271477,1,527.207488,5.000000,14
66,30,173.041773,47360,1.302772976,1.308500000,5.727024,0,1050.257266,5.000000,14
67,30,174.896486,47360,1.321633690,1.324500000,2.866310,1,174.896486,5.000000,14
68,15,353.263236,24067,1.339879811,1.342500000,2.620189,1,353.263236,5.000000,14
69,15,350.482468,24067,1.359080898,1.362500000,3.419102,1,350.482468,5.000000,14
70,30,170.781957,47360,1.380624497,1.383500000,2.875503,1,170.781957,5.000000,14
71,15,363.899589,24067,1.401136458,1.406500000,5.363542,0,1050.257266,5.000000,14
72,15,359.998024,24067,1.419856746,1.422000000,2.143254,1,359.998024,5.000000,14
73,15,357.037500,24067,1.438202624,1.442000000,3.797376,1,357.037500,5.000000,14
74,15,356.297848,24067,1.459023224,1.461500000,2.476776,1,356.297848,5.000000,14
75,15,358.220373,24067,1.479258919,1.482500000,3.241081,1,358.220373,5.000000,14
76,15,357.468918,24067,1.499681716,1.502000000,2.318284,1,357.468918,5.000000,14
77,30,174.496057,47360,1.518162715,1.525000000,6.837285,0,1050.257266,5.000000,14
78,15,354.272609,24067,1.536423043,1.538500000,2.076957,1,354.272609,5.000000,14
79,15,360.271754,24067,1.555158602,1.557500000,2.341398,1,360.271754,5.000000,14
80,15,362.834716,24067,1.573814902,1.576000000,2.185098,1,362.834716,5.000000,14
81,15,362.024713,24067,1.592824010,1.596000000,3.175990,1,362.024713,5.000000,14
82,15,361.808037,24067,1.611232804,1.614500000,3.267196,1,361.808037,5.000000,14
83,15,365.723301,24067,1.629541201,1.632000000,2.458799,1,365.723301,5.000000,14
84,15,365.012609,24067,1.648377416,1.650500000,2.122584,1,365.012609,5.000000,14
85,15,370.707695,24067,1.670356053,1.673500000,3.143947,1,370.707695,5.000000,14
86,30,171.927395,47360,1.689691784,1.693000000,3.308216,1,171.927395,5.000000,14
87,15,360.991604,24067,1.710844962,1.715500000,4.655038,1,360.991604,5.000000,14
88,30,173.463680,47360,1.732749143,1.737000000,4.250857,1,173.463680,5.000000,14
89,40,118.129818,62888,1.751160764,1.761000000,9.839236,0,1050.257266,5.000000,14
90,10,548.920572,16304,1.771821327,1.774500000,2.678673,1,548.920572,5.000000,14
91,15,383.520769,24067,1.796304466,1.799500000,3.195534,1,383.520769,5.000000,14
92,15,374.204505,24067,1.814956103,1.820000000,5.043897,0,1050.257266,5.000000,14
93,15,378.490651,24067,1.836675762,1.839000000,2.324238,1,378.490651,5.000000,14
94,15,375.149036,24067,1.857309538,1.861000000,3.690462,1,375.149036,5.000000,14
95,15,369.215622,24067,1.876964828,1.879500000,2.535172,1,369.215622,5.000000,14
96,15,366.103501,24067,1.899260666,1.904000000,4.739334,1,366.103501,5.000000,14
97,30,175.435916,47360,1.918580745,1.923500000,4.919255,1,175.435916,5.000000,14
98,15,370.619991,24067,1.937655106,1.940500000,2.844894,1,370.619991,5.000000,14
99,15,378.119336,24067,1.959059483,1.962000000,2.940517,1,378.119336,5.000000,14
100,15,384.935223,24067,1.977480228,1.980000000,2.519772,1,384.935223,5.000000,14
101,15,396.764793,24067,1.996329662,1.998500000,2.170338,1,396.764793,5.000000,14
102,15,389.763479,24067,2.015148587,2.024000000,8.851413,0,1050.257266,5.000000,14
103,30,171.136945,47360,2.034759298,2.037500000,2.740702,1,171.136945,5.000000,14
104,15,369.436616,24067,2.053652421,2.057500000,3.847579,1,369.436616,5.000000,14
105,15,351.896488,24067,2.072580299,2.075000000,2.419701,1,351.896488,5.000000,14
106,35,132.792864,55124,2.091683366,2.095000000,3.316634,1,132.792864,5.000000,14
107,15,355.344824,24067,2.110000559,2.118500000,8.499441,0,1050.257266,5.000000,14
108,10,510.844810,16304,2.129534441,2.132500000,2.965559,1,510.844810,5.000000,14
109,15,365.155729,24067,2.150344467,2.153000000,2.655533,1,365.155729,5.000000,14
110,15,373.206189,24067,2.169741463,2.173000000,3.258537,1,373.206189,5.000000,14
111,15,364.500434,24067,2.189352075,2.192000000,2.647925,1,364.500434,5.000000,14
112,15,372.286177,24067,2.208470645,2.214000000,5.529355,0,1050.257266,5.000000,14
113,15,362.267954,24067,2.229763312,2.232000000,2.236688,1,362.267954,5.000000,14
114,15,355.448908,24067,2.250679173,2.253000000,2.320827,1,355.448908,5.000000,14
115,15,351.702905,24067,2.271902874,2.274000000,2.097126,1,351.702905,5.000000,14
116,15,356.553246,24067,2.290143663,2.293000000,2.856337,1,356.553246,5.000000,14
117,15,346.885060,24067,2.309441779,2.328000000,18.558221,0,1050.257266,5.000000,14
118,40,107.839480,62888,2.328890960,2.333500000,4.609040,1,107.839480,5.000000,14
119,15,331.133360,24067,2.347800496,2.357000000,9.199504,0,1050.257266,5.000000,14
120,15,338.190662,24067,2.369003736,2.380500000,11.496264,0,1050.257266,5.000000,14
121,15,344.265866,24067,2.388550790,2.391000000,2.449210,1,344.265866,5.000000,14
122,15,351.591802,24067,2.407898687,2.422500000,14.601313,0,1050.257266,5.000000,14
123,15,354.648959,24067,2.426695392,2.432500000,5.804608,0,1050.257266,5.000000,14
124,15,352.137376,24067,2.447732710,2.451000000,3.267290,1,352.137376,5.000000,14
125,15,337.359277,24067,2.467123793,2.469500000,2.376207,1,337.359277,5.000000,14
126,75,33.349392,117236,2.486322307,2.492500000,6.177693,0,1050.257266,5.000000,14
127,15,338.240931,24067,2.507091188,2.514000000,6.908812,0,1050.257266,5.000000,14
128,15,338.671846,24067,2.525844260,2.529000000,3.155740,1,338.671846,5.000000,14
129,15,342.517627,24067,2.545058347,2.554500000,9.441653,0,1050.257266,5.000000,14
130,30,160.905336,47360,2.564881711,2.572000000,7.118289,0,1050.257266,5.000000,14
131,75,33.577044,117236,2.584077946,2.589500000,5.422054,0,1050.257266,5.000000,14
132,15,335.204443,24067,2.602821382,2.609500000,6.678618,0,1050.257266,5.000000,14
133,15,340.147476,24067,2.624787804,2.627000000,2.212196,1,340.147476,5.000000,14
134,75,30.954849,117236,2.643136259,2.647500000,4.363741,1,30.954849,5.000000,14
135,10,498.140558,16304,2.664414765,2.666500000,2.085235,1,498.140558,5.000000,14
136,15,336.224604,24067,2.683441153,2.685500000,2.058847,1,336.224604,5.000000,14
137,15,335.296316,24067,2.701912092,2.709500000,7.587908,0,1050.257266,5.000000,14
138,15,337.412251,24067,2.721240625,2.724500000,3.259375,1,337.412251,5.000000,14
139,15,327.180543,24067,2.739797550,2.742000000,2.202450,1,327.180543,5.000000,14
140,15,324.176928,24067,2.760027195,2.763500000,3.472805,1,324.176928,5.000000,14
141,15,321.407105,24067,2.778631157,2.785000000,6.368843,0,1050.257266,5.000000,14
