frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,40,121.758,62888,0.026462107,0.029500000,3.037893,1,121.757707,5.000000,14
2,40,119.027943,62888,0.049147119,0.052000000,2.852881,1,119.027943,5.000000,14
3,40,119.353596,62888,0.069908885,0.072500000,2.591115,1,119.353596,5.000000,14
4,40,118.045421,62888,0.090138188,0.093000000,2.861812,1,118.045421,5.000000,14
5,40,121.243911,62888,0.109785922,0.118500000,8.714078,0,1050.257266,5.000000,14
6,40,114.568645,62888,0.129176255,0.132500000,3.323745,1,114.568645,5.000000,14
7,40,113.442923,62888,0.147495134,0.153500000,6.004866,0,1050.257266,5.000000,14
8,40,110.952099,62888,0.169552400,0.172500000,2.947600,1,110.952099,5.000000,14
9,40,110.679144,62888,0.188287497,0.192500000,4.212503,1,110.679144,5.000000,14
10,40,106.875606,62888,0.210192404,0.221000000,10.807596,0,1050.257266,5.000000,14
11,40,109.912415,62888,0.230728175,0.233500000,2.771825,1,109.912415,5.000000,14
12,40,109.496058,62888,0.250814411,0.253500000,2.685589,1,109.496058,5.000000,14
13,40,112.937272,62888,0.270049863,0.273000000,2.950137,1,112.937272,5.000000,14
14,40,106.815978,62888,0.288680797,0.291500000,2.819203,1,106.815978,5.000000,14
15,40,111.729670,62888,0.308308071,0.314000000,5.691929,0,1050.257266,5.000000,14
16,40,110.110412,62888,0.327884836,0.331000000,3.115164,1,110.110412,5.000000,14
17,40,116.159169,62888,0.346125197,0.352000000,5.874803,0,1050.257266,5.000000,14
18,40,114.564365,62888,0.366988569,0.370500000,3.511431,1,114.564365,5.000000,14
19,40,119.539684,62888,0.388011007,0.392000000,3.988993,1,119.539684,5.000000,14
20,40,118.286014,62888,0.406299105,0.413000000,6.700895,0,1050.257266,5.000000,13
21,40,123.205480,62888,0.427624371,0.435500000,7.875629,0,1050.257266,5.000000,13
22,40,119.125414,62888,0.447128666,0.454000000,6.871334,0,1050.257266,5.000000,13
23,40,121.786816,62888,0.466541446,0.472500000,5.958554,0,1050.257266,5.000000,13
24,40,124.343484,62888,0.486385361,0.493000000,6.614639,0,1050.257266,5.000000,13
25,40,127.080263,62888,0.505151552,0.512500000,7.348448,0,1050.257266,5.000000,13
26,40,120.707082,62888,0.525278124,0.530500000,5.221876,0,1050.257266,5.000000,13
27,40,121.913408,62888,0.548052861,0.552000000,3.947139,1,121.913408,5.000000,13
28,40,122.012282,62888,0.570236108,0.576000000,5.763892,0,1050.257266,5.000000,13
29,40,129.689561,62888,0.589677577,0.600000000,10.322423,0,1050.257266,5.000000,13
30,40,127.514454,62888,0.608650347,0.618500000,9.849653,0,1050.257266,5.000000,13
31,40,128.218609,62888,0.628995895,0.632500000,3.504105,1,128.218609,5.000000,13
32,40,124.964186,62888,0.647526232,0.654500000,6.973768,0,1050.257266,5.000000,13
33,40,128.766990,62888,0.667689043,0.673500000,5.810957,0,1050.257266,5.000000,13
34,40,121.682866,62888,0.686911844,0.695000000,8.088156,0,1050.257266,5.000000,13
36,40,124.734029,62888,0.728250753,0.810500000,82.249247,0,1050.257266,5.000000,12
37,40,130.536748,62888,0.747173972,0.810500000,63.326028,0,1050.257266,5.000000,12
