frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,55,72.4936,86180,0.015776430,0.019000000,3.223570,1,72.493617,5.000000,14,0,18,0.278,1
2,55,70.007,86180,0.029137628,0.033500000,4.362372,1,70.007196,5.000000,14,0,18,1.000,7
3,55,70.402,86180,0.042456584,0.048500000,6.043416,0,1050.257266,5.000000,14,0,18,1.000,8
4,55,69.007,86180,0.059912277,0.063000000,3.087723,1,69.006904,5.000000,14,0,18,0.780,6
5,55,71.210,86180,0.073681594,0.078000000,4.318406,1,71.209809,5.000000,14,0,18,0.872,5
6,55,68.037,86180,0.087953604,0.094000000,6.046396,0,1050.257266,5.000000,14,0,18,0.861,8
7,55,66.804,86180,0.104124817,0.111000000,6.875183,0,1050.257266,5.000000,14,0,18,0.989,8
8,55,64.646,86180,0.122033781,0.129000000,6.966219,0,1050.257266,5.000000,14,0,18,0.934,8
9,55,64.610,86180,0.137006278,0.143000000,5.993722,0,1050.257266,5.000000,14,0,18,0.949,7
10,55,62.705,86180,0.150710170,0.154000000,3.289830,1,62.705449,5.000000,14,0,18,0.864,6
11,55,64.238,86180,0.164612425,0.168000000,3.387575,1,64.238485,5.000000,14,0,18,0.912,8
12,55,64.096,86180,0.178256874,0.183500000,5.243126,0,1050.257266,5.000000,14,0,18,0.864,7
13,55,66.229,86180,0.191092027,0.194500000,3.407973,1,66.229427,5.000000,14,0,18,0.802,5
14,55,63.273,86180,0.206100493,0.216500000,10.399507,0,1050.257266,5.000000,14,0,18,1.000,7
15,55,65.400,86180,0.221407554,0.224500000,3.092446,1,65.399942,5.000000,14,0,18,0.993,9
16,55,63.166,86180,0.234318042,0.241000000,6.681958,0,1050.257266,5.000000,14,0,18,0.861,8
17,55,66.708,86180,0.247427994,0.250500000,3.072006,1,66.708383,5.000000,14,0,18,0.941,8
18,55,66.158,86180,0.260759088,0.268000000,7.240912,0,1050.257266,5.000000,14,0,18,0.952,10
19,55,69.174,86180,0.273656106,0.277500000,3.843894,1,69.174132,5.000000,14,0,18,0.981,8
20,55,68.595,86180,0.287009272,0.294500000,7.490728,0,1050.257266,5.000000,14,0,18,0.930,8
22,55,69.014,86180,0.313091546,0.362000000,48.908454,0,1050.257266,5.000000,14,0,18,0.820,7
23,55,71.596,86180,0.328402853,0.362000000,33.597147,0,1050.257266,5.000000,14,0,18,0.820,7
24,55,72.655,86180,0.341616378,0.362000000,20.383622,0,1050.257266,5.000000,14,0,18,0.820,7
25,55,74.464,86180,0.355835205,0.363000000,7.164795,0,1050.257266,5.000000,14,0,18,0.820,7
26,55,70.541,86180,0.370916561,0.375000000,4.083439,1,70.540897,5.000000,14,0,18,0.916,8
27,55,71.543,86180,0.383914117,0.388000000,4.085883,1,71.542780,5.000000,14,0,18,0.915,8
28,55,71.502,86180,0.396650307,0.400000000,3.349693,1,71.502120,5.000000,14,0,18,0.724,6
29,55,76.804,86180,0.411007331,0.420500000,9.492669,0,1050.257266,5.000000,14,0,18,0.989,9
30,55,74.261,86180,0.424430287,0.429000000,4.569713,1,74.260933,5.000000,14,0,18,0.915,10
31,55,75.044,86180,0.437435502,0.443500000,6.064498,0,1050.257266,5.000000,14,0,18,0.941,8
32,55,72.706,86180,0.450279584,0.453500000,3.220416,1,72.706322,5.000000,14,0,18,0.798,8
33,55,75.927,86180,0.465717758,0.470000000,4.282242,1,75.926766,5.000000,14,0,18,1.004,9
34,55,69.783,86180,0.480023656,0.483500000,3.476344,1,69.782965,5.000000,14,0,18,1.004,8
35,55,73.104,86180,0.495858708,0.500000000,4.141292,1,73.103559,5.000000,14,0,18,0.993,10
37,55,76.940,86180,0.521914469,0.586500000,64.585531,0,1050.257266,5.000000,14,0,18,0.981,10
38,55,75.214,86180,0.538112347,0.586500000,48.387653,0,1050.257266,5.000000,14,0,18,0.981,10
39,55,76.183,86180,0.551801113,0.586500000,34.698887,0,1050.257266,5.000000,14,0,18,0.981,10
40,55,73.411,86180,0.568862235,0.586500000,17.637765,0,1050.257266,5.000000,14,0,18,0.981,10
41,55,76.089,86180,0.582267776,0.588000000,5.732224,0,1050.257266,5.000000,14,0,18,0.981,10
42,55,72.747,86180,0.596753437,0.600500000,3.746563,1,72.746603,5.000000,14,0,18,1.000,9
43,55,74.538,86180,0.610149082,0.622000000,11.850918,0,1050.257266,5.000000,14,0,18,0.938,9
44,55,74.887,86180,0.625980822,0.632500000,6.519178,0,1050.257266,5.000000,14,0,18,0.945,8
45,55,75.238,86180,0.639947194,0.645500000,5.552806,0,1050.257266,5.000000,14,0,18,1.000,9
46,55,71.589,86180,0.654384607,0.661500000,7.115393,0,1050.257266,5.000000,14,0,18,1.004,9
47,55,73.984,86180,0.668208221,0.676500000,8.291779,0,1050.257266,5.000000,14,0,18,0.945,8
48,55,71.877,86180,0.683508293,0.687500000,3.991707,1,71.877212,5.000000,14,0,18,0.945,9
49,55,75.210,86180,0.697039024,0.703500000,6.460976,0,1050.257266,5.000000,14,0,18,0.945,9
50,55,75.181,86180,0.710885193,0.717500000,6.614807,0,1050.257266,5.000000,14,0,18,1.000,9
51,55,77.308,86180,0.729888562,0.734500000,4.611438,1,77.307663,5.000000,14,0,18,0.938,8
52,55,80.661,86180,0.743200853,0.746500000,3.299147,1,80.661351,5.000000,14,0,18,0.974,9
53,55,78.253,86180,0.756356008,0.760500000,4.143992,1,78.253412,5.000000,14,0,18,0.974,8
54,55,79.234,86180,0.769312454,0.773000000,3.687546,1,79.233820,5.000000,14,0,18,1.000,9
55,55,78.007,86180,0.782607548,0.787000000,4.392452,1,78.006576,5.000000,14,0,18,0.978,8
56,55,81.102,86180,0.797133456,0.805000000,7.866544,0,1050.257266,5.000000,14,0,18,0.982,8
57,55,81.040,86180,0.811892804,0.821500000,9.607196,0,1050.257266,5.000000,14,0,18,1.004,9
58,55,81.898,86180,0.829573130,0.839000000,9.426870,0,1050.257266,5.000000,14,0,18,0.989,9
59,55,83.886,86180,0.848550016,0.854000000,5.449984,0,1050.257266,5.000000,14,0,18,1.004,10
60,55,79.225,86180,0.866531006,0.872500000,5.968994,0,1050.257266,5.000000,14,0,18,1.000,8
61,55,80.525,86180,0.880015440,0.886000000,5.984560,0,1050.257266,5.000000,14,0,18,0.905,7
62,55,80.047,86180,0.893040526,0.901500000,8.459474,0,1050.257266,5.000000,14,0,18,0.996,7
63,55,80.750,86180,0.908633089,0.923500000,14.866911,0,1050.257266,5.000000,14,0,18,1.000,8
64,55,76.709,86180,0.922247698,0.926500000,4.252302,1,76.709323,5.000000,14,0,18,1.000,8
65,55,73.600,86180,0.938649164,0.945500000,6.850836,0,1050.257266,5.000000,14,0,18,0.791,7
66,55,71.567,86180,0.953516661,0.960500000,6.983339,0,1050.257266,5.000000,14,0,18,0.904,7
67,55,71.696,86180,0.968223648,0.975000000,6.776352,0,1050.257266,5.000000,14,0,18,1.000,9
68,55,67.512,86180,0.983224526,0.989500000,6.275474,0,1050.257266,5.000000,14,0,18,0.982,8
69,55,68.872,86180,0.996649079,1.004500000,7.850921,0,1050.257266,5.000000,14,0,18,1.004,8
70,55,69.025,86180,1.009450466,1.026500000,17.049534,0,1050.257266,5.000000,14,5480,18,0.985,9
71,55,71.814,86180,1.022610436,1.032500000,9.889564,0,1050.257266,5.000000,14,5480,18,0.905,9
72,55,67.334,86180,1.038218229,1.042000000,3.781771,1,67.334448,5.000000,14,0,18,0.934,7
73,55,68.385,86180,1.051449158,1.067500000,16.050842,0,1050.257266,5.000000,14,10548,18,0.993,7
74,55,68.892,86180,1.064784561,1.069000000,4.215439,1,68.891877,5.000000,14,10548,18,0.993,7
75,55,69.871,86180,1.078318497,1.082500000,4.181503,1,69.870540,5.000000,14,0,18,0.967,8
76,55,67.482,86180,1.091019600,1.100500000,9.480400,0,1050.257266,5.000000,14,0,18,0.967,9
77,55,69.776,86180,1.103815268,1.118000000,14.184732,0,1050.257266,5.000000,14,0,18,1.004,10
78,55,68.893,86180,1.119811617,1.127000000,7.188383,0,1050.257266,5.000000,14,0,18,0.996,9
79,55,70.450,86180,1.132566474,1.141000000,8.433526,0,1050.257266,5.000000,14,0,18,0.949,9
80,55,69.533,86180,1.149568597,1.161000000,11.431403,0,1050.257266,5.000000,14,0,18,0.949,7
