frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
1,1,60,1074.201364,2.551307,15,120,50,1084.771489,2.629946,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1061.100488322931,2.2801487265561886
2,1,80,989.621637,2.900403,15,120,80,989.621637,8.842121,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,989.6216373193664,2.450896476038435
3,1,60,916.91227,2.833185,15,120,30,1064.407977,2.096435,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,903.3712832259092,2.697785438491063
4,1,35,914.555104,2.139993,15,120,65,804.057512,2.74331,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,799.5569401548489,3.052767880087351
5,1,5,2444.87049,2.447323,15,120,55,722.702444,5.081335,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,691.3643319593856,3.536298267953086
6,1,55,632.486237,2.794687,15,120,1,4983.112751,2.485825,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,595.7707471135429,4.098617627299448
7,1,15,2000.24545,2.030405,15,120,30,798.150749,2.323185,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,498.0101411686238,4.879749887979912
9,1,1,5053.688672,2.431968,15,120,65,414.078377,5.790185,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,405.1920177244018,5.974624607652211
10,1,25,966.521473,2.183439,15,120,5,2411.170102,2.493868,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,378.79753896381897,6.36532673526296
11,1,5,2402.451732,2.23556,15,120,20,1329.148905,2.358646,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,326.42608466195054,7.359864437110738
13,1,70,285.64106,2.57799,15,120,50,371.21839,3.047339,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,279.3813045571276,8.495223643965197
15,1,70,388.194333,2.708231,15,120,65,392.43997,2.876978,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,382.3106579462768,6.173429228557191
16,1,75,451.024857,2.820153,15,120,80,446.673307,2.618867,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,446.67330722923214,5.29974017484536
18,1,30,783.877367,2.133847,15,120,1,5119.975567,2.187122,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,578.5694212979884,4.099772055334623
