user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,1050.2572660000003,0.0,3.610660708
1,billiards,model,adaptive,1050.2572660000005,0.0,8.853361308411214
2,billiards,model,adaptive,1050.2572660000003,0.0,4.882581401183431
3,billiards,model,adaptive,1050.2572660000005,0.0,6.541618365602471
0,billiards,static,5,835.353340745,0.97,2.2742845020000004
1,billiards,static,5,882.416940558,0.753,3.0555524450000004
2,billiards,static,5,884.575400871,0.735,3.11441381
3,billiards,static,5,844.728441487,0.921,2.414172667
0,billiards,static,10,543.4473452389999,0.941,2.3018662979999998
1,billiards,static,10,680.6149390430002,0.68,3.220552445
2,billiards,static,10,690.9667615490001,0.674,3.17791381
3,billiards,static,10,565.476793662,0.896,2.455172667
0,billiards,static,15,433.83880389000007,0.899,2.335457314
1,billiards,static,15,691.7053613960001,0.519,4.946603361999999
2,billiards,static,15,691.249925178,0.527,3.6409443419999996
3,billiards,static,15,511.65277812,0.784,2.592172667
0,billiards,static,20,370.516104527,0.88,2.330510087
1,billiards,static,20,788.5815120580002,0.339,5.512902341999999
2,billiards,static,20,977.3162836510003,0.094,6.073079128
3,billiards,static,20,439.61445028,0.789,2.519172667
0,billiards,static,25,1050.2572660000003,0.0,3.1013055439999997
1,billiards,static,25,1050.2572660000003,0.0,9.87079799
2,billiards,static,25,1050.2572660000003,0.0,6.827785700000001
3,billiards,static,25,1050.2572660000003,0.0,6.383723839
0,billiards,static,30,1050.2572660000003,0.0,2.822770737
1,billiards,static,30,1050.2572660000003,0.0,10.111903947999998
2,billiards,static,30,1050.2572660000003,0.0,6.112055638
3,billiards,static,30,1050.2572660000003,0.0,5.397350021
0,billiards,static,35,1050.2572660000003,0.0,2.852399402
1,billiards,static,35,1050.2572660000003,0.0,9.936430682000001
2,billiards,static,35,1050.2572660000003,0.0,5.644702193
3,billiards,static,35,1050.2572660000003,0.0,5.515930114999999
0,billiards,static,40,1050.2572660000003,0.0,2.88229087
1,billiards,static,40,1050.2572660000003,0.0,8.7482334142132
2,billiards,static,40,1050.2572660000003,0.0,5.966938100831601
3,billiards,static,40,1050.2572660000003,0.0,5.895487242393509
0,billiards,static,45,1050.2572660000003,0.0,3.167767837837838
1,billiards,static,45,1050.2572660000003,0.0,9.091862776992937
2,billiards,static,45,1050.2572660000005,0.0,9.101445925520261
3,billiards,static,45,1050.2572660000003,0.0,5.65556960750507
0,billiards,static,50,1050.2572660000003,0.0,2.9957041769999995
1,billiards,static,50,1050.2572660000003,0.0,8.254123897073663
2,billiards,static,50,1050.2572660000003,0.0,5.296903123922414
3,billiards,static,50,1050.2572660000003,0.0,4.5140400621865595
0,billiards,static,55,1050.2572660000003,0.0,3.3601308059999995
1,billiards,static,55,1050.2572660000003,0.0,7.7745238917004045
2,billiards,static,55,1050.2572660000003,0.0,3.749344528898582
3,billiards,static,55,1050.2572660000003,0.0,5.236269406847935
0,billiards,static,60,1050.2572660000003,0.0,3.415759358
1,billiards,static,60,1050.2572660000003,0.0,7.39277766969697
2,billiards,static,60,1050.2572660000003,0.0,5.2625508094713656
3,billiards,static,60,1050.2572660000003,0.0,5.534289702320888
0,billiards,static,65,1050.2572660000003,0.0,3.484678286
1,billiards,static,65,1050.2572660000003,0.0,10.345550539361701
2,billiards,static,65,1050.2572660000003,0.0,5.066149063414634
3,billiards,static,65,1050.2572660000003,0.0,5.768540865520729
0,billiards,static,70,1050.2572660000003,0.0,3.5998546589999996
1,billiards,static,70,1050.2572660000005,0.0,9.015857972813238
2,billiards,static,70,1050.2572660000003,0.0,7.918208491767288
3,billiards,static,70,1050.2572660000003,0.0,5.712192385395538
0,billiards,static,75,1050.2572660000003,0.0,3.5374361309999998
1,billiards,static,75,1050.2572660000003,0.0,8.857174417783192
2,billiards,static,75,1050.2572660000005,0.0,8.35494248839779
3,billiards,static,75,1050.2572660000003,0.0,6.414685387966805
0,billiards,static,80,1050.2572660000003,0.0,4.046137206412826
1,billiards,static,80,1050.2572660000003,0.0,11.57260548580786
2,billiards,static,80,1050.2572660000003,0.0,5.520904145320197
3,billiards,static,80,1050.2572660000005,0.0,6.397458399361023
