frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,65,52.6315,101708,0.026462107,0.039000000,12.537893,0,1050.257266,2.500000,9
2,70,43.452401,109472,0.049147119,0.061000000,11.852881,0,1050.257266,2.500000,9
3,35,144.301312,55124,0.069908885,0.075000000,5.091115,0,1050.257266,2.500000,9
4,40,118.045421,62888,0.090138188,0.100000000,9.861812,0,1050.257266,2.500000,9
5,40,121.243911,62888,0.109785922,0.120500000,10.714078,0,1050.257266,2.500000,9
6,70,41.272927,109472,0.129176255,0.142500000,13.323745,0,1050.257266,2.500000,9
7,40,113.442923,62888,0.147495134,0.157500000,10.004866,0,1050.257266,2.500000,9
8,35,135.123882,55124,0.169552400,0.180500000,10.947600,0,1050.257266,2.500000,9
9,40,110.679144,62888,0.188287497,0.197000000,8.712503,0,1050.257266,2.500000,9
10,40,106.875606,62888,0.210192404,0.219500000,9.307596,0,1050.257266,2.500000,11
11,40,109.912415,62888,0.230728175,0.235500000,4.771825,0,1050.257266,2.500000,11
12,40,109.496058,62888,0.250814411,0.257500000,6.685589,0,1050.257266,2.500000,11
