frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,80,33.0427,125000,0.022940134,0.028500000,5.559866,0,1050.257266,2.500000,14
2,80,31.919803,125000,0.029114019,0.033000000,3.885981,0,1050.257266,2.500000,14
3,80,31.756125,125000,0.035822199,0.043000000,7.177801,0,1050.257266,2.500000,14
4,80,30.961721,125000,0.043323646,0.052000000,8.676354,0,1050.257266,2.500000,14
5,80,31.832394,125000,0.047718847,0.056500000,8.781153,0,1050.257266,2.500000,14
6,80,29.951353,125000,0.053768417,0.059000000,5.231583,0,1050.257266,2.500000,14
7,80,29.800686,125000,0.058834284,0.066000000,7.165716,0,1050.257266,2.500000,14
8,80,28.925522,125000,0.065169049,0.069000000,3.830951,0,1050.257266,2.500000,14
9,80,29.232779,125000,0.071223608,0.078500000,7.276392,0,1050.257266,2.500000,14
10,80,28.055862,125000,0.076470398,0.080500000,4.029602,0,1050.257266,2.500000,14
11,80,28.791681,125000,0.082429674,0.094500000,12.070326,0,1050.257266,2.500000,14
12,80,28.503758,125000,0.089849505,0.094500000,4.650495,0,1050.257266,2.500000,14
13,80,30.045470,125000,0.095132373,0.099500000,4.367627,0,1050.257266,2.500000,14
14,80,28.467030,125000,0.101612505,0.110000000,8.387495,0,1050.257266,2.500000,14
16,80,28.404643,125000,0.110637939,0.131000000,20.362061,0,1050.257266,2.500000,14
17,80,30.090343,125000,0.118037542,0.131000000,12.962458,0,1050.257266,2.500000,14
18,80,28.862464,125000,0.123413862,0.133000000,9.586138,0,1050.257266,2.500000,14
19,80,30.450632,125000,0.128736103,0.134500000,5.763897,0,1050.257266,2.500000,14
20,80,30.071447,125000,0.135238018,0.139500000,4.261982,0,1050.257266,2.500000,14
21,80,32.038587,125000,0.141309234,0.147000000,5.690766,0,1050.257266,2.500000,14
22,80,30.127701,125000,0.147365433,0.152500000,5.134567,0,1050.257266,2.500000,14
23,80,32.189036,125000,0.152794695,0.157500000,4.705305,0,1050.257266,2.500000,14
24,80,32.634212,125000,0.157341795,0.161000000,3.658205,0,1050.257266,2.500000,14
25,80,33.323882,125000,0.162538341,0.168500000,5.961659,0,1050.257266,2.500000,14
26,80,31.130294,125000,0.170399971,0.175500000,5.100029,0,1050.257266,2.500000,14
27,80,31.942711,125000,0.175882955,0.183000000,7.117045,0,1050.257266,2.500000,14
28,80,31.901721,125000,0.180385900,0.187000000,6.614100,0,1050.257266,2.500000,14
29,80,35.123235,125000,0.186243568,0.191000000,4.756432,0,1050.257266,2.500000,14
30,80,32.687268,125000,0.191624158,0.196500000,4.875842,0,1050.257266,2.500000,14
31,80,32.991453,125000,0.196367682,0.201000000,4.632318,0,1050.257266,2.500000,14
37,80,34.538714,125000,0.236640518,0.257500000,20.859482,0,1050.257266,2.500000,14
38,80,33.954512,125000,0.241549370,0.257500000,15.950630,0,1050.257266,2.500000,14
39,80,34.700050,125000,0.248793337,0.257500000,8.706663,0,1050.257266,2.500000,14
