user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,590.079,0.458,7.40538,1000,498,40,502,0.498,0.502,502,0,summary
1,billiardstest,model,adaptive,760.241,0.283,11.3949,1000,493,210,507,0.493,0.507,506,1,summary
2,billiardstest,model,adaptive,744.805,0.303,5.84937,1000,496,193,504,0.496,0.504,504,0,summary
0,billiardstest,static,5,891.812,0.498,2.278,1000,500,2,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,907.341,0.427,2.76295,1000,500,73,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,917.988,0.398,6.32888,1000,499,101,501,0.499,0.501,501,0,summary
0,billiardstest,static,10,754.512,0.493,2.30644,1000,500,7,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,807.366,0.392,3.07295,1000,500,108,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,807.029,0.394,3.00939,1000,500,106,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,694.384,0.485,2.37566,1000,500,15,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,763.271,0.379,3.16995,1000,500,121,500,0.5,0.5,500,0,summary
2,billiardstest,static,15,783.807,0.348,3.35539,1000,500,152,500,0.5,0.5,500,0,summary
0,billiardstest,static,20,654.529,0.486,2.36151,1000,500,14,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,749.391,0.358,4.83572,1000,499,141,501,0.499,0.501,501,0,summary
2,billiardstest,static,20,747.024,0.362,3.33639,1000,500,138,500,0.5,0.5,500,0,summary
0,billiardstest,static,25,630.073,0.483,2.38735,1000,500,17,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,732.781,0.355,5.58863,1000,499,144,501,0.499,0.501,501,0,summary
2,billiardstest,static,25,718.717,0.372,3.24639,1000,500,128,500,0.5,0.5,500,0,summary
0,billiardstest,static,30,609.798,0.484,2.39909,1000,500,16,500,0.5,0.5,500,0,summary
1,billiardstest,static,30,739.234,0.331,7.02919,1000,497,166,503,0.497,0.503,503,0,summary
2,billiardstest,static,30,758.264,0.308,9.97055,1000,492,184,508,0.492,0.508,508,0,summary
0,billiardstest,static,35,593.914,0.485,2.40738,1000,500,15,500,0.5,0.5,500,0,summary
1,billiardstest,static,35,720.067,0.34,6.46968,1000,498,158,502,0.498,0.502,502,0,summary
2,billiardstest,static,35,695.588,0.368,4.02706,1000,499,131,501,0.499,0.501,501,0,summary
0,billiardstest,static,40,585.823,0.481,2.42562,1000,500,19,500,0.5,0.5,500,0,summary
1,billiardstest,static,40,739.322,0.31,7.72946,1000,496,186,504,0.496,0.504,504,0,summary
2,billiardstest,static,40,722.571,0.328,8.5219,1000,493,165,507,0.493,0.507,507,0,summary
0,billiardstest,static,45,577.492,0.48,2.43032,1000,500,20,500,0.5,0.5,500,0,summary
1,billiardstest,static,45,787.761,0.25,14.7017,1000,485,235,515,0.485,0.515,515,0,summary
2,billiardstest,static,45,716.064,0.329,8.50418,1000,494,165,506,0.494,0.506,506,0,summary
0,billiardstest,static,50,574.684,0.475,3.35958,1000,499,24,501,0.499,0.501,501,0,summary
1,billiardstest,static,50,804.709,0.228,13.2828,1000,492,264,508,0.492,0.508,508,0,summary
2,billiardstest,static,50,768.182,0.267,11.6032,1000,483,216,517,0.483,0.517,517,0,summary
0,billiardstest,static,55,555.485,0.489,2.83282,1000,500,11,500,0.5,0.5,500,0,summary
1,billiardstest,static,55,767.775,0.264,12.0303,1000,491,227,509,0.491,0.509,509,0,summary
2,billiardstest,static,55,747.056,0.286,7.61307,1000,495,209,505,0.495,0.505,505,0,summary
0,billiardstest,static,60,555.11,0.484,2.88086,1000,500,16,500,0.5,0.5,500,0,summary
1,billiardstest,static,60,783.004,0.245,12.4384,1000,489,244,511,0.489,0.511,511,0,summary
2,billiardstest,static,60,778.285,0.25,10.0215,1000,492,242,508,0.492,0.508,508,0,summary
0,billiardstest,static,65,546.98,0.488,2.86037,1000,500,12,500,0.5,0.5,500,0,summary
1,billiardstest,static,65,754.996,0.272,9.37606,1000,492,220,508,0.492,0.508,508,0,summary
2,billiardstest,static,65,756.715,0.27,8.53611,1000,491,221,509,0.491,0.509,509,0,summary
0,billiardstest,static,70,553.942,0.477,3.62453,1000,500,23,500,0.5,0.5,500,0,summary
1,billiardstest,static,70,776.053,0.248,11.2221,1000,490,242,510,0.49,0.51,510,0,summary
2,billiardstest,static,70,830.421,0.192,9.93762,1000,485,293,515,0.485,0.515,515,0,summary
0,billiardstest,static,75,565.508,0.462,5.06296,1000,497,35,503,0.497,0.503,503,0,summary
1,billiardstest,static,75,802.232,0.22,11.6383,1000,478,258,522,0.478,0.522,522,0,summary
2,billiardstest,static,75,780.457,0.242,9.38075,1000,487,245,513,0.487,0.513,513,0,summary
0,billiardstest,static,80,547.31,0.478,3.33118,1000,499,21,501,0.499,0.501,500,1,summary
1,billiardstest,static,80,860.51,0.159,11.2683,1000,425,266,575,0.425,0.575,556,19,summary
2,billiardstest,static,80,760.334,0.261,14.0538,1000,446,185,554,0.446,0.554,546,8,summary
