user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,568.304,0.497,3.12966,1000,500,3,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,819.057,0.228,7.28902,1000,471,243,529,0.471,0.529,519,10,summary
2,billiardstest,model,adaptive,875.98,0.163,16.0265,1000,452,289,548,0.452,0.548,530,18,summary
3,billiardstest,model,adaptive,701.009,0.352,6.7404,1000,481,129,519,0.481,0.519,507,12,summary
0,billiardstest,static,5,891.19,0.5,2.26446,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,910.72,0.422,2.79662,1000,500,78,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,915.407,0.401,3.00906,1000,500,99,500,0.5,0.5,500,0,summary
3,billiardstest,static,5,899.17,0.471,2.45597,1000,500,29,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,750.325,0.5,2.28672,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,823.635,0.364,3.32362,1000,500,136,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,812.56,0.381,3.16406,1000,500,119,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,760.354,0.481,2.40897,1000,500,19,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,684.155,0.5,2.30881,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,784.453,0.348,5.18178,1000,498,150,502,0.498,0.502,502,0,summary
2,billiardstest,static,15,834.983,0.275,6.52702,1000,494,219,506,0.494,0.506,506,0,summary
3,billiardstest,static,15,706.092,0.467,2.55597,1000,500,33,500,0.5,0.5,500,0,summary
0,billiardstest,static,20,644.082,0.5,2.31105,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,781.84,0.315,6.52855,1000,493,178,507,0.493,0.507,507,0,summary
2,billiardstest,static,20,778.92,0.32,5.71234,1000,495,175,505,0.495,0.505,505,0,summary
3,billiardstest,static,20,662.297,0.476,2.52797,1000,500,24,500,0.5,0.5,500,0,summary
0,billiardstest,static,25,616.448,0.5,2.77679,1000,500,0,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,775.309,0.301,6.682,1000,492,191,508,0.492,0.508,508,0,summary
