frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,122.994,35326,0.007443097,0.009500000,2.056903,1,122.994389,10.000000,14,0,18,0.000,1
2,35,179.875,27562,0.012470961,0.015000000,2.529039,1,179.874917,10.000000,14,0,18,0.002,3
3,35,181.003,27562,0.017456584,0.019500000,2.043416,1,181.003036,10.000000,14,0,18,0.736,4
4,25,264.703,19798,0.026578944,0.029500000,2.921056,1,264.703265,10.000000,14,0,18,0.002,5
5,35,177.493,27562,0.032014927,0.035000000,2.985073,1,177.492856,10.000000,14,0,18,0.000,3
6,35,173.037,27562,0.037953604,0.040500000,2.546396,1,173.036658,10.000000,14,0,18,0.001,5
7,35,173.507,27562,0.045791484,0.048000000,2.208516,1,173.507303,10.000000,14,0,18,0.315,5
8,35,169.543,27562,0.055367115,0.057500000,2.132885,1,169.543072,10.000000,14,0,18,0.938,7
9,35,173.601,27562,0.062006278,0.064500000,2.493722,1,173.601265,10.000000,14,0,18,0.747,3
10,35,173.690,27562,0.067376836,0.069500000,2.123164,1,173.690157,10.000000,14,0,18,0.883,7
11,35,178.721,27562,0.072945758,0.075500000,2.554242,1,178.721295,10.000000,14,0,18,0.002,5
12,35,175.360,27562,0.078256874,0.080500000,2.243126,1,175.360471,10.000000,14,0,18,0.912,6
13,35,177.343,27562,0.082758694,0.085500000,2.741306,1,177.342813,10.000000,14,0,18,0.750,6
14,35,172.896,27562,0.089433827,0.091500000,2.066173,1,172.895629,10.000000,14,0,18,0.941,5
15,35,175.206,27562,0.096407554,0.099000000,2.592446,1,175.205600,10.000000,14,0,18,0.000,4
16,35,173.216,27562,0.100984709,0.106500000,5.515291,1,173.216341,10.000000,14,0,18,0.985,8
17,35,175.135,27562,0.105761327,0.108500000,2.738673,1,175.135331,10.000000,14,0,18,0.974,9
18,35,170.552,27562,0.110759088,0.116500000,5.740912,1,170.552319,10.000000,14,0,18,0.978,6
19,35,168.304,27562,0.115322773,0.118000000,2.677227,1,168.303936,10.000000,14,0,18,0.956,10
20,35,163.484,27562,0.120342605,0.122500000,2.157395,1,163.484264,10.000000,14,0,18,0.883,6
21,35,161.099,27562,0.124840547,0.128000000,3.159453,1,161.098947,10.000000,14,0,18,0.960,7
22,35,164.397,27562,0.129758213,0.132500000,2.741787,1,164.396789,10.000000,14,0,18,0.970,6
23,35,172.088,27562,0.136736186,0.139500000,2.763814,1,172.087816,10.000000,14,0,18,0.003,5
24,35,170.267,27562,0.141616378,0.144000000,2.383622,1,170.266717,10.000000,14,0,18,0.963,5
25,35,170.079,27562,0.147501871,0.150000000,2.498129,1,170.078738,10.000000,14,0,18,0.723,5
26,35,173.301,27562,0.154249894,0.158500000,4.250106,1,173.301413,10.000000,14,0,18,0.985,9
27,35,177.885,27562,0.158914117,0.161000000,2.085883,1,177.885320,10.000000,14,0,18,0.930,6
28,35,179.355,27562,0.163316974,0.165500000,2.183026,1,179.355323,10.000000,14,0,18,0.949,6
29,35,181.060,27562,0.169340665,0.174500000,5.159335,1,181.060250,10.000000,14,0,18,0.798,8
30,35,181.468,27562,0.174430287,0.176500000,2.069713,1,181.467730,10.000000,14,0,18,0.985,7
31,35,183.063,27562,0.179102169,0.182000000,2.897831,1,183.062790,10.000000,14,0,18,0.955,6
32,35,181.158,27562,0.183612917,0.186000000,2.387083,1,181.158261,10.000000,14,0,18,0.722,5
33,35,189.305,27562,0.190717758,0.193500000,2.782242,1,189.304689,10.000000,14,0,18,0.961,7
34,35,188.590,27562,0.196690323,0.199000000,2.309677,1,188.589749,10.000000,14,0,18,0.817,7
35,35,187.016,27562,0.204192042,0.206500000,2.307958,1,187.015655,10.000000,14,0,18,0.916,7
36,35,181.381,27562,0.208855602,0.214000000,5.144398,1,181.380662,10.000000,14,0,18,0.989,9
37,35,180.245,27562,0.213581136,0.218000000,4.418864,1,180.244600,10.000000,14,0,18,0.875,9
38,35,177.649,27562,0.221445680,0.223500000,2.054320,1,177.649377,10.000000,14,0,18,0.934,6
39,35,175.720,27562,0.226801113,0.229000000,2.198887,1,175.719670,10.000000,14,0,18,0.747,4
40,35,179.874,27562,0.235528901,0.238000000,2.471099,1,179.873632,10.000000,14,0,18,0.916,7
41,35,181.392,27562,0.240601109,0.243500000,2.898891,1,181.391720,10.000000,14,0,18,0.736,6
42,35,171.998,27562,0.246753437,0.249000000,2.246563,1,171.998109,10.000000,14,0,18,0.966,6
43,35,173.524,27562,0.251815749,0.254500000,2.684251,1,173.523677,10.000000,14,0,18,0.608,5
44,35,172.090,27562,0.259314155,0.262500000,3.185845,1,172.089700,10.000000,14,0,18,0.934,7
