user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,558.8059134234236,0.6386386386386387,3.3406334574574577
1,billiards,model,adaptive,666.8795093090001,0.695,3.4290524450000004
2,billiards,model,adaptive,830.4294694613844,0.39518555667001004,9.230115471414242
3,billiards,model,adaptive,578.173744058,0.675,4.216505493
4,billiards,model,adaptive,637.995174299,0.599,5.397053148
5,billiards,model,adaptive,839.9982141353622,0.27177334732423925,8.457947769150051
6,billiards,model,adaptive,698.324232215647,0.5446339017051154,5.358124058174524
7,billiards,model,adaptive,742.019523052,0.748,4.401759933999999
8,billiards,model,adaptive,641.5691374320002,0.57,11.064941961999999
9,billiards,model,adaptive,846.6834913940938,0.3136456211812627,7.0416490631364566
0,billiards,static,5,838.3654093450001,0.967,2.377998877999999
1,billiards,static,5,877.818081911,0.772,3.101052445
2,billiards,static,5,866.8774940890002,0.806,2.95841381
3,billiards,static,5,836.390014855,0.961,2.386172667
4,billiards,static,5,858.8521572169999,0.86,2.760493173
5,billiards,static,5,863.0901974349999,0.844,2.8048383720000003
6,billiards,static,5,872.077568799,0.804,2.920141955
7,billiards,static,5,846.985589423,0.918,2.5275901190000005
8,billiards,static,5,857.143261392,0.858,2.764497424
9,billiards,static,5,840.7231509430001,0.927,2.513288571
0,billiards,static,10,534.922629434,0.957,2.4152197650000002
1,billiards,static,10,638.439072233,0.762,3.1605524450000004
2,billiards,static,10,663.0007406890002,0.716,3.4814143140000002
3,billiards,static,10,531.6803514750001,0.96,2.420672667
4,billiards,static,10,624.399615837,0.787,3.065993173
5,billiards,static,10,629.2825970499999,0.777,3.0823383709999996
6,billiards,static,10,642.656811194,0.757,3.180641955
7,billiards,static,10,591.8944782030001,0.849,2.809590119
8,billiards,static,10,609.5588054190001,0.82,2.9434974240000003
9,billiards,static,10,572.054515288,0.883,2.711788571
0,billiards,static,15,406.47418195700004,0.939,2.502467528
1,billiards,static,15,553.2343792920001,0.723,3.7983222569999997
2,billiards,static,15,596.403558531,0.664,3.82400931
3,billiards,static,15,417.661588663,0.922,2.569672667
4,billiards,static,15,517.496531967,0.775,3.1304931729999996
5,billiards,static,15,661.6821526660002,0.563,4.458587667
6,billiards,static,15,557.332334636,0.72,4.695915468
7,billiards,static,15,480.04093610600006,0.831,2.884590119
