user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,320.2766247693857,0.823766364551863,3.5797255115810676
1,billiards,model,adaptive,633.0854372340864,0.486652977412731,9.23866891889117
2,billiards,model,adaptive,649.0100987040001,0.565,6.453085702
0,billiards,static,5,842.7036411500001,0.95,2.444260318
1,billiards,static,5,883.080199721,0.747,3.1965524450000005
2,billiards,static,5,865.140905043,0.822,2.87141381
0,billiards,static,10,538.320511225,0.951,2.43359471
1,billiards,static,10,665.2468128460001,0.714,3.6350524450000004
2,billiards,static,10,623.411711644,0.786,3.01141381
0,billiards,static,15,399.557046696,0.95,2.447709628
1,billiards,static,15,594.159727156,0.661,5.2332697900000005
2,billiards,static,15,544.5973271560001,0.738,3.433609832
0,billiards,static,20,327.273130251,0.936,2.517204411
1,billiards,static,20,667.7522516380002,0.498,11.377648643999999
2,billiards,static,20,511.1494814990001,0.697,4.141324137000001
0,billiards,static,25,324.71208817800004,0.873,4.560707579999999
1,billiards,static,25,657.8119569170002,0.47,14.745507491
2,billiards,static,25,735.3498711290001,0.376,7.210751484
0,billiards,static,30,382.2640301590001,0.767,7.100531645000001
1,billiards,static,30,710.4833259340002,0.389,11.131929924999998
2,billiards,static,30,687.4591761420002,0.416,6.120373476
0,billiards,static,35,375.1104417110001,0.747,4.8287449350000005
1,billiards,static,35,772.1131868140002,0.308,13.543240225000002
2,billiards,static,35,704.5069701450003,0.382,11.142590869
0,billiards,static,40,379.143991921371,0.7227822580645161,5.466137866935484
1,billiards,static,40,840.763425695608,0.2257405515832482,11.69789819918284
2,billiards,static,40,848.5789025215608,0.2166324435318275,6.306098966119096
0,billiards,static,45,414.2772964984955,0.6710130391173521,4.455751611835506
1,billiards,static,45,875.265245874872,0.18461538461538463,9.94628601948718
2,billiards,static,45,999.9939291037531,0.052980132450331126,7.09463328807947
0,billiards,static,50,659.9269851265308,0.40408163265306124,4.559978288775509
1,billiards,static,50,1050.2572660000003,0.0,9.5779509331307
2,billiards,static,50,1050.2572660000005,0.0,5.203727762419006
0,billiards,static,55,1050.2572660000003,0.0,4.473912455276381
1,billiards,static,55,1050.2572660000005,0.0,11.569127093952483
2,billiards,static,55,1050.2572660000005,0.0,3.916101764278297
0,billiards,static,60,1050.2572660000003,0.0,4.496356437311935
1,billiards,static,60,1050.2572660000005,0.0,8.535257840790843
2,billiards,static,60,1050.2572660000005,0.0,9.321335224973089
0,billiards,static,65,1050.2572660000003,0.0,4.789388126760564
1,billiards,static,65,1050.2572660000003,0.0,14.10925350295858
2,billiards,static,65,1050.2572660000003,0.0,2.369500871657754
0,billiards,static,70,1050.2572660000003,0.0,4.551890057228915
1,billiards,static,70,1050.2572660000003,0.0,8.939765562807883
2,billiards,static,70,1050.2572660000003,0.0,3.2566602857142857
0,billiards,static,75,1050.2572660000003,0.0,4.601312447589098
1,billiards,static,75,1050.2572660000005,0.0,9.344668232356133
2,billiards,static,75,1050.2572660000005,0.0,1.12105595915986
0,billiards,static,80,1050.2572660000005,0.0,5.134114929606626
1,billiards,static,80,1050.2572660000003,0.0,7.205463123471882
2,billiards,static,80,1050.2572660000003,0.0,2.592116712258065
