frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,20,293.386,31832,0.017133605,0.019500000,2.366395,1,293.386251,3.000000,14
2,15,391.408289,24067,0.030423848,0.032500000,2.076152,1,391.408289,3.000000,14
3,15,393.233064,24067,0.041432956,0.043500000,2.067044,1,393.233064,3.000000,14
4,15,387.199618,24067,0.051335897,0.056500000,5.164103,0,1050.257266,3.000000,14
5,15,391.636290,24067,0.063480216,0.067000000,3.519784,0,1050.257266,3.000000,14
6,15,374.672896,24067,0.076494075,0.082000000,5.505925,0,1050.257266,3.000000,14
7,15,372.612985,24067,0.091949898,0.095000000,3.050102,0,1050.257266,3.000000,14
8,15,369.309914,24067,0.103508527,0.112000000,8.491473,0,1050.257266,3.000000,14
9,15,371.659903,24067,0.115825813,0.118500000,2.674187,1,371.659903,3.000000,14
10,15,361.966395,24067,0.126795979,0.129000000,2.204021,1,361.966395,3.000000,14
11,15,361.437299,24067,0.137794199,0.142000000,4.205801,0,1050.257266,3.000000,14
12,10,524.444016,16304,0.149571834,0.152000000,2.428166,1,524.444016,3.000000,14
13,15,368.501446,24067,0.162844049,0.165000000,2.155951,1,368.501446,3.000000,14
14,15,360.625444,24067,0.174039180,0.176500000,2.460820,1,360.625444,3.000000,14
15,25,212.357792,39596,0.184171731,0.187000000,2.828269,1,212.357792,3.000000,14
16,15,368.415539,24067,0.195851851,0.198000000,2.148149,1,368.415539,3.000000,14
17,15,379.572189,24067,0.208198142,0.214500000,6.301858,0,1050.257266,3.000000,14
18,10,549.268661,16304,0.220793702,0.226000000,5.206298,0,1050.257266,3.000000,14
19,15,397.738190,24067,0.231855508,0.234000000,2.144492,1,397.738190,3.000000,14
20,15,396.021371,24067,0.242607123,0.245000000,2.392877,1,396.021371,3.000000,14
21,15,402.780618,24067,0.252878167,0.255000000,2.121833,1,402.780618,3.000000,14
22,20,293.093355,31832,0.265418374,0.267500000,2.081626,1,293.093355,3.000000,14
23,15,396.832499,24067,0.278608712,0.281000000,2.391288,1,396.832499,3.000000,14
24,15,397.684719,24067,0.289390619,0.291500000,2.109381,1,397.684719,3.000000,14
25,20,302.334938,31832,0.303097167,0.308500000,5.402833,0,1050.257266,3.000000,14
26,15,396.484297,24067,0.314429490,0.316500000,2.070510,1,396.484297,3.000000,14
27,15,398.276857,24067,0.325635688,0.329500000,3.864312,0,1050.257266,3.000000,14
28,15,399.960195,24067,0.337197567,0.339500000,2.302433,1,399.960195,3.000000,14
29,15,418.664047,24067,0.347880064,0.353000000,5.119936,0,1050.257266,3.000000,14
