frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,40,121.758,62888,0.023023225,0.026000000,2.976775,1,121.757707,3.000000,15
2,40,119.027943,62888,0.035067496,0.038000000,2.932504,1,119.027943,3.000000,15
3,40,119.353596,62888,0.045183892,0.048000000,2.816108,1,119.353596,3.000000,15
4,40,118.045421,62888,0.055573544,0.058500000,2.926456,1,118.045421,3.000000,15
5,40,121.243911,62888,0.067021879,0.070000000,2.978121,1,121.243911,3.000000,15
6,40,114.568645,62888,0.079171850,0.082500000,3.328150,0,1050.257266,3.000000,15
7,40,113.442923,62888,0.090171879,0.093000000,2.828121,1,113.442923,3.000000,15
8,40,110.952099,62888,0.101233107,0.104000000,2.766893,1,110.952099,3.000000,15
9,40,110.679144,62888,0.113096253,0.116000000,2.903747,1,110.679144,3.000000,15
10,40,106.875606,62888,0.124519940,0.127500000,2.980060,1,106.875606,3.000000,15
11,40,109.912415,62888,0.136036903,0.139500000,3.463097,0,1050.257266,3.000000,15
12,40,109.496058,62888,0.146078375,0.149500000,3.421625,0,1050.257266,3.000000,15
13,40,112.937272,62888,0.158929132,0.161500000,2.570868,1,112.937272,3.000000,15
14,40,106.815978,62888,0.169621787,0.173000000,3.378213,0,1050.257266,3.000000,15
15,40,111.729670,62888,0.182499124,0.185500000,3.000876,0,1050.257266,3.000000,15
16,40,110.110412,62888,0.193653777,0.196500000,2.846223,1,110.110412,3.000000,15
17,40,116.159169,62888,0.206405947,0.212500000,6.094053,0,1050.257266,3.000000,14
18,40,114.564365,62888,0.217081327,0.220000000,2.918673,1,114.564365,3.000000,15
19,40,119.539684,62888,0.227080274,0.230000000,2.919726,1,119.539684,3.000000,15
20,40,118.286014,62888,0.241004166,0.245500000,4.495834,0,1050.257266,3.000000,15
21,40,123.205480,62888,0.251365861,0.254000000,2.634139,1,123.205480,3.000000,15
22,40,119.125414,62888,0.263083125,0.266000000,2.916875,1,119.125414,3.000000,15
23,40,121.786816,62888,0.275707472,0.279000000,3.292528,0,1050.257266,3.000000,15
24,40,124.343484,62888,0.289471252,0.292500000,3.028748,0,1050.257266,3.000000,15
25,40,127.080263,62888,0.301746117,0.304500000,2.753883,1,127.080263,3.000000,15
26,40,120.707082,62888,0.313044002,0.316000000,2.955998,1,120.707082,3.000000,15
27,40,121.913408,62888,0.324499968,0.327500000,3.000032,0,1050.257266,3.000000,15
28,40,122.012282,62888,0.337349774,0.340500000,3.150226,0,1050.257266,3.000000,15
29,40,129.689561,62888,0.349513924,0.352500000,2.986076,1,129.689561,3.000000,15
30,40,127.514454,62888,0.362020385,0.365000000,2.979615,1,127.514454,3.000000,15
31,40,128.218609,62888,0.372715804,0.375500000,2.784196,1,128.218609,3.000000,15
32,40,124.964186,62888,0.382627936,0.386000000,3.372064,0,1050.257266,3.000000,15
33,40,128.766990,62888,0.395794494,0.398500000,2.705506,1,128.766990,3.000000,15
34,40,121.682866,62888,0.406923061,0.409500000,2.576939,1,121.682866,3.000000,15
35,40,127.889025,62888,0.417277049,0.420500000,3.222951,0,1050.257266,3.000000,15
36,40,124.734029,62888,0.430763803,0.434000000,3.236197,0,1050.257266,3.000000,15
37,40,130.536748,62888,0.442371197,0.445000000,2.628803,1,130.536748,3.000000,15
38,40,127.153862,62888,0.456195453,0.459000000,2.804547,1,127.153862,3.000000,15
39,40,128.271627,62888,0.467043336,0.470000000,2.956664,1,128.271627,3.000000,15
40,40,123.966362,62888,0.477695741,0.480500000,2.804259,1,123.966362,3.000000,15
41,40,128.103179,62888,0.489254221,0.492500000,3.245779,0,1050.257266,3.000000,15
42,40,123.070597,62888,0.500558076,0.503500000,2.941924,1,123.070597,3.000000,15
43,40,125.905691,62888,0.511302296,0.514000000,2.697704,1,125.905691,3.000000,15
44,40,127.177618,62888,0.523892439,0.526500000,2.607561,1,127.177618,3.000000,15
45,40,126.227343,62888,0.534170305,0.537000000,2.829695,1,126.227343,3.000000,15
46,40,119.771496,62888,0.544439645,0.547000000,2.560355,1,119.771496,3.000000,15
47,40,124.293817,62888,0.556722360,0.559500000,2.777640,1,124.293817,3.000000,15
48,40,121.621768,62888,0.568578002,0.571500000,2.921998,1,121.621768,3.000000,15
49,40,125.799893,62888,0.579549682,0.582500000,2.950318,1,125.799893,3.000000,15
50,40,127.016874,62888,0.591328956,0.594000000,2.671044,1,127.016874,3.000000,15
51,40,129.551337,62888,0.603278950,0.607500000,4.221050,0,1050.257266,3.000000,15
52,40,133.958457,62888,0.615635129,0.618500000,2.864871,1,133.958457,3.000000,15
53,40,131.161715,62888,0.626687671,0.630000000,3.312329,0,1050.257266,3.000000,15
54,40,131.129859,62888,0.637847471,0.641000000,3.152529,0,1050.257266,3.000000,15
55,40,129.036450,62888,0.648235605,0.651000000,2.764395,1,129.036450,3.000000,15
56,40,132.326910,62888,0.659728256,0.663000000,3.271744,0,1050.257266,3.000000,15
57,40,132.916526,62888,0.673622311,0.676500000,2.877689,1,132.916526,3.000000,15
58,40,133.862528,62888,0.684644685,0.687500000,2.855315,1,133.862528,3.000000,15
59,40,137.673462,62888,0.694844527,0.697500000,2.655473,1,137.673462,3.000000,15
60,40,131.721975,62888,0.705632309,0.708500000,2.867691,1,131.721975,3.000000,15
61,40,134.021167,62888,0.718511298,0.722000000,3.488702,0,1050.257266,3.000000,15
62,40,133.579371,62888,0.732440413,0.735000000,2.559587,1,133.579371,3.000000,15
