user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,658.011,0.425,2.36673,1000,500,75,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,778.281,0.281,4.95795,1000,500,219,500,0.5,0.5,500,0,summary
2,billiardstest,model,adaptive,923.742,0.112,5.84637,1000,497,385,503,0.497,0.503,503,0,summary
3,billiardstest,model,adaptive,724.041,0.347,2.67231,1000,500,153,500,0.5,0.5,500,0,summary
4,billiardstest,model,adaptive,813.913,0.239,4.36399,1000,500,261,500,0.5,0.5,500,0,summary
5,billiardstest,model,adaptive,843.892,0.204,5.33558,1000,488,284,512,0.488,0.512,512,0,summary
6,billiardstest,model,adaptive,745.509,0.32,3.08046,1000,500,180,500,0.5,0.5,500,0,summary
7,billiardstest,model,adaptive,720.36,0.348,2.7835,1000,500,152,500,0.5,0.5,500,0,summary
8,billiardstest,model,adaptive,754.107,0.308,4.00342,1000,499,191,501,0.499,0.501,501,0,summary
9,billiardstest,model,adaptive,750.142,0.31,2.99209,1000,500,190,500,0.5,0.5,500,0,summary
0,billiardstest,static,5,895.323,0.485,2.26989,1000,500,15,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,913.62,0.412,2.83495,1000,500,88,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,916.921,0.4,2.87939,1000,500,100,500,0.5,0.5,500,0,summary
3,billiardstest,static,5,899.286,0.47,2.37431,1000,500,30,500,0.5,0.5,500,0,summary
4,billiardstest,static,5,912.217,0.414,2.79899,1000,500,86,500,0.5,0.5,500,0,summary
5,billiardstest,static,5,926.971,0.367,12.1273,1000,493,126,507,0.493,0.507,507,0,summary
6,billiardstest,static,5,906.189,0.444,2.57246,1000,500,56,500,0.5,0.5,500,0,summary
7,billiardstest,static,5,905.368,0.449,2.5475,1000,500,51,500,0.5,0.5,500,0,summary
8,billiardstest,static,5,902.938,0.452,2.49635,1000,500,48,500,0.5,0.5,500,0,summary
9,billiardstest,static,5,904.792,0.45,2.54409,1000,500,50,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,759.278,0.484,2.30081,1000,500,16,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,801.099,0.402,2.87195,1000,500,98,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,820.082,0.372,3.04539,1000,500,128,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,780.667,0.443,2.56231,1000,500,57,500,0.5,0.5,500,0,summary
4,billiardstest,static,10,798.345,0.409,2.77599,1000,500,91,500,0.5,0.5,500,0,summary
5,billiardstest,static,10,808.788,0.39,2.93482,1000,500,110,500,0.5,0.5,500,0,summary
6,billiardstest,static,10,785.816,0.434,2.57946,1000,500,66,500,0.5,0.5,500,0,summary
7,billiardstest,static,10,782.079,0.441,2.5905,1000,500,59,500,0.5,0.5,500,0,summary
8,billiardstest,static,10,799.153,0.41,2.80035,1000,500,90,500,0.5,0.5,500,0,summary
9,billiardstest,static,10,789.004,0.428,2.72109,1000,500,72,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,696.47,0.481,2.28762,1000,500,19,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,766.927,0.375,2.99095,1000,500,125,500,0.5,0.5,500,0,summary
2,billiardstest,static,15,785.053,0.348,3.20939,1000,500,152,500,0.5,0.5,500,0,summary
3,billiardstest,static,15,717.545,0.45,2.44931,1000,500,50,500,0.5,0.5,500,0,summary
4,billiardstest,static,15,758.589,0.388,2.93099,1000,500,112,500,0.5,0.5,500,0,summary
5,billiardstest,static,15,783.342,0.352,3.15382,1000,500,148,500,0.5,0.5,500,0,summary
6,billiardstest,static,15,738.56,0.419,2.72146,1000,500,81,500,0.5,0.5,500,0,summary
7,billiardstest,static,15,742.596,0.412,2.7205,1000,500,88,500,0.5,0.5,500,0,summary
8,billiardstest,static,15,743.992,0.411,2.74035,1000,500,89,500,0.5,0.5,500,0,summary
9,billiardstest,static,15,731.881,0.428,2.65409,1000,500,72,500,0.5,0.5,500,0,summary
0,billiardstest,static,20,676.701,0.456,2.32444,1000,500,44,500,0.5,0.5,500,0,summary
1,billiardstest,static,20,770.234,0.33,3.15895,1000,500,170,500,0.5,0.5,500,0,summary
2,billiardstest,static,20,819.423,0.265,3.47139,1000,500,235,500,0.5,0.5,500,0,summary
3,billiardstest,static,20,682.055,0.449,2.45331,1000,500,51,500,0.5,0.5,500,0,summary
4,billiardstest,static,20,760.918,0.344,3.06099,1000,500,156,500,0.5,0.5,500,0,summary
5,billiardstest,static,20,768.846,0.334,3.07982,1000,500,166,500,0.5,0.5,500,0,summary
6,billiardstest,static,20,710.499,0.411,2.68846,1000,500,89,500,0.5,0.5,500,0,summary
7,billiardstest,static,20,717.592,0.402,2.7465,1000,500,98,500,0.5,0.5,500,0,summary
8,billiardstest,static,20,739.499,0.371,2.95935,1000,500,129,500,0.5,0.5,500,0,summary
9,billiardstest,static,20,709.305,0.412,2.71009,1000,500,88,500,0.5,0.5,500,0,summary
0,billiardstest,static,25,663.733,0.441,2.34027,1000,500,59,500,0.5,0.5,500,0,summary
1,billiardstest,static,25,804.781,0.264,3.41895,1000,500,236,500,0.5,0.5,500,0,summary
2,billiardstest,static,25,815.074,0.252,3.41939,1000,500,248,500,0.5,0.5,500,0,summary
3,billiardstest,static,25,734.009,0.353,2.76931,1000,500,147,500,0.5,0.5,500,0,summary
4,billiardstest,static,25,802.107,0.267,3.44099,1000,500,233,500,0.5,0.5,500,0,summary
5,billiardstest,static,25,822.918,0.242,4.31182,1000,500,258,500,0.5,0.5,500,0,summary
6,billiardstest,static,25,750.344,0.333,3.50943,1000,499,166,501,0.499,0.501,501,0,summary
7,billiardstest,static,25,755.967,0.326,2.9275,1000,500,174,500,0.5,0.5,500,0,summary
8,billiardstest,static,25,737.719,0.349,2.88935,1000,500,151,500,0.5,0.5,500,0,summary
9,billiardstest,static,25,742.381,0.342,2.84109,1000,500,158,500,0.5,0.5,500,0,summary
0,billiardstest,static,30,688.423,0.391,2.45146,1000,500,109,500,0.5,0.5,500,0,summary
1,billiardstest,static,30,824.108,0.228,4.48195,1000,500,272,500,0.5,0.5,500,0,summary
2,billiardstest,static,30,875.486,0.168,5.29139,1000,500,332,500,0.5,0.5,500,0,summary
3,billiardstest,static,30,734.113,0.336,2.84831,1000,500,164,500,0.5,0.5,500,0,summary
4,billiardstest,static,30,840.819,0.21,5.24299,1000,500,290,500,0.5,0.5,500,0,summary
5,billiardstest,static,30,816.843,0.237,4.12282,1000,500,263,500,0.5,0.5,500,0,summary
6,billiardstest,static,30,750.286,0.316,3.06746,1000,500,184,500,0.5,0.5,500,0,summary
7,billiardstest,static,30,728.663,0.342,2.8455,1000,500,158,500,0.5,0.5,500,0,summary
8,billiardstest,static,30,752.708,0.314,3.11835,1000,500,186,500,0.5,0.5,500,0,summary
9,billiardstest,static,30,713.416,0.36,2.67209,1000,500,140,500,0.5,0.5,500,0,summary
0,billiardstest,static,35,650.585,0.42,2.3714,1000,500,80,500,0.5,0.5,500,0,summary
1,billiardstest,static,35,832.999,0.21,6.68262,1000,497,287,503,0.497,0.503,503,0,summary
2,billiardstest,static,35,836.825,0.207,4.39677,1000,499,292,501,0.499,0.501,501,0,summary
3,billiardstest,static,35,730.697,0.328,2.77331,1000,500,172,500,0.5,0.5,500,0,summary
4,billiardstest,static,35,817.829,0.228,4.28099,1000,500,272,500,0.5,0.5,500,0,summary
5,billiardstest,static,35,886.448,0.15,5.30382,1000,500,350,500,0.5,0.5,500,0,summary
6,billiardstest,static,35,733.662,0.325,2.90946,1000,500,175,500,0.5,0.5,500,0,summary
7,billiardstest,static,35,715.09,0.346,2.8215,1000,500,154,500,0.5,0.5,500,0,summary
8,billiardstest,static,35,815.07,0.231,4.31599,1000,499,268,501,0.499,0.501,501,0,summary
9,billiardstest,static,35,696.587,0.367,2.58409,1000,500,133,500,0.5,0.5,500,0,summary
0,billiardstest,static,40,647.676,0.412,2.38769,1000,500,88,500,0.5,0.5,500,0,summary
1,billiardstest,static,40,821.654,0.217,5.35874,1000,496,279,504,0.496,0.504,504,0,summary
2,billiardstest,static,40,958.1,0.065,7.18098,1000,495,430,505,0.495,0.505,505,0,summary
3,billiardstest,static,40,719.953,0.331,2.87431,1000,500,169,500,0.5,0.5,500,0,summary
4,billiardstest,static,40,879.804,0.152,4.18235,1000,499,347,501,0.499,0.501,501,0,summary
5,billiardstest,static,40,883.289,0.148,7.56425,1000,495,347,505,0.495,0.505,505,0,summary
6,billiardstest,static,40,766.22,0.28,3.76773,1000,499,219,501,0.499,0.501,501,0,summary
7,billiardstest,static,40,759.818,0.286,3.78294,1000,499,213,501,0.499,0.501,501,0,summary
8,billiardstest,static,40,756.417,0.29,3.02535,1000,500,210,500,0.5,0.5,500,0,summary
9,billiardstest,static,40,729.166,0.321,2.89709,1000,500,179,500,0.5,0.5,500,0,summary
0,billiardstest,static,45,670.873,0.378,2.48398,1000,500,122,500,0.5,0.5,500,0,summary
1,billiardstest,static,45,976.455,0.044,8.16094,1000,494,450,506,0.494,0.506,506,0,summary
2,billiardstest,static,45,995.389,0.023,6.94976,1000,494,471,506,0.494,0.506,506,0,summary
3,billiardstest,static,45,808.95,0.227,5.41761,1000,499,272,501,0.499,0.501,501,0,summary
4,billiardstest,static,45,936.631,0.088,5.26355,1000,499,411,501,0.499,0.501,501,0,summary
5,billiardstest,static,45,973.326,0.047,11.3631,1000,493,446,507,0.493,0.507,507,0,summary
6,billiardstest,static,45,826.685,0.208,6.45244,1000,499,291,501,0.499,0.501,501,0,summary
7,billiardstest,static,45,788.36,0.25,3.7925,1000,500,250,500,0.5,0.5,500,0,summary
8,billiardstest,static,45,931.751,0.093,5.14028,1000,498,405,502,0.498,0.502,502,0,summary
9,billiardstest,static,45,858.479,0.173,4.86673,1000,498,325,502,0.498,0.502,502,0,summary
0,billiardstest,static,50,746.839,0.29,5.08697,1000,500,210,500,0.5,0.5,500,0,summary
1,billiardstest,static,50,1016.68,0.0,7.72629,1000,496,496,504,0.496,0.504,504,0,summary
2,billiardstest,static,50,1016.68,0.0,6.70468,1000,497,497,503,0.497,0.503,503,0,summary
3,billiardstest,static,50,997.385,0.021,4.75045,1000,498,477,502,0.498,0.502,502,0,summary
4,billiardstest,static,50,1016.68,0.0,7.70216,1000,496,496,504,0.496,0.504,504,0,summary
5,billiardstest,static,50,1016.68,0.0,9.29394,1000,493,493,507,0.493,0.507,507,0,summary
6,billiardstest,static,50,1016.68,0.0,7.6325,1000,495,495,505,0.495,0.505,505,0,summary
7,billiardstest,static,50,1016.68,0.0,6.01526,1000,496,496,504,0.496,0.504,504,0,summary
8,billiardstest,static,50,1016.68,0.0,5.66581,1000,497,497,503,0.497,0.503,503,0,summary
9,billiardstest,static,50,1016.68,0.0,5.63686,1000,499,499,501,0.499,0.501,501,0,summary
0,billiardstest,static,55,1016.68,0.0,2.90407,1000,500,500,500,0.5,0.5,500,0,summary
1,billiardstest,static,55,1016.68,0.0,9.37319,1000,492,492,508,0.492,0.508,508,0,summary
2,billiardstest,static,55,1016.68,0.0,6.35501,1000,497,497,503,0.497,0.503,503,0,summary
3,billiardstest,static,55,1016.68,0.0,10.7693,1000,494,494,506,0.494,0.506,506,0,summary
4,billiardstest,static,55,1016.68,0.0,8.06694,1000,493,493,507,0.493,0.507,507,0,summary
5,billiardstest,static,55,1016.68,0.0,12.6993,1000,486,486,514,0.486,0.514,514,0,summary
6,billiardstest,static,55,1016.68,0.0,5.14238,1000,498,498,502,0.498,0.502,502,0,summary
7,billiardstest,static,55,1016.68,0.0,4.66829,1000,498,498,502,0.498,0.502,502,0,summary
8,billiardstest,static,55,1016.68,0.0,7.67219,1000,495,495,505,0.495,0.505,505,0,summary
9,billiardstest,static,55,1016.68,0.0,6.47271,1000,497,497,503,0.497,0.503,503,0,summary
0,billiardstest,static,60,1016.68,0.0,2.91955,1000,500,500,500,0.5,0.5,500,0,summary
