user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,billiardstest,model,adaptive,640.673,0.482,2.6259,1000,500,18,500,0.5,0.5,500,0,summary
1,billiardstest,model,adaptive,890.139,0.163,14.0291,1000,452,289,548,0.452,0.548,537,11,summary
2,billiardstest,model,adaptive,786.175,0.299,7.0924,1000,491,192,509,0.491,0.509,509,0,summary
3,billiardstest,model,adaptive,675.739,0.442,2.92031,1000,500,58,500,0.5,0.5,500,0,summary
4,billiardstest,model,adaptive,766.488,0.328,7.29109,1000,494,166,506,0.494,0.506,506,0,summary
0,billiardstest,static,5,893.053,0.495,2.30062,1000,500,5,500,0.5,0.5,500,0,summary
1,billiardstest,static,5,914.557,0.411,2.91295,1000,500,89,500,0.5,0.5,500,0,summary
2,billiardstest,static,5,921.197,0.382,3.09939,1000,500,118,500,0.5,0.5,500,0,summary
3,billiardstest,static,5,898.297,0.468,2.49631,1000,500,32,500,0.5,0.5,500,0,summary
4,billiardstest,static,5,916.457,0.399,2.95599,1000,500,101,500,0.5,0.5,500,0,summary
0,billiardstest,static,10,757.208,0.488,2.35316,1000,500,12,500,0.5,0.5,500,0,summary
1,billiardstest,static,10,820.0,0.371,3.20595,1000,500,129,500,0.5,0.5,500,0,summary
2,billiardstest,static,10,836.933,0.337,3.50039,1000,500,163,500,0.5,0.5,500,0,summary
3,billiardstest,static,10,769.848,0.463,2.51931,1000,500,37,500,0.5,0.5,500,0,summary
4,billiardstest,static,10,817.808,0.371,3.21999,1000,500,129,500,0.5,0.5,500,0,summary
0,billiardstest,static,15,695.571,0.483,2.43818,1000,500,17,500,0.5,0.5,500,0,summary
1,billiardstest,static,15,795.358,0.336,5.93706,1000,498,162,502,0.498,0.502,502,0,summary
2,billiardstest,static,15,803.985,0.319,6.11612,1000,491,172,509,0.491,0.509,509,0,summary
